F01K11/04	ボイラまたは復水器が使用時に回転するもの
F01K13/00	全設備の一般的配置または操縦法
F01K13/003	｛測定または試験用の装置配列（一般Ｇ０１）｝
F01K13/006	｛他に分類されない補助的なものまたは細部｝
F01K13/02	調整，例．停止または始動
F01K13/025	｛アイドリングまたは大気中における噴霧による内部の冷却｝
F01K15/00	設備の特殊用途への適用｛（Ｆ０１Ｋ７／０２が優先）｝
F01K15/02	乗物駆動用のもの，例．機関車（乗物における配置，該当する乗物のクラス参照）
F01K15/025	｛乗物が蒸気機関車であるもの｝
F01K15/04	乗物が水上航行船舶であるもの
F01K15/045	｛その制御（Ｆ０１Ｋ３／２２，Ｆ０１Ｋ７／００，Ｆ０１Ｋ１３／０２が優先）｝
F01K17/00	蒸気機関設備から抽出または排出された蒸気または復水の利用（給水を加熱するものＦ０１Ｋ７／３４；復水をボイラへ還流させるものＦ２２Ｄ，｛Ｆ０１Ｋ７／３６が優先｝）
F01K17/005	｛ヒートポンプの使用によるもの（ヒートポンプシステムそれ自体Ｆ２５Ｂ）｝
F01K17/02	加熱目的のためのもの，例．工業用，家庭用（Ｆ０１Ｋ１７／０６が優先；家庭用または区域暖房システム，例．中央暖房システム，Ｆ２４Ｄ１／００，Ｆ２４Ｄ３／００，Ｆ２４Ｄ９／００）
F01K17/025	｛少なくとも１台のガスタービン，例．燃焼ガスタービン，との組み合わせ｝
F01K17/04	加熱以外の特殊な目的をもつもの（Ｆ０１Ｋ１７／０６が優先）
F01K17/06	蒸気のエネルギを別の形式で，プロセスに対して還元するもの，例．固体燃料又は設備を乾燥するために排蒸気を使用するもの
F01K19/00	蒸気機関設備から排出された蒸気の再生またはその他の処理（｛Ｆ０１Ｋ３／００６が優先｝，蒸気圧力を高めるために蒸気をアルカリ中に貯蔵する装置を用いることを特徴とする設備Ｆ０１Ｋ５／００；ボイラへの復水の還流Ｆ２２Ｄ）
F01K19/02	圧縮による再生
F01K19/04	冷却または加熱との組み合わせ
F01K19/06	機関シリンダ内におけるもの
F01K19/08	噴射装置，噴射送風機またはこれらと類似のものによる圧縮
F01K19/10	復水器によらない排気の冷却；排気を目に見えないようにするもの
F01K21/00	他に分類されない蒸気機関設備
F01K21/005	｛液体と蒸気の混合物または膨張による液体の蒸発を用いるもの｝
F01K21/02	機関シリンダ内で蒸気発生するもの
F01K21/04	蒸気とガスの混合物を用いるもの；水または蒸気を熱ガスと直接接触させて蒸気を発生または加熱する設備（｛Ｆ０１Ｋ２５／００５，Ｆ０２Ｂ４７／０２が優先；ガスタービン設備への水または蒸気の注入Ｆ０２Ｃ３／３０５｝；直接接触蒸気発生一般Ｆ２２Ｂ）
F01K21/042	｛純粋蒸気が設備内のどこかの原動機内で膨張するもの（Ｆ０１Ｋ２１／０４５が優先）｝
F01K21/045	｛原動機へのガスと蒸気の別個の導入，例．単一のロータへの別個のノズルによる供給｝
F01K21/047	｛少なくとも１つの燃焼ガスタービンをもつもの｝
F01K21/06	熱力学的でない，生蒸気の取り扱い，例．機関内での付着物発生防止のためのもの
F01K23/00	２以上の機関が設備の外部へ出力を供給し，それらの機関が異なった流体で駆動されることを特徴とする設備
F01K23/02	機関サイクルが熱的に結合されているもの
F01K23/04	一方のサイクルからの凝縮熱が他方のサイクルの流体を加熱するもの
