B43L19/0012	｛機械的モータ，例．バネ，スピンドル｝
B43L19/0018	｛流体を有するもの｝
B43L19/0025	｛字消しまたは消しゴムの材料，例．硬質粒子で構成されているもの｝
B43L19/0031	｛その中に磁性粒子で構成されているもの｝
B43L19/0037	｛字消しクリーナ｝
B43L19/0043	｛電子または電解手段により消去されるもの｝
B43L19/005	｛指に取り付けられた字消し具｝
B43L19/0056	｛字消し具の保持器｝
B43L19/0062	｛磁力によるホルダ｝
B43L19/0068	｛携帯保持器｝
B43L19/0075	｛鉛筆タイプのもの｝
B43L19/0081	｛シャープペンシルタイプのもの｝
B43L19/0087	｛字消し具の組立，修理または仕上げ｝
B43L19/0093	｛字消し具の保護物｝
B43L19/02	字消し用ナイフ（普通のナイフＢ２６Ｂ）
B43L19/04	繊維質の字消し具
B43L21/00	黒板または石板の清掃具
B43L21/02	チョークの粉を吸収する手段をもつもの
B43L21/04	拭く物の保持具
B43L23/00	鉛筆または鉛筆の芯の削り器（研削または切削工具一般Ｂ２４；Ｂ２６；筆記具と結合したものＢ４３Ｋ２９／０６）
B43L23/002	｛鉛筆用の連続搬送手段を有するもの｝
B43L23/004	｛放射状の切削刃を有するもの｝
B43L23/006	｛ヤスリ面を有するもの｝
B43L23/008	｛回転切削体を有するもの｝
B43L23/02	連動装置をもつもの
B43L23/04	クランクハンドルをもつもの
B43L23/06	鉛筆または鉛筆の芯が切削刃に対して軸方向に移動するだけで切削されるもの
B43L23/08	鉛筆または鉛筆の芯が切削刃に対して回転することにより主に切削されるもの（Ｂ４３Ｌ２３／０２が優先）
B43L23/085	｛１つの刃が筆記先端を形成するのに用いられるもの｝
B43L25/00	インク壺（液体収納容器一般Ｂ６５Ｄ，例．Ｂ６５Ｄ１／００）
B43L25/001	｛浸漬する深さが調整可能なもの｝
B43L25/002	｛インク壺のための蓋または密閉手段（容器の密閉手段一般Ｂ６５Ｄ）｝
B43L25/004	｛墨を有するインク壺；逆さまにできない壺｝
B43L25/005	｛テーブルまたはベンチに組み込まれたインク壺｝
B43L25/007	｛携帯用インク壺；インク壺用の充填装置｝
B43L25/008	｛芯の供給を用いるもの｝
B43L25/02	独立したペン浸け壺をもつもの
B43L25/04	圧力装置でインクが供給されるもの
B43L25/06	容器を傾けることによりインクが供給されるもの
B43L25/08	インク粉末を溶かす装置をもつもの
B43L25/10	本体を保持する手段をもつもの
B43L25/12	ペン拭き手段をもつもの
B43L27/00	インクスタンド
B43L27/02	インクスタンド上の物を安全に保持する手段をもつもの
B43L27/04	他の物に対し安全にし得るもの
