B61D15/105	｛索道用｝
B61D15/12	動力によって進むもの
B61D15/125	｛索道用｝
B61D17/00	車体構造の細部（タンク車用Ｂ６１Ｄ５／００；ホッパ車用Ｂ６１Ｄ７／００；特にチップラ車々体細部Ｂ６１Ｄ９／０６；鉱車用Ｂ６１Ｄ１１／００）<br><br><u>注</u><br><br>Ｂ６１Ｄ１７／００５がＢ６１Ｄ１７／０４８−Ｂ６１Ｄ１７／１６に優先
B61D17/005	｛合成樹脂材料の使用に特徴のある車体を有するもの（Ｂ６１Ｄ１７／００５が優先；繊維補強母材から作られた部品を含む台車枠Ｂ６１Ｆ５／５２３）｝
B61D17/02	外形を修正することによって空気抵抗を減ずるもの；｛周囲の気圧の突然の変動，例．隧道横断時，に耐える高速車両のための構造的特徴｝
B61D17/04	金属性車体をもつもの；合成のもの，例．金属と木材の車体構造
B61D17/041	｛軽金属，例．アルミニウム，を使用した車体に特徴のあるもの（Ｂ６１Ｄ１７／０４５が優先）｝
B61D17/043	｛上部構造の構成体間の結合（道路車両用Ｂ６２Ｄ２７／００）｝
B61D17/045	｛その構成体が構造モジュールであるもの（大量の乗客を輸送する車両用のモジュール上部構造Ｂ６２Ｄ３１／０２５）｝
B61D17/046	｛直ちに開放できるもの，すなわち，取外し可能または折りたたみ可能な構成体，例．積荷の積み込み用（変換可能な無蓋貨車Ｂ６１Ｄ３／００５）｝
B61D17/048	｛内壁，例．区画の間を隔てる壁（Ｂ６１Ｄ１７／０６，Ｂ６１Ｄ１７／０８，Ｂ６１Ｄ１７／１８が優先）｝
B61D17/06	端壁
B61D17/08	側壁
B61D17/10	床
B61D17/12	屋根（可動または折りたたみ可能な屋根，覆いまたは防水布Ｂ６１Ｄ３９／００）
B61D17/14	通路をもつもの
B61D17/16	屋根上の上げ蓋
B61D17/18	内部のライニング，例．断熱
B61D17/185	｛遮音用のもの（機関室における配列Ｂ６１Ｃ１７／０４；道路車両用の遮音部材Ｂ６０Ｒ１３／０８）｝
B61D17/20	客車間の連絡通路；そのために客車端部に用いたもの
B61D17/22	可撓性，例．蛇腹
B61D17/24	木材の車体構造をもつもの
B61D17/26	コンクリートの車体構造をもつもの
B61D19/00	鉄道車両のために特別に適合された扉装置（車両の錠Ｅ０５Ｂ７７／００〜Ｅ０５Ｂ８５／００；扉操作機構Ｅ０５Ｆ）
