A01G9/08	植木鉢｛または播種用の鉢の｝充填用具；鉢に植物｛または種｝を移す器具
A01G9/081	｛鉢の充填用具｝
A01G9/083	｛鉢に植物を植える用具｝
A01G9/085	｛鉢に種を受ける用具｝
A01G9/086	｛鉢を植え替える用具｝
A01G9/088	｛鉢の取扱いまたは移送｝
A01G9/12	植物の支持；イチゴまたは類似のものの棚（｛ぶどうの格子状棚Ａ０１Ｇ１７／０６｝；樹，ぶどうの支柱Ａ０１Ｇ１７／１４）
A01G9/122	｛杭｝
A01G9/124	｛鉢の中，上，または横に杭を垂直に保持する手段｝
A01G9/126	｛針金スプールの支持具｝
A01G9/128	｛支持具への植物の固定，例．クリップによるもの（格子状棚における結束用具Ａ０１Ｇ１７／０８）｝
A01G9/14	温室（鐘形覆いＡ０１Ｇ１３／０４）
A01G9/1407	｛可撓性の合成材料からなるもの｝
A01G9/1415	｛二重または多重の壁をもつもの｝
A01G9/1423	｛温室ベンチ構造｝
A01G9/143	｛温室の収穫物を取扱うための設備｝
A01G9/1438	｛そのための被覆材料；土壌または植物のために用いられる保護覆い，例．フィルム，天蓋，トンネルまたは釣鐘型覆い，のための材料｝
A01G2009/1446	｛穿孔のあるもの｝
A01G2009/1453	｛繊維製品を含むもの｝
A01G2009/1461	｛織物構造を含むもの｝
A01G9/1469	｛二重または多重の壁をもつもの｝
A01G9/1476	｛温室の樋（樋一般Ｅ０４Ｄ１３／０６４）｝
A01G2009/1484	｛ガラス工事装置｝
A01G2009/1492	｛清掃装置｝
A01G9/16	組立てまたは携帯できる温室；｛スライド式ルーフ付温室｝
A01G9/18	炭酸ガスまたは類似のものによる植物の処理のための温室
A01G9/20	温床；採光，｛すなわち温床を覆うガラスパネル｝
A01G9/22	温室または類似のものの遮光装置
A01G9/222	｛層状または類似のブラインド（一般Ｅ０６Ｂ９／２６）｝
A01G9/225	｛膨張可能な構造｝
A01G9/227	｛不使用時は巻上げられるもの（一般Ｅ０６Ｂ９／０８）｝
A01G9/24	温室，温床または類似のものの加温，通風，温度調節，｛照明｝または灌水装置｛またはシステム｝
A01G9/241	｛窓および通風パネルのための開閉システムの配置｝
A01G9/242	｛可撓性の覆いをもつ温室のためのもの｝
A01G9/243	｛太陽光エネルギーの収集（一般Ｆ２４Ｓ）｝
A01G9/245	｛液体による加熱用の導管，例．枠部材としてまたは地中加熱用として用いされるもの｝
A01G9/246	｛空調システム｝
A01G9/247	｛灌水装置｝
A01G2009/248	｛水の蒸留をともなうもの｝
A01G9/249	｛照明手段（成長促進のための特別な装置をもつものＡ０１Ｇ７／０４５）｝
A01G9/26	電化装置｛（Ａ０１Ｇ９／２４９が優先）｝
A01G9/28	揚げ床；植栽床；床，芝生等のための縁取り要素，例．タイル
A01G11/00	蒸気土壌殺菌
A01G13/00	植物の保護（害虫または有害動物の駆除装置Ａ０１Ｍ；そのための化学物質の使用，保護物質の組成物，例．接木用ワックスＡ０１Ｎ）
A01G2013/004	｛液体の根覆い｝
A01G13/06	庭園，果樹園または森林での熱，煙または霧の発生装置，例．霜害防止用
A01G13/065	｛霧の発生によるまたは噴霧による防霜｝
A01G13/08	空気循環用機械装置
A01G13/10	動物，鳥その他の有害な小動物に対する保護装置（｛Ａ０１Ｇ１３／０２４３が優先｝；おどし機または忌避機Ａ０１Ｍ２９／００）
A01G13/105	｛ナメクジ，カタツムリ，這い虫またはその他の這い上がり動物に対する保護装置｝
A01G13/20	
A01G13/21	
A01G13/22	
A01G13/23	
A01G13/24	
A01G13/26	
A01G13/262	
A01G13/264	
A01G13/27	
A01G13/28	
A01G13/29	
A01G13/30	
A01G13/31	
A01G13/32	
A01G13/33	
A01G13/35	
A01G13/37	
A01G13/372	
A01G13/38	
A01G13/39	
A01G15/00	気象の状況に影響を与える装置または方法
A01G17/00	ホップ，ぶどう，果樹または類似の樹木の栽培
A01G17/005	｛栽培の方法｝
A01G17/02	ホップまたはぶどうの栽培
A01G17/023	｛ぶどうの主なおよび／または予備的な刈り払い，すなわち枝および／または芽の除去，のための機械（垣での作業のための刈り込み装置Ａ０１Ｇ３／０４０８）｝
A01G17/026	｛ぶどうの葉を除去するための機械｝
A01G17/04	ホップ，ぶどうまたは樹木の支持
A01G17/06	格子状棚
A01G2017/065	｛針金の張力装置を有するぶどうを支持するための格子状棚｝
A01G17/08	格子状棚にホップ，ぶどうまたは樹木を取り付ける道具，｛例．クリップ｝；結束用具
A01G17/085	｛果樹垣機械；結束用具｝
A01G17/10	枝の支持
A01G17/12	樹木バンド
A01G17/14	支柱；支索
A01G17/16	支柱打ち込みまたは支柱抜き取り装置
A01G17/18	樹の傷を埋める方法
A01G18/00	きのこの栽培
A01G18/10	菌根；菌根との共生
A01G18/20	培地，例．コンポスト
A01G18/22	培地を調製するための装置，例．瓶詰め装置
A01G18/30	種菌の移植前に使用する付属品，例．殺菌装置
A01G18/40	種菌の培養
A01G18/50	種菌の移植
A01G18/55	移植孔の形成
A01G18/60	栽培室；そのための装置
A01G18/61	子実体用の成長ガイド，例．紙巻
A01G18/62	棚；トレー
A01G18/64	栽培容器；その蓋
A01G18/65	蓋によって特徴付けられるもの，例．フィルター付きの蓋
A01G18/66	栽培バッグ
A01G18/68	栽培ビン
A01G18/69	環境を管理するための装置，例．スプリンクラー
A01G18/70	収穫
A01G18/80	収穫後に使用される付属品，例．スクレーパ
A01G20/00	芝，芝生または類似のものの栽培；そのための装置または方法（芝生用の手持ち式エッジトリマーまたは鋏Ａ０１Ｇ３／０６；芝生の縁取りＡ０１Ｇ９／２８；芝刈り機Ａ０１Ｄ３４／００）
A01G20/10	予め栽培された芝土または芝；そのための装置
A01G20/12	芝土または芝を切断するための装置
A01G20/15	芝土または芝土ロールの積み重ねに特に適合するもの
A01G20/18	芝土または芝を載置するための装置
A01G20/20	マット上での栽培
A01G20/30	芝草の表面を処理するための装置（芝生を通気するための機械Ａ０１Ｂ４５／０２）
A01G20/35	ガーデンローラー
A01G20/40	芝草の表面を清掃するための装置
A01G20/43	芝生屑の清掃，収集または分解のためのもの
A01G20/47	吸引またはブロワ装置
A01G22/00	他に分類されない特定の作物または植物の栽培
A01G22/05	果菜類，例．イチゴ，トマトまたはキュウリ
A01G22/10	アスパラガス
A01G22/15	葉菜類，例．レタスまたはホウレンソウ
A01G22/20	穀類
A01G22/22	稲
A01G22/25	根菜類，例．ジャガイモ，ヤマイモ，ビートまたはワサビ
A01G22/30	苔
A01G22/35	球根，ネギ類，例．タマネギまたはネギ
A01G22/40	マメ科，例．マメまたはエンドウ
A01G22/45	タバコ
A01G22/50	綿
A01G22/55	サトウキビ
A01G22/60	花；鑑賞用植物
A01G22/63	ラン
