G10L15/193	形式文法，例．有限状態オートマトン，文脈自由文法または単語ネットワーク
G10L15/197	確率的文法，例．単語ｎ−ｇｒａｍ
G10L15/20	不利な環境における堅牢性のための音声認識技術，例．雑音中のもの，強勢のある音声の（Ｇ１０Ｌ２１／０２　が優先）　
G10L15/22	音声認識処理中に使用される手順，例．マン・マシン対話
G10L2015/221	認識結果の告知（合成音声による）
G10L15/222	｛入り込み，すなわち，プロンプトを中断させるためのオーバーライド可能なガイダンス｝
G10L2015/223	音声指示の実行手順
G10L2015/225	入力音声のフィードバック
G10L2015/226	非音声特徴を考慮するもの
G10L2015/227	話者に関するもの；　ヒューマンファクタ方法論
G10L2015/228	アプリケーションコンテキストに関するもの
G10L15/24	音響以外の特徴を用いる音声認識，例，唇の位置
G10L15/25	唇の位置，唇の運動または顔の分析を用いるもの
G10L15/26	音声をテキストに変換するシステム（Ｇ１０Ｌ１５／０８が優先）　　
G10L15/28	音声認識システムの構造上の細部
G10L15/285	｛ハードウェア要件を減少するためのメモリの割り当てまたはアルゴリズム最適化｝　
G10L15/30	分散型音声認識，例．クライアント・サーバシステムにおけるもの，携帯電話またはネットワークアプリケーションのためのもの
G10L15/32	順次または並列に使用される複数の認識装置；スコアを組み合わせるシステム，例．投票システム
G10L15/34	単一の音声認識装置の並列処理への適用，例．マルチプロセッサまたはクラウドコンピューティングの利用によるもの
G10L17/00	話者の識別または検証
G10L17/02	前処理操作，例．セグメント選択；パターンの表現またはモデル化，例．線形判別分析[ＬＤＡ｝または主成分に基づくもの；特徴の選択または抽出
G10L17/04	学習，エンロールメントまたはモデル構築
G10L17/06	意志決定技術，パターン・マッチング戦略
G10L17/08	試験パターンと標準パターンとの間の特定の距離または歪みを使用するもの
G10L17/10	マルチモーダルシステム，複数の認識エンジンの統合またはエキスパートシステムの融合に基づくもの
G10L17/12	スコア正規化
G10L17/14	話者の認識または検証前の音素の分類または音声認識の使用
G10L17/16	隠れマルコフモデル
G10L17/18	人工ニューラル・ネットワーク；コネクショニスト・アプローチ
G10L17/20	システムの頑健性を高めるためのパターンの変換および操作，例．チャンネル雑音または異なる動作環境に対するもの
G10L17/22	対話型処理手順；マンマシン・インターフェイス
G10L17/24	ユーザがパスワードまたはあらかじめ定められた語句を発声するように促されるもの
G10L17/26	特殊な音声の特徴の認識，例．嘘発見器用のもの；動物の声の認識
G10L19/00	冗長を減らすための音声または音響信号の分析合成技術，例．ボコーダにおける；音声または音響信号のコード化またはデコード化，ソースフィルタモデルまたは心理音響分析を用いるもの（楽器におけるものＧ１０Ｈ）
G10L2019/0001	コードブック
G10L2019/0002	コードブック適応
G10L2019/0003	ゲインの後方予測
G10L2019/0004	コードブックの設計または構造
G10L2019/0005	多重コードブック，多段ベクトル量子化
G10L2019/0006	ツリーまたは格子構造；遅延された決定
G10L2019/0007	コードブック要素生成，コードブック構成
G10L2019/0008	代数的コードブック
G10L2019/0009	直交的コードブック
G10L2019/001	コードブックベクトルの解釈
G10L2019/0011	長期予測フィルタ（ピッチ）
G10L2019/0012	復号化部補間のパラメータのスムージング
G10L2019/0013	コードブック探索アルゴリズム
G10L2019/0014	距離に対する選択基準
G10L2019/0015	ヴィタビアルゴリズム
G10L2019/0016	ＬＰＣパラメータに対するコードブック
G10L19/0017	｛可逆オーディオ信号符号化；＞号化エラーの伝送による符号化されたオーディオ信号の完全復元｝　
G10L19/0018	｛音声的または言語学上の音源の復号化を用いる音声符号化；　テキストから音声への合成を用いる復元｝　　
G10L19/002	動的ビット割り当て（知覚音声コーダ用Ｇ１０Ｌ１９／０３２）
G10L19/005	符号化アルゴリズムが関連するときの，伝送チャネルで生じたエラーの訂正
G10L19/008	マルチチャネルオーディオ信号の符号化および復号化，冗長性を減少させるためのチャネル間相関を使用するもの，例．ジョイントステレオ，インテンシティ符号化またはマトリクス化（空間的音響再生装置Ｈ０４Ｒ５／００；ステレオ方式，例．デコードした状態への空間的音響の捕捉または音響信号のマトリクス化Ｈ０４Ｓ）
G10L19/012	コンフォートノイズ，無音符号化
G10L19/018	オーディオ透かし，すなわち不可聴データのオーディオ信号内への埋め込み
G10L19/02	スペクトル分析を用いるもの，例．変換ボコーダまたはサブバンドボコーダ
G10L19/0204	｛サブバンド分解を用いるもの｝
G10L19/0208	｛サブバンド・ボコーダ｝
G10L19/0212	｛直交変換を用いるもの｝　　
G10L19/0216	｛ウェーブレット分解を用いるもの｝　
G10L19/022	ブロック化，すなわち時間領域内の標本のグループ化；分析ウインドウの選択；オーバーラップ因子
G10L19/025	時間／周波数の分解能を切り替えるための過渡、立ち上がりの検出
G10L19/028	ノイズ置換，例．ノイズ音源による非音声スペクトル成分置換（断続的音声伝送のためのコンフォートノイズＧ１０Ｌ１９／０１２）
G10L19/03	プリエコー防止のためのスペクトル予測；一時的なノイズシェーピング[ＴＮＳ］，例．ＭＰＥＧ２またはＭＰＥＧ４におけるもの
G10L19/032	スペクトル成分の量子化または逆量子化
G10L19/035	スカラー量子化
G10L19/038	ベクトル量子化，例．ＴｗｉｎＶＱオーディオ
G10L19/04	予測技術を用いるもの
G10L19/06	スペクトルの特徴の決定または符号化，例．短期予測係数
G10L19/07	線スペクトル対[ＬＳＰ｝ボコーダ
G10L19/08	励振機能の決定または符号化；長期予測特性の決定またはコード化
G10L19/083	励振機能が励振利得であるもの（Ｇ１０Ｌ２５／９０が優先）
G10L19/087	混合励振モデルを用いるもの，例．ＭＥＬＰ，ＭＢＥ，分割帯域ＬＰＣまたはＨＶＸＣ
G10L19/09	長期予測，すなわち周期的冗長性の除去，例．適応コードブックまたはピッチ予測を用いるもの
G10L19/093	正弦波励振モデルを用いるもの
G10L19/097	プロトタイプの波形分解または波形内挿符号化[ＰＷＩ｝を用いるもの
G10L19/10	マルチパルス励振の決定または符号化
G10L19/107	スパースパルス励振，例．代数的コードブックを用いるもの
G10L19/113	規則パルス励振
G10L19/12	励振機能がコード励振であるもの，例．コード励振線形予測［ＣＥＬＰ］ボコーダ
G10L19/125	ピッチ励振，例．ピッチ同期雑音励振源ＣＥＬＰ
G10L19/13	残差励振線形予測
G10L19/135	ベクトル和励振線形予測
G10L19/16	ボコーダのアーキテクチャ
G10L19/167	｛音声ストリーミング｝
G10L19/173	｛トランスコーディング｝
G10L19/18	複数のモードを用いるボコーダ
G10L19/20	音の種別に特有の符号化，ハイブリッド符号化またはオブジェクトベース符号化を用いるもの
G10L19/22	モードの決定，すなわち外部パラメータに対するオーディオ信号の内容に基づくもの
G10L19/24	可変レートコーデック，例．階層的符号化または層状符号化のようなスケーラブル表現を用いて異なる品質を生成するためのもの
G10L19/26	プレ・フィルタリングまたはポスト・フィルタリング
G10L19/265	｛プレ・フィルタリング，例．エンコーディングの前の高周波数強調｝
