B62D5/0442	｛回転運動の縦運動への変換｝
B62D5/0445	｛ねじ式駆動装置（ねじ機構一般）｝
B62D5/0448	｛ボールナット｝
B62D5/0451	｛ローラスピンドル駆動装置｝
B62D5/0454	｛ウォームギア｝
B62D5/0457	｛以下のような駆動手段の制御要素に特徴のあるもの（それを検知しそれに応動する走行状態に応じて操向を制御するものＢ６２Ｄ６／００；ステアリング角の判定Ｂ６２Ｄ１５／０２１；ハンドルにかかるトルクを計測するものＧ０１Ｌ５／２２１；電動モータの以下のような制御Ｈ０２Ｐ）｝
B62D5/046	｛モータを制御するもの｝
B62D5/0463	｛補助トルクを発生するためのもの｝
B62D5/0466	｛ハンドルをニュートラルポジションに戻すためのもの｝
B62D5/0469	｛ストローク終了制御｝
B62D5/0472	｛振動緩衝用｝
B62D5/0475	｛他の要素を制御するもの｝
B62D5/0478	｛クラッチ｝
B62D5/0481	｛操向システムの，例．故障，を監視するもの｝
B62D5/0484	｛故障，例．リンポホーム，へ対応するためのもの｝
B62D5/0487	｛モータの不具合を検知するもの（Ｂ６２Ｄ５／０４９６が優先）｝
B62D5/049	｛センサの故障を検知するもの｝
B62D5/0493	｛プロセッサのエラーを検知するもの，例．操向方向の妥当性｝
B62D5/0496	｛温度センサを用いるもの｝
B62D5/06	流体を用いるもの，すなわち．車両の操向に必要な力の大部分またはその全部を加圧流体を用いて得るもの
B62D5/061	｛エフォートリミッター，ステアリングロックリミッター，またはストローク終了リミッターを備えたもの｝
B62D5/062	｛細部部品，構成部品｝
B62D5/063	｛車両エンジンで駆動されるポンプ（Ｂ６２Ｄ５／０６５が優先）｝
B62D5/064	｛車両エンジンとは無関係に駆動されるポンプ，例．電気駆動式ポンプ（Ｂ６２Ｄ５／０６５が優先）｝
B62D5/065	必要に応じて加圧流体の供給を変えるのに特に適した手段に特徴のあるもの，例．随時，変更可能な操向補助
B62D5/07	操向および他の装置への圧力流体の供給；｛その制御装置｝
B62D5/075	｛プライオリティ弁を用いるもの（プライオリティ弁一般Ｆ１５Ｂ１３／０２２）｝
B62D5/08	用いられるバルブの型式｛ステアリング｝により特徴づけられたもの（バルブ一般Ｆ１６Ｋ）
B62D5/081	｛座弁｝
B62D5/083	回転バルブ
B62D5/0832	｛トーションバー以外の弾性手段，例．板バネ，をもつもの｝
B62D5/0835	｛偏角を能動的に制限する手段に特徴のあるもの，例．駆動パラメータに依るもの（それを検知しそれに応動する走行状態に応じて操向を制御するものＢ６２Ｄ６／００）｝
B62D5/0837	｛制御縁部，例．騒音低減用，の形状に特徴のあるもの｝
B62D5/087	摺動スプールバルブ
B62D5/09	バルブ作動装置により特徴づけられたもの
B62D5/091	｛油圧式ステアバイワイヤシステム，例．電動モータで作動される弁｝
B62D5/092	｛ステアリングギアの最終段階の従動要素，例．ラック，に接続される電動モータ｝
B62D5/093	操向ホイールの移動により駆動されるテレモータ（流体操向ギアＢ６２Ｄ３／１４）
B62D5/097	ゲロータ型
B62D5/10	動力ユニットの型式により特徴づけられたもの
B62D5/12	ピストンおよびシリンダ
B62D5/14	回転モータ
B62D5/16	弾性壁を有する膨張自在な室
B62D5/18	動力伝達装置により特徴づけられたもの
B62D5/20	特別の形式の操向伝動装置または特別の応用に特に適合するもの（操向ギアそれ自体Ｂ６２Ｄ３／００；動力補助または動力駆動に特徴のない操向リンク装置Ｂ６２Ｄ７／００）
B62D5/22	ラック・ピニオン型のもの｛（圧力式ヨークＢ６２Ｄ３／１２３）｝
B62D5/24	ウォーム型のもの
B62D5/26	旋回軸のもの
B62D5/28	旋回ボギーのもの
B62D5/30	安全装置，例．主操向装置の故障時に操向を確保するための，代りの緊急動力の供給または伝達装置
B62D5/32	テレモータ方式のもの
B62D6/00	検知して感応する走行状態により自動的に操向装置を制御する装置，例．制御回路（車両の方向変化を起こさせる装置Ｂ６２Ｄ１／００；操向バルブＢ６２Ｄ５／０６；曲線路上で車体または車輪を傾斜させる手段との結合Ｂ６２Ｄ９／００）<br><br><u>注</u><br><br>このグループに分類する場合に，もし操向系の他の特徴が重要であれば，グループＢ６２Ｄ１／００からＢ６２Ｄ５／００またはＢ６２Ｄ７／００からＢ６２Ｄ１９／００にも分類する。
B62D6/001	｛入力パラメータの中にはないトルク｝
B62D6/002	｛前輪または後輪用の目標ステアリング角の演算（Ｂ６２Ｄ７／１５９が優先）｝
B62D6/003	｛車両のヨー運動を制御するためのもの，すなわち縦軸周りのもの[Ｂ６２Ｄ６／００７が優先；ブレーキに作用する安定化装置Ｂ６０Ｔ８／１７５５）｝
B62D6/005	｛実際のヨーレートを得るためにセンサ出力を処理するもの｝
