D01G19/16	ニッパ機構
D01G19/18	ローラ，またはローラとエプロン，装置，例．繊維を連続的に引き出す操作用
D01G19/20	繊維を間けつ的に引き出す操作用
D01G19/22	ノイルまたはウェィストの除去または処理装置
D01G19/24	フレーム；ケーシング；カバリング
D01G19/26	駆動装置
D01G19/28	空気吸引または類似の空気装置
D01G19/30	加熱装置
D01G21/00	機械，装置または工程の組み合わせ，例．連続工程のための（Ｄ０１Ｇ１／０６，Ｄ０１Ｇ９／１２，Ｄ０１Ｇ１５／４６，Ｄ０１Ｇ１５／９４が優先）
D01G23/00	機械への繊維の供給；機械間の繊維の輸送（Ｄ０１Ｇ２１／００が優先；梳綿機における中間供給Ｄ０１Ｇ１５／４０）
D01G23/02	ホッパ；分配シュート
D01G23/04	原料供給速度調整手段をもつもの
D01G23/045	｛連続的秤量によるもの；秤量ホッパ｝
D01G23/06	繊維の供給量の変動に対応して作動する，例．ピアノモーション，機械または装置における配列（繊維の供給の変動に対応して作動する牽伸における配列Ｄ０１Ｈ）
D01G23/08	空気吸引または類似の空気装置
D01G25/00	上記以外のラップ形成装置（不織布用の連続フィラメントのマットまたは心綿の形成Ｄ０４Ｈ）
D01G27/00	ラップまたはスライバの巻き取り装置，例．打綿機の，ジュート梳綿機の，梳毛ギルボックスの
D01G27/02	堅く巻き取るために荷重されたラップロールまたは類似機構をもつもの
D01G27/04	ラップロールまたは類似物の自動引き抜き装置をもつもの
D01G29/00	繊維に潤滑性を与えるための装置，例．ギルボックスにおけるもの（特別の潤滑剤を使用する工程Ｄ０６Ｍ１５／００）
D01G31/00	警報または安全装置，例．自動欠陥検出器，停止機構（一般に適用できる安全装置Ｆ１６Ｐ；一般に適用できる表示装置Ｇ０８Ｂ）
D01G31/003	｛不純物の検知および除去｝
D01G31/006	｛工程および生成物パラメータのオンライン測定および記録｝
D01G33/00	繊維処理用手道具
D01G35/00	オーカムの処理
D01G99/00	このサブクラスの他のグループに分類されない主題事項
D01G99/005	｛紡績前の処理中の繊維のコンディショニング（紡績またはねん糸中のコンディショニングＤ０１Ｈ１３／３０）｝
