A47L9/0072	｛吸引を制御するまたは振動作用を生じさせる機械的装置｝
A47L9/0081	｛排気の拡散用装置；音または振動を減衰させる装置｝
A47L9/009	｛運搬車；トロリー装置または車輪装置；機械的障害物を回避する装置｝
A47L9/02	ノズル（流体移送のための吸引ノズルＢ６５Ｇ５１／００）
A47L9/04	駆動されるブラシまたはアジテータを有するもの
A47L9/0405	｛ブラシまたはアジテータの駆動手段｝
A47L9/0411	｛電動機によって駆動されるもの｝
A47L9/0416	｛液圧によって，例．空気タービン手段によって，駆動されるもの｝
A47L9/0422	｛支持車輪の回転によってノズルが床の上を駆動されるもの｝
A47L9/0427	｛そのための変速または可変速手段｝
A47L9/0433	｛歯車伝動｝
A47L9/0438	｛歯車が軌道運動をするもの，例．遊星歯車｝
A47L9/0444	｛無端可撓性部材，例．ベルト，によって駆動が伝達されるもの｝
A47L9/045	｛摩擦伝動｝
A47L9/0455	｛そのための軸受手段｝
A47L9/0461	｛ほこりを遊離させる道具，例．アジテータ，ブラシ｝
A47L9/0466	｛回転具｝
A47L9/0472	｛円盤｝
A47L9/0477	｛円筒｝
A47L9/0483	｛往復または振動具，例．バイブレータ，アジテータ，ビータ｝
A47L9/0488	｛個々の道具，例．端部清掃具，の組み合わせまたは配置｝
A47L9/0494	｛ほこりを遊離させる道具の高さ調整｝
A47L9/06	固定されたもの，例．調節可能な固定ブラシまたはその類似のものを有するもの
A47L9/0606	｛剛的に固定されたブラシ，櫛，リップまたはパッド｝
A47L9/0613	｛細片，毛髪またはそれに類似のもの，例．ブラシ，櫛，糸くず収集または毛髪パッド，を拾い集めることに適合された手段｝
A47L9/062	｛剛的に結合された端部ブラシ｝
A47L9/0626	｛剛的に結合されたリップ，例．液体を拾い集めるために適合されたノズル｝
A47L9/0633	｛収納可能なブラシ，櫛，リップまたはパッドをもつもの｝
A47L9/064	｛そのための作動手段｝
A47L9/0646	｛空気圧で作動するもの｝
A47L9/0653	｛機械的に作動するもの，例．水平器を用いるもの｝
A47L9/066	｛調整可能に取り付けられたブラシ，櫛，リップまたはパッド；ノズルまたはほこり収集器の高さ調整（ハンドルまたはノズルがケーシングに取り付けられた吸引掃除機のためのものＡ４７Ｌ５／３４）｝
A47L9/0666	｛傾斜，浮動，または同様の構造のブラシ，櫛，リップまたはパッド｝
A47L9/0673	｛取り外し可能なブラシ，櫛，リップまたはパッド｝
A47L9/068	｛異なる洗浄の目的が組み合わされたノズル，例．二重ノズルまたは複合目的ノズル｝
A47L9/0686	｛清掃布をもつノズル，例．ノズルを覆うための使い捨ての布を用いるもの｝
A47L9/0693	｛特殊な形状のノズル，例．ラジエター，菅，ファンまたはそれらに類似するものを掃除するためのもの；ダスター｝
A47L9/08	吹出しに適用される装置を有するもの
A47L9/10	フィルター（一般のものＢ０１Ｄ；サイクロンＢ０４Ｃ）；塵埃分離装置；塵埃の除去；フィルタの自動交換｛（床を清掃する機械のためのものＡ４７Ｌ１１／４０）｝
A47L9/102	｛塵埃の分離機（サイクロンＡ４７Ｌ９／１６）｝
A47L9/104	｛小さな物体を捕捉するための手段｝
A47L9/106	｛塵埃の除去｝
A47L9/108	｛塵埃圧縮手段｝
A47L9/12	乾式フィルタ
A47L9/122	｛平面状｝
A47L9/125	｛漏斗状｝
A47L9/127	｛管状または筒状のもの｝
A47L9/14	袋または類似のもの；｛剛体フィルター容器｝；袋｛または容器｝の付属品，または袋｛または容器｝の封縅
A47L9/1409	｛剛体フィルター容器（サイクロン用塵埃収集容器Ａ４７Ｌ９／１６８３）｝
A47L9/1418	｛不透過性塵埃収集袋｝
