B41M5/0356	｛仮の支持体にパターンを印刷するために使用されるインクまたはそのための添加剤，例．染料，転写成分，結合剤または転写促進添加剤，により特徴付けられるもの｝
B41M5/0358	｛転写を得るための機構または人工品により特徴付けられるもの，例．加熱手段，押圧手段または搬送手段｝
B41M5/04	マスターシートに溶剤可溶性染料を使用するもの，例．アルコール可溶物
B41M5/06	ゼリー状材料，例．ゼラチン，で被覆されたマスターシートを使用するもの
B41M5/08	そのためのシート材料
B41M5/10	カーボン紙またはその類似物を使用するもの
B41M5/124	マスクされた色を目に見えるようにするため，例えば，着色された支持体を見えるようにするため，不透明または透明なパターンを生成するため，または発色成分を結合することにより発色させるため，圧力を用いるもの
B41M5/1243	｛不活性粒子添加剤，例．保護用の支柱材料｝
B41M5/1246	｛層の適用，例．印刷によるもの｝
B41M5/128	減感剤；層の誤り修正，検出または同定のための組成物
B41M5/132	化学発色成分；そのための添加剤または結合剤
B41M5/136	有起色剤，例．ロイコ染料
B41M5/1363	｛金属陽イオンとの錯体を形成するロイコ染料｝
B41M5/1366	｛トリ（アリールまたはへタリール）メタン誘導体によってのみ特徴付けられるもの（Ｂ４１Ｍ５／１３６３が優先）｝
B41M5/145	ラクトン環またはラクタム環をもつもの
B41M5/1455	｛フルオラン化合物により特徴付けられるもの｝
B41M5/15	スピロピラン
B41M5/155	顕色成分，例．酸性化合物；そのための添加剤または結合剤；そのような顕色成分，添加剤または結合剤を含む層
B41M5/1555	｛無機顕色剤，例．粘土｝
B41M5/165	マイクロカプセルの使用により特徴付けられるもの；成分を混和するための特殊な溶剤
B41M5/1655	｛溶剤｝
B41M5/20	電流を用いるもの（Ｂ４１Ｍ５／２４が優先；受容シートに転写を得るために電流を熱パターンへ変換する方法Ｂ４１Ｍ５／３８２；電気凝固または電気接着による印刷または記録Ｂ４１Ｃ１／１０５）
B41M5/205	｛電極の溶出を伴うもの｝
B41M5/24	アブレーションによる記録，例．マークを焼き付けるもの；放電による記録　｛（高エネルギー手段によるマーキング，例．焼付けまたは除去以外のレーザーによるものＢ４１Ｍ５／２６；光学手段による記録または再生のための材料または方法Ｇ１１Ｂ７／００）｝
B41M5/245	｛電食または放電記録｝
B41M5/26	サーモグラフィ（Ｂ４１Ｍ５／２０，Ｂ４１Ｍ５／２４が優先）；｛高エネルギー手段によるマーキング，例．焼き付け以外のレーザによるもの，および使用される材料により特徴付けられるもの（Ｂ２３Ｋが優先；貴金属化合物を使用するサーモグラフィックまたはフォトサーモグラフィックシステムＧ０３Ｃ１／４９４）｝
B41M5/262	｛無欺面または無機材料の記録またはマーキング，例．ガラス，金属またはセラミック（無機添加剤を用いるプラスチック人工物のマーキングＢ４１Ｍ５／２６７）｝
B41M5/265	｛光学フィルタまたは電気部品の製造のためのもの｝
B41M5/267	｛プラスチック人工物のマーキング，例．レーザーを用いるもの｝
B41M5/28	サーモクロミック化合物または液晶，マイクロカプセル，漂白可能染料または熱分解可能化合物，例．ガスが遊離するものを含む層を使用するもの　｛（Ｂ４１Ｍ５／３８２７１が優先）｝
B41M5/281	｛液晶のみを使用するもの｝
B41M5/282	｛サーモクロミック化合物を使用するもの｝
B41M5/283	｛無機サーモクロミック化合物｝
B41M5/284	｛有機サーモクロミック化合物｝
B41M5/285	｛ポリアセチレン｝
B41M5/286	｛分子の分裂によって色変化を生じる化合物を使用するもの，例．漂白可能染料｝
B41M5/287	｛マイクロカプセルまたは微粒子のみ使用するもの｝
B41M5/288	｛例えば，小胞状のまたは膨らんだ画像を得るために，ガスが遊離する化合物を使用するもの（Ｂ４１Ｍ３／１６，Ｂ４１Ｍ９／０４が優先；熱グラビア印刷Ｂ４１Ｍ７／０２）｝
B41M5/30	化学的発色剤を用いるもの（Ｂ４１Ｍ５／３４が優先）
B41M5/305	｛可逆的電子供与体電子受容体組成物を使用するもの｝
