H02H3/247	時限要素をもつもの
H02H3/253	多相交流用のもの，例．欠相
H02H3/26	電圧間または電流間の差に応答するもの；電圧間または電流間の位相角に応答するもの
H02H3/265	｛電圧間あるいは電流間の位相角に応答するもの｝
H02H3/28	１系統の２つの離れた部分の電圧または電流値の比較を含むもの，例．１線路の両端におけるもの，装置の入出力におけるもの　｛（トランス用のものＨ０２Ｈ７／０４５）｝
H02H3/283	｛変流器の飽和のためのもの｝
H02H3/286	｛零相分同士の比較を含むもの｝
H02H3/30	パイロット線または他の信号路を使用するもの
H02H3/302	｛位相比較を含むもの｝
H02H3/305	｛電流比較を含むもの｝
H02H3/307	｛複数の位相から得られる数量の比較を含むもの，　例．零相分；　混合トランスを使うもの｝
H02H3/32	１系統の異なった導体の対応部における電圧または電流値の比較を含むもの，例．往復導体内の電流の比較
H02H3/325	｛電圧比較を含むもの　（Ｈ０２Ｈ３／３４７が優先）｝
H02H3/33	零相変流器を用いるもの　（Ｈ０２Ｈ３／３４７が優先）
H02H3/331	｛中性線を接地することに応答するもの　（Ｈ０２Ｈ３／３３８が優先）｝
H02H3/332	｛故障電流における直流成分に応答する手段を持つもの｝
H02H3/334	｛他の保護装置、モニター，遠隔制御のために，擬似不平衡状態を作り出す手段をもつもの　（Ｈ０２Ｈ３／３３８が優先）｝
H02H3/335	｛主要な機能が装置の自己診断であるもの｝
H02H3/337	｛無効故障電流による開放を避けるもの｝
H02H3/338	｛配線障害に応答するもの，例．ニュートラルの喪失や断線｝
H02H3/34	三相系統のもの
H02H3/343	｛相順序分析器を使用するもの｝
H02H3/347	零相変流器を用いるもの
H02H3/353	相電圧の比較を含むもの
H02H3/36	異なった系統の対応部分における電圧または電流値の比較を含むもの，例．並行回線系統の場合
H02H3/365	｛他方の系統をシミュレートするもの｝
H02H3/38	電圧，電流の両方に応答するもの；電圧電流間の位相角に応答するもの
H02H3/382	｛電流と電圧または　電流と電圧から得られる値の位相比較を含むもの｝
H02H3/385	｛少なくとも零相分を使用するもの｝
H02H3/387	｛相順序分析装置を使用するもの｝
H02H3/40	電圧，電流の比に応答するもの
H02H3/402	｛零相分を使用するもの｝
H02H3/405	｛相順序分析装置を使用するもの｝
H02H3/407	｛誘導型リレーを使用するもの｝
H02H3/42	電圧，電流の積に応答するもの
H02H3/422	｛零相分を使用するもの｝
H02H3/425	｛相順序分析装置を使用するもの｝
H02H3/427	｛誘導型リレーを使用するもの｝
H02H3/44	電気量の変化率に応答するもの
H02H3/445	｛直流量｝
H02H3/46	周波数偏差に応答するもの
H02H3/48	脱調に応答するもの
H02H3/50	異常波形の発生に応答するもの，例．直流装置における交流の発生
H02H3/52	高調波の発生に応答するもの
H02H5/00	電気的でない正常な動作状態からの異常変化に直接応答し，自動開放のための非常保護回路装置，その後において，再閉路する場合あるいはしない場合も含む（被保護装置の模擬装置を用いるものＨ０２Ｈ６／００；特殊型式の電気機械または装置に，またはケーブルあるいは線路系統の区間保護に特に適用されているものＨ０２Ｈ７／００）
H02H5/005	｛電離放射線に応答するもの；原子核放射線無効化回路（放射線検出器Ｇ０１Ｔ；核爆発検出Ｇ２１Ｊ５／００）｝
H02H5/04	異常温度に応答するもの（電気機械に特に適用されているものＨ０２Ｈ７／０８５２）
H02H5/041	｛さらに過電流に応答するもの（Ｈ０２Ｈ５／０４８が優先）｝
H02H5/042	｛温度依存抵抗器を用いるもの｝
H02H5/043	｛電熱線に平行になるように配列された温度依存抵抗器，例．電気毛布における電熱線｝
H02H5/044	｛温度を感知する半導体装置を用いるもの｝
H02H5/045	｛熱放射センサを用いるもの｝
H02H5/046	｛熱電対を用いるもの｝
H02H5/047	｛温度に応答するスイッチを用いるもの｝
H02H5/048	｛さらにスイッチの熱によって生じる過電流に応答するもの｝
H02H5/06	油入電気装置におけるもの
H02H5/08	異常な流体圧力，液位，液体変位に応答するもの，例．ブッフホルツ継電器
H02H5/083	｛液体の電気器具への侵入または漏れに応答するもの（湿気警報器Ｇ０８Ｂ２１／２０）｝
H02H5/086	｛流体が冷却用または潤滑用であるもの｝
H02H5/10	機械的損傷に対して応答するもの，例．線路の断線，接地の破損
H02H5/105	｛接地線の劣化または途切れに応答するもの（通電防止のためのものＨ０２Ｈ１１／００１）｝
H02H5/12	生物による電気的導電部への接近，あるいは接触に対して応答するもの
H02H6/00	被保護装置の模擬装置を用いて，正常な非電気的動作状態からの異常変化に応答する非常保護回路装置，例．サーマルイメージを用いるもの
H02H6/005	｛デジタルサーマルイメージを用いるもの｝
H02H7/00	特定の電気機械または装置，またはケーブルあるいは線路系統の区間保護に特に適用され，正常な動作状態からの異常変化の場合に自動スイッチングを行なわせる非常保護回路装置（特殊な機械または装置と保護装置との構造的結合および自動断路を有しない保護装置は，機械または装置に関連するサブクラスを参照）
H02H7/001	｛超伝導機器のためのもの，　例．　コイル，線，機械｝
H02H7/003	｛静電装置のためのもの｝
H02H7/005	｛リモコン機器のためのもの；　そのような機器を結ぶための電線｝
H02H7/006	｛非絶縁低電圧配電システムのためのもの，　例．　低電圧ハロゲンランプシステム｝
H02H7/008	｛このサブクラスに従う保護装置のためのもの　（Ｈ０２Ｈ９／０４２　と　Ｈ０２Ｈ９／０４３　が優先；　スパーク　ギャップの保護装置　Ｈ０２Ｈ７／２４）｝
H02H7/04	変成器のためのもの
H02H7/042	｛電流変成器のためのもの｝
H02H7/045	変成器の差動保護
H02H7/0455	｛電流変成器の飽和を考慮したもの｝
H02H7/05	コンデンサ型変圧器のためのもの，例．共振状態に対するもの
H02H7/055	タップ付変成器またはそのタップ切換装置のためのもの
H02H7/06	発電機のためのもの；同期進相機のためのもの
H02H7/062	｛平行接続発電器のためのもの｝
H02H7/065	｛励起故障に対するもの｝
H02H7/067	｛負荷のダンプについて　（負荷の突然の変化についての制御　Ｈ０２Ｐ９／１０；　可変速度で動く発電器の安全装置　Ｈ０２Ｊ７／１４６１）｝
H02H7/08	電動機のためのもの
H02H7/0805	｛同期電動機のためのもの｝
H02H7/0811	｛直流電動機のためのもの　（Ｈ０２Ｈ７／０８３３　が優先）｝
H02H7/0816	｛起動順序に関するもの，　例．　時間単位に起動数を制限するもの，　起動中にスピードをモニターするもの｝
H02H7/0822	｛統合保護，原動機制御センター｝
H02H7/0827	｛軽負荷あるいは無負荷に応答するもの，　例．　ポンプモーターのポンプオフ制御回路｝
