C04B7/4407	｛そのための燃料の処理または選択，例．二次燃料として危険廃棄物の使用（燃料一般Ｃ１０Ｌ）；特別のエネルギー源の使用，例．他のプロセスからの廃熱ガス｝
C04B7/4415	｛廃熱ガス｝
C04B7/4423	｛燃料として用いられたものの廃棄物または塵芥｝
C04B7/443	｛タイヤ，例．細断されたもの｝　
C04B7/4438	｛燃料が直接ロータリーキルンに導入されるもの｝
C04B7/4446	｛燃料が別のガス化室または分解室で処理されるもの，例．分離燃焼室｝
C04B7/4453	｛プラズマまたは放射線を使用するもの｝
C04B7/4461	｛格子焼結｝
C04B7/4469	｛シャフトまたは垂直キルン内で｝
C04B7/4476	｛キルン雰囲気の選択｝
C04B7/4484	｛非電気的溶融｝
C04B7/4492	｛セメントキルン中の固着物の形成防止と除去（回転ドラム炉からの固着物の除去Ｆ２７Ｂ７／２０７５）｝
C04B7/45	流動床での，｛例．噴流床｝
C04B7/46	電気的なもの
C04B7/47	冷却；｛廃熱利用｝
C04B7/475	｛セメント製造ラインでの単純熱交換，例．蒸気発生のための，以外の方法での廃熱，例．冷却クリンカーの，の利用｝
C04B7/48	クリンカー処理（Ｃ０４Ｂ７／４７が優先）
C04B7/51	水和
C04B7/52	粉砕；｛粉砕セメントの後処理｝
C04B7/522	｛粉砕セメントの後処理（Ｃ０４Ｂ７／３６８が優先）｝
C04B7/525	｛ブリケツト化｝
C04B7/527	｛細かさに特徴があるセメントの取得，例．マルチモーダル粒度分布によるもの｝
C04B7/60	アルカリ金属またはその化合物の除去方法，｛例．原料からまたは焼成プロセス中で；他の有害物質の除去方法（環境汚染の回避Ｃ０４Ｂ７／３６４）｝
C04B9/00	マグネシウムセメントまたはそれに類似するセメント
C04B9/02	塩化物を含むマグネシウムセメント，例．ソーレルセメント
C04B9/04	硫酸塩，硝酸塩，りん酸塩またはふっ化物を含むマグネシウムセメント
C04B9/06	マグネシウム化合物以外の金属化合物，例．亜鉛または鉛化合物，を含有するセメント
C04B9/11	他の無機セメント質材料との混合物
C04B9/12	水硬性セメント，例．ポルトランドセメント，との
C04B9/20	製造，例．バッチの調製（石灰岩，マグネサイトまたはドロマイトの予熱，焼成，か焼または冷却Ｃ０４Ｂ２／１０）
