B42F17/00	カードの分類整理用具，例．カード式索引またはカタログまたはファイリングキャビネット（索引のための指標に特徴のあるものＢ４２Ｆ２１／００；家具としての特徴のあるものＡ４７Ｂ，Ａ４７Ｆ）<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，カードファイル用索引用具；互い違いに配置されたカード；回転式ファイリングシステムに関連するＩＤＴ−グループに分類されていた:　−これらの文献は，管理上前述のＩＤＴグループからこのグループへ再分類された。｝
B42F17/02	カードが容器の底と直角に貯蔵されるもの
B42F17/04	そのカードが横向きに喰い違いになっているもの（とじ込み中にカードを喰い違いにする手段をすでにもつものＢ４２Ｆ１７／３２）
B42F17/06	自由カードまたは分離可能になっているカードを分離する手段を有するもの
B42F17/08	容器の構造，例．トレイまたは引出し
B42F17/10	蝶着された仕切壁
B42F17/12	分割装置
B42F17/14	錠止め従動体
B42F17/16	カード保持手段のあるもの
B42F17/18	カードが平な位置に貯蔵されるもの
B42F17/20	容器の底に対して回動されるもの
B42F17/22	カードと容器の結合
B42F17/24	索引細長片の使用のための特別な適合
B42F17/26	容器の台
B42F17/28	無端帯または回転ドラム形式
B42F17/30	特定の用途のために修正されたもの
B42F17/32	とじ込み中にカードを喰い違いにする手段をすでにもつもの
B42F17/34	カード選択手段をもつもの，例．電話番号表見出し器（データカード用の選択装置Ｇ０６Ｋ２１／００）
B42F17/343	｛選択されたカードがすべるように動くもの｝
B42F17/346	｛選択されたカードが回転するように動くもの｝
B42F19/00	とじ込みカード（Ｂ４２Ｆ２１／００が優先；情報検索用穿孔カード，例．手で扱うためのもの，Ｇ０６Ｋ２１／００）<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，とじ込みカード；折り畳み具にファイルを貼り付けるものに関連するＩＤＴ−グループに分類されていた:　−これらの文献は，管理上前述のＩＤＴグループからこのグループへ再分類された。｝
B42F19/02	折り曲げられたもの
B42F19/04	容器または他の保持手段をもつもの
B42F21/00	索引手段；索引用つけ札またはそのための保護具<br><br><u>｛注</u><br><br>このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，本またはファイリング装置を特に索引する用具；記録簿またはカタログ；付け札，例．除去可能なものに関連するＩＤＴ−グループに分類されていた:　−これらの文献は，管理上前述のＩＤＴグループからこのグループへ再分類された。｝
B42F21/02	シート，紙片，カード，または懸垂とじ込み体と一体のつけ札
B42F21/025	｛懸垂とじ込み体用｝
B42F21/04	シート，紙片，カード，または懸垂とじ込み体と永久的結合をもつつけ札
B42F21/045	｛懸垂とじ込み体用｝
B42F21/06	シート，紙片，カード，または懸垂とじ込み体と分離可能に取付けられたつけ札
B42F21/065	｛懸垂とじ込み体用｝
B42F21/08	あらかじめ決められた多数の位置のうちの１つにあるもの。このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する:−ここに分類されている文献は，ファイルカード上で可動なラベルに関連するＩＤＴ−グループに分類されていた。−これらの文献は，管理上前述のＩＤＴグループからこのグループへ再分類された。｝
B42F21/10	スリットで表現されたもの　このグループにおいては，＋ＩＤＴという表現は以下の内容を意味する。　−ここに分類されている文献は，スリット内に導入された付け札に関連するＩＤＴ−グループに分類されていた:　−これらの文献は，管理上前述のＩＤＴ−グループからこのグループへ再分類された。｝
B42F21/12	索引を容易にするための切り取り端部をもつシート，紙片またはカード，例．本のつめかけ用切取り
B42F23/00	このサブクラスの他のグループに分類されないファイリング用具
