B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B7/0081	｛低圧ガスを伴い供給する装置，例．ｈｖｌｐガン；送風機により供給される空気｝
B05B7/0087	｛大気が気体流，概してベンチュリを通って流れ，噴霧装置の上流または内側に位置するもの，により吸引されるもの｝
B05B7/0093	｛少なくとも装置，例．容器，の一部が手段，例．地面に対する相対的な移動を可能にするための車輪または足車，を備えるもの｝
B05B7/02	噴霧ピストル；放出装置（粒状材料を噴霧するためのものＢ０５Ｂ７／１４，噴霧される材料を加熱する手段を有するものＢ０５Ｂ７／１６，放出装置に流動性材料を供給するための手段を有するものＢ０５Ｂ７／２４）
B05B7/025	｛ノズルが噴霧される材料のための長尺排出口，例．スロット，をもつもの｝
B05B7/04	放出前に液体または他の流動性材料を混合する装置を有するもの（混合一般Ｂ０１Ｆ，例．Ｂ０１Ｆ５／００；混合弁Ｆ１６Ｋ１１／００）
B05B7/0408	｛２種以上の液体を混合する装置を有するもの｝
B05B7/0416	｛１種の気体および１種の液体を混合する装置を有するもの｝
B05B7/0425	｛圧縮ガスのいかなる供給源もないもの，例．空気が加圧液体により吸引されるもの｝
B05B7/0433	｛混合室の上流の液体の外側導管により囲まれている１本の気体の内側導管を有するもの｝
B05B7/0441	｛混合室の上流の気体の外側導管により囲まれている１本の液体の内側導管を有するもの｝
B05B7/045	｛気体および液体が上流の混合室と平行に流れるもの（Ｂ０５Ｂ７／０４５８，Ｂ０５Ｂ７／０４６６が優先）｝
B05B7/0458	｛気体および液体が上流の混合室とちょうど垂直に流れるもの｝
B05B7/0466	｛中央の液流を周辺気体流に向けて偏向させるための手段を有するもの｝
B05B7/0475	｛周辺の気体流を中央液流に向けて偏向させるための手段を有するもの（Ｂ０５Ｂ７／０４５８が優先）｝
B05B7/0483	｛気体および液体噴射が混合室で交差するもの｝
B05B7/0491	｛液体および気体が液体の流路に添って少なくとも２回混合するもの｝
B05B7/06	ほぼ同一平面で他の排出口にかこまれた｛少なくとも｝１つの吐出オリフィスを有するもの（Ｂ０５Ｂ７／１０が優先）
B05B7/061	｛一種または数種の液体を放出する数個の液体排出口を有するもの｝
B05B7/062	｛ただ一個の液体排出口と少なくとも一個の気体排出口を有するもの｝
B05B7/063	｛一種の液体が他のものによって吸引されるもの｝
B05B7/064	｛液体が気体によって吸引されるもの｝
B05B7/065	｛内側気体排出口が環状隣接液体排出口に囲まれているもの｝
B05B7/066	｛少なくとも一個の環状気体排出口により囲まれている内側液体排出口を有するもの｝
B05B7/067	｛液体排出口が円環状であるもの｝
B05B7/068	｛環状の気体排出口が軸方向に窪んだ曲面の内面をもち該出口のちょうど上流の気体導管により供給されるもの｝
B05B7/08	分離したオリフィスを有するもの，例．平行吐出流，｛すなわち，噴流の中心軸が平行であるもの｝，を構成するもの，交さ噴流を構成するもの，｛すなわち，一点に集まるが必ずしも一点に交差しない噴射の中心軸｝
B05B7/0807	｛交さ噴流を構成するもの｝
B05B7/0815	｛後の形状を制御するために液体または液体を含有する混合物により構成される噴射と交差する少なくとも一本の気体噴射を有するもの｝
B05B7/0823	｛噴霧を成形する気体噴流の流量を制御する板を調節する回転噴霧パターンからなるもの｝
B05B7/083	｛回転可能な噴霧成形気体噴流の出口からなるもの｝
B05B7/0838	｛成形および噴霧する気体噴流の流量を同時に制御する単一の手段からなるもの｝
B05B7/0846	｛液体または液体を含有する混合物により構成される噴射のみである噴射を有するもの｝
B05B7/0853	｛液体または液体を含有する混合物により構成されている一本の単一の気体噴射，および数本の噴射を有するもの（Ｂ０５Ｂ７／０８１５が優先）｝
B05B7/0861	｛一本の単一の気体噴射，および液体または液体を含有する混合物により構成されている数本の噴射を有するもの（Ｂ０５Ｂ７／０８１５が優先）｝
B05B7/0869	｛液体またはその他の流動性材料が他の流体により排出口オリフィスから吸入または吸引されるもの，例．気体が他の排出口オリフィスから入るもの｝
B05B7/0876	｛液体または液体を含有する混合物により構成されている平行な噴射を形成するもの（Ｂ０５Ｂ７／０８８４，Ｂ０５Ｂ７／０８９２が優先）｝
B05B7/0884	｛液体または液体を含有する混合物により構成されている噴射のための排出口オリフィスが整列しているもの｝
B05B7/0892	｛液体または液体を含有する混合物により構成されている噴射のための排出口オリフィスが円上に配置されたもの｝
B05B7/10	渦流の放出をなすもの
B05B7/12	流量を制御するように設計されたもの，例．調節できる流路を有するもの
B05B7/1209	｛それぞれの液体または他の流動性材料が手動または相互依存のもののための制御手段｝
B05B7/1218	｛制御手段の動作の調整または変調のための手段を有するもの｝
B05B7/1227	｛制御手段の変位と弁要素の変位との間の非線形関係｝
B05B7/1236	｛３以上の連動弁を有するもの｝
B05B7/1245	｛気体弁が液体弁の前で開口するもの｝
B05B7/1254	｛制御手段が流体で作動するもの｝
B05B7/1263	｛空気圧で作動するもの｝
B05B7/1272	｛噴霧に関与する，すなわち，ノズルから排出する，気体により操作されるもの，例．噴霧または噴流成形気体としてのもの｝
B05B7/1281	｛直列配置，すなわち，最初に制御手段として作用しノズルの下流に流れる単一の気体流｝
B05B7/129	｛手持ち銃がハンドルの底に位置する気体弁からなるもの（Ｂ０５Ｂ７／００８７が優先）｝
B05B7/14	粒状材料を噴霧するために設計されたもの（Ｂ０５Ｂ７／１６が優先）
B05B7/1404	｛粒状材料を供給するための装置｝
B05B7/1409	｛短い繊維またはチップに特に適合されたもの（Ｂ０５Ｂ７／１４５が優先）｝
B05B7/1413	｛人によって，例．手によって，移動可能である装置；放出装置に固定された容器からなる装置｝
B05B7/1418	｛追加的な液体を供給するための手段からなるもの｝
B05B7/1422	｛移動する機械的手段，例．衝撃振動を与えるもの，からなる粒状材料を供給するための手段｝
B05B7/1427	｛使用者の背に負うて運ばれる装置｝
B05B7/1431	｛追加的な液体を供給するための手段からなるもの（Ｂ０５Ｂ７／１４１８が優先）｝
B05B7/1436	｛粒状材料と追加的な液体が一緒に運ばれる容器へのもの（混合一般Ｂ０１Ｆ）｝
B05B7/144	｛粒状材料を供給するための手段が移動する機械的手段からなるもの（Ｂ０５Ｂ７／１４２２，Ｂ０５Ｂ７／１４５９が優先）｝
B05B7/1445	｛振動を伴うもの（Ｂ０５Ｂ７／１４５が優先）｝
B05B7/145	｛短い繊維またはチップに特に適合されたもの｝
B05B7/1454	｛収集された過剰に噴霧された粒状材料を供給するための手段からなるもの（過剰に噴霧された材料を収集するための装置を有するスプレーブースＢ０５Ｂ１４／４０）｝
B05B7/1459	｛入口および出口弁の上流または下流のチャンバからなり，チャンバおよび交互に粒状材料を内部に吸引しおよび弁を通じてチャンバから粒状材料を取り除くための手段（ガス圧送と吸引の組み合わせの利用によるばらでの物質の運搬Ｂ６５Ｇ５３／２８；ポンプ一般Ｆ０４Ｂ；供給物または容器から所定容量の流体または流動性固体をくりかえし測定し分離するための装置Ｇ０１Ｆ１１／００）｝
B05B7/1463	｛粉体容器の加圧するまたは減圧から回避するための気体入口からなる粒状材料を供給するための手段｝
B05B7/1468	｛循環系からなる粒状材料を供給するための手段｝
B05B7/1472	｛粉体中に漬けられる吸引装置による本質的に重力に逆らった方向での粉体容器からの粉体の取出し｝
B05B7/1477	｛複数の噴霧装置に供給するための手段｝
B05B7/1481	｛粒状材料を放出するための噴霧ピストルまたは装置｝
B05B7/1486	｛乾燥状態で粒状材料を噴霧するためのもの｝
B05B7/149	｛噴霧される粒状材料および液体のための個別の吸入口を有するもの｝
B05B7/1495	｛および粒状材料および液体のための個別の排出口を有するもの｝
B05B7/16	噴霧するための材料を加熱する｛または冷却する｝手段を組み込んだもの｛（爆発手段による噴霧Ｂ０５Ｂ７／０００６）｝
B05B7/1606	｛噴霧する流体の使用に関する材料の噴霧，例．空気（Ｂ０５Ｂ７／１６８，Ｂ０５Ｂ７／１６８６，Ｂ０５Ｂ７／２０，Ｂ０５Ｂ７／２２が優先）｝
B05B7/1613	｛噴霧される材料と混合する前に噴霧する流体を加熱するための手段からなるもの｝
B05B7/162	｛かつ熱が噴霧する流体から噴霧される材料へ伝達されるもの｝
B05B7/1626	｛混合時におけるもの｝
B05B7/1633	｛かつ熱が噴霧される材料から噴霧する流体へ伝達されるもの｝
B05B7/164	｛噴霧される材料と噴霧する流体との間での熱の伝達なく，噴霧される材料と噴霧する流体とが独立した熱源で加熱されるもの｝
B05B7/1646	｛噴霧される材料と噴霧する流体との間での熱の伝達なく，噴霧される材料と噴霧する流体とが同一の熱源で加熱されるもの｝
B05B7/1653	｛熱源が熱伝導流体であるもの｝
B05B7/166	｛噴霧される材料が容器内で加熱されるもの（Ｂ０５Ｂ７／２０８が優先）｝
B05B7/1666	｛放出装置に固定されるもの｝
B05B7/1673	｛熱が熱伝達伝導性流体により噴霧される材料へ伝達されるもの（Ｂ０５Ｂ７／１６２，Ｂ０５Ｂ７／１６５３が優先）｝
B05B7/168	｛混合後に加熱または冷却するための手段を有するもの（Ｂ０５Ｂ７／２０１，Ｂ０５Ｂ７／２２が優先）｝
B05B7/1686	｛噴霧される材料または噴霧する流体を発生する製品の蒸発に関するもの｝
B05B7/1693	｛供給ホースまたは類似のものの中で噴霧される材料または噴霧する流体を加熱するための手段を有するもの｝
B05B7/18	元来線状，棒状，または類似の形状であった材料｛（Ｂ０５Ｂ７／２０３，Ｂ０５Ｂ７／２２４が優先）｝
B05B7/20	火炎または燃焼によるもの
B05B7/201	｛ノズルの下流｝
B05B7/203	｛噴霧される材料が元来線状，棒状または類似の形状をもつもの｝
B05B7/205	｛噴霧される材料が元来粒子状の材料であるもの｝
B05B7/206	｛放出機器に固定される容器内にあるもの｝
B05B7/208	｛噴霧される材料が容器内で加熱されるもの｝
B05B7/22	電気的なもの，｛磁気的なものまたは電磁気的なもの｝，例．アークによるもの｛（Ｂ０５Ｂ７／２０が優先）｝
B05B7/222	｛アークを用いるもの｝
B05B7/224	｛材料が元来線状，棒状または類似の形状をもつもの｝
B05B7/226	｛材料が元来粒子状の材料であるもの｝
B05B7/228	｛電磁放射，例．レーザ，を使用するもの｝
B05B7/24	放出装置に液体または他の流動性材料を供給するための手段，例．容器，を有するもの（Ｂ０５Ｂ７／１４，Ｂ０５Ｂ７／１６，Ｂ０５Ｂ１１／００が優先）
B05B7/2402	｛人により運搬，例．手で運搬される装置；放出装置に固定された容器からなる装置（Ｂ０５Ｂ７／００１２が優先）｝
B05B7/2405	｛噴霧する流体を，供給用の運搬流体として用いるもの，例．吸引または圧力により，容器からノズルへ液体を運搬するもの（Ｂ０５Ｂ７／２４５９〜Ｂ０５Ｂ７／２４７が優先）｝
B05B7/2408	｛容器またはその噴霧装置への取付けに特徴のあるもの｝
B05B7/241	｛容器が加圧されるもの｝
B05B7/2413	｛噴霧装置に対する容器の位置または方向を変更するための手段を有するもの｝
B05B7/2416	｛噴霧する流体を生成または供給するための手段，例．空気ホース，空気ポンプ，気体容器，圧縮器，ファン，通気器，それらの駆動，に特徴のあるもの｝
B05B7/2418	｛空気ポンプが操作者により作動されるもの，例．手動で作動されるもの｝
B05B7/2421	｛気体容器｝
B05B7/2424	｛運搬された液体および噴霧する流体の主流が放出前にともに容器の下流に集められるもの（Ｂ０５Ｂ７／２４３５が優先）｝
B05B7/2427	｛および噴霧される流体の副流がともに容器に集められるものまたは運搬流体が容器内で圧力下に置かれるもの｝
B05B7/2429	｛運搬された液体および噴霧する流体の主流がともに放出後に集められるもの（Ｂ０５Ｂ７／２４３５が優先）｝
B05B7/2432	｛および噴霧される流体の副流がともに容器に集められるものまたは運搬流体が容器内で圧力下に置かれるもの｝
B05B7/2435	｛運搬された液体および噴霧する流体の主流がともに一方が他方の内側に位置する並行導管により集められるもの｝
B05B7/2437	｛および噴霧される流体の副流がともに容器に集められるものまたは運搬流体が容器内で圧力下に置かれるもの｝
B05B7/244	｛運搬された液体を供給のために用いるもの．例．吸引，圧力または溶解による，容器からノズルへ運搬される流体（Ｂ０５Ｂ７／２４５９〜Ｂ０５Ｂ７／２４７が優先）｝
B05B7/2443	｛運搬された液体および運搬する液体の主流が放出前にともに容器の下流に集められるもの（Ｂ０５Ｂ７／２４５４が優先）｝
B05B7/2445	｛および運搬する液体の副流がともに容器に集められるものまたは運搬流体が容器内で圧力下に置かれるもの｝
B05B7/2448	｛運搬された液体および運搬する液体の主流がともに放出後に集められるもの（Ｂ０５Ｂ７／２４５４が優先）｝
B05B7/2451	｛および運搬する液体の副流がともに容器に集められるものまたは運搬流体が容器内に置かれるもの｝
B05B7/2454	｛運搬された液体および運搬する液体の主流がともに，一方の導管が他方の内側に位置する並行導管により集められるもの｝
B05B7/2456	｛および運搬する液体の副流がともに容器に集められるものまたは運搬流体が容器内で圧力下に置かれるもの｝
B05B7/2459	｛液体が容器からノズルへ毛管現象により供給されるもの｝
B05B7/2462	｛固体材料のブロックを溶解するための容器を通して流れる運搬液体を用いるもの｝
B05B7/2464	｛液体が容器からノズルへの機械的ポンプ輸送により供給されるもの｝
B05B7/2467	｛液体が，容器内に発生する圧力であって，運搬流体によって生じるものではない圧力により供給されるもの｝
B05B7/247	｛｛液体が容器からノズルへ重力のみで供給されるもの（Ｂ０５Ｂ７／２４７８が優先）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ７／２４７はグループＢ０５Ｂ７／２４７８への再分類の影響を受ける。<br>グループＢ０５Ｂ７／２４７およびＢ０５Ｂ７／２４７８はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B7/2472	｛数個の容器からなるもの｝
B05B7/2475	｛使用者の背に負うて運ばれる容器からなるもの｝
B05B7/2478	｛｛通常の使用において銃の上に位置する容器を有する銃｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ７／２４７８はＢ０５Ｂ７／２４７からの再分類が未完成であり保留されている。<br>グループＢ０５Ｂ７／２４７およびＢ０５Ｂ７／２４７８はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B7/2481	｛液体またはたの流動性材料のための可撓性容器を有するもの｝
B05B7/2483	｛供給手段が圧力または吸引に関連しないもの，例．手段が重力または毛管現象に関連するもの（Ｂ０５Ｂ７／２４５９，Ｂ０５Ｂ７／２４７が優先）｝
B05B7/2486	｛複数の放出装置に液体または他の流動性材料を供給するための手段を有するもの｝
B05B7/2489	｛噴霧する流体，例．気体，が放出装置に供給されるもの（Ｂ０５Ｂ７／２４０２，Ｂ０５Ｂ７／２４８３，Ｂ０５Ｂ７／２６２が優先）｝
B05B7/2491	｛噴霧する流体を生成または供給するための手段，例．空気ホース，空気ポンプ，気体容器，圧縮器，ファン，通気器，それらの駆動，に特徴のあるもの｝
B05B7/2494	｛液体が加圧されたまたは圧縮可能な容器から放出装置へ供給されるもの｝
B05B7/2497	｛異なった源からの複数の液体が放出装置に供給されるもの｝
B05B7/26	異なった源からの液体または他の流動性材料を，放出装置に導入する前に一緒にするようにした装置｛（Ｂ０５Ｂ７／２４０２が優先）｝
B05B7/262	｛液体および気体が放出装置に導入する前に一緒にされるもの｝
B05B7/265	｛液体が重力により供給されるか，または気体へ吸引されるもの｝
B05B7/267	｛液体および気体がともに加圧下にあるもの｝
B05B7/28	１つの液体または他の流動性材料がオリフィスを通して搬送流体中に供給されるか流下されるもの｛（Ｂ０５Ｂ７／２６２が優先）｝
B05B7/30	第一の液体または他の流動性材料が重力により供給されるか，搬送流体中に吸い込まれるもの
B05B7/32	供給される液体または他の流動性材料が加圧されるもの
B05B9/00	気体または蒸気を本質的に混合することなく液体または他の流動性材料を放出するための噴霧装置（Ｂ０５Ｂ１１／００が優先）
B05B9/002	｛例えば噴霧される材料を，加熱または冷却する手段を組み込むもの｝
B05B9/005	｛液体または他の流動性材料が相変化に近い流体であるもの｝
B05B9/007	｛装置，例．容器，の少なくとも一部が地面に対して移動可能にするための手段，例．車輪，を備えるもの｝
B05B9/01	噴霧ピストル，｛放出装置｝（Ｂ０５Ｂ９／０３が優先）
B05B9/03	液体または他の流動性材料を供給する手段に特徴のあるもの｛（Ｂ０５Ｂ９／００２が優先）｝
B05B9/035	｛数個の噴霧装置へのもの（Ｂ０５Ｂ９／０４２３が優先）｝
B05B9/04	圧力を上げるか圧縮できる容器を有するもの（エアゾール容器Ｂ６５Ｄ８３／１４）；ポンプを有するもの
B05B9/0403	｛液体または他の流動性材料のためのポンプを有するもの（Ｂ０５Ｂ９／０４３が優先）｝
B05B9/0406	｛数台のポンプを有するもの｝
B05B9/0409	｛ポンプが液圧または気圧流体によって駆動されるもの｝
B05B9/0413	｛往復動ポンプ，例．隔膜ポンプ，ピストンポンプ，ふいごポンプ（Ｂ０５Ｂ９／０４０９が優先）｝
B05B9/0416	｛回転ポンプ輸送部分から構成されるポンプ，例．歯車ポンプ，遠心ポンプ，スクリュー型ポンプ，を有するもの（Ｂ０５Ｂ９／０４２が優先）｝
B05B9/042	｛蠕動ポンプを有するもの｝
B05B9/0423	｛液体またはその他の流動性材料を数個の噴霧装置に供給するためのもの｝
B05B9/0426	｛噴霧銃または放出装置に固定されたポンプを有するもの（流れがポンプにより生ずる手持ち式の単体装置Ｂ０５Ｂ１１／３０）｝
B05B9/043	容器から容易に分離できるポンプを有するもの
B05B9/047	供給が容器の従動部によって生ずるもの，例．隔膜または浮動ピストンによるもの，｛または容器の変形によって生ずるもの（Ｂ０５Ｂ９／０８３８が優先）｝
B05B9/06	車両の走行に呼応して放出するもの，例．車輪に駆動されるポンプ
B05B9/08	ひとりの人により運搬可能な装置，例．ナップザック型のもの（｛Ｂ０５Ｂ９／０４２６，Ｂ０５Ｂ１１／００が優先｝；作動に特別の関連をもたない携帯用動力駆動工具の細部または要素，例．ケーシング，本体，Ｂ２５Ｆ５／００）
B05B9/0805	｛液体またはその他の流動性材料のための圧力を上げるかまたは圧縮できる容器からなるもの（Ｂ０５Ｂ９／０８５が優先）｝
B05B9/0811	｛容器を加圧または圧縮するために操作者により作動される空気供給手段からなるもの｝
B05B9/0816	｛空気供給手段が手動作動空気ポンプであるもの｝
B05B9/0822	｛放出装置が容器に固定されているもの｝
B05B9/0827	｛空気ポンプが振動により作動されるもの｝
B05B9/0833	｛圧縮ガス容器，例．窒素カートリッジ，からなるもの｝
B05B9/0838	｛供給が容器の従属物，例．隔膜または浮動ポンプ，または容器の変形によりなされるもの｝
B05B9/0844	｛容器が化学反応により発生する気体により加圧または収縮されるもの｝
B05B9/085	｛液体ポンプを有するもの｝
B05B9/0855	｛ポンプがモータ駆動されるもの（Ｂ０５Ｂ９／０８６６，Ｂ０５Ｂ９／０８７２が優先）｝
B05B9/0861	｛モータが電動式であるもの｝
B05B9/0866	｛ポンプが歯車，遠心またはスクリュー型ポンプであるもの｝
B05B9/0872	｛ポンプが蠕動ポンプであるもの｝
B05B9/0877	｛ポンプが蓄圧型であるかまたは蓄圧室と接続されているもの｝
B05B9/0883	｛容器に固定されている放出装置をもつもの｝
B05B9/0888	｛ナップサック噴霧器のための運搬手段｝
B05B9/0894	｛通常の使用では，銃の上に位置する容器を有する銃｝
B05B11/00	１個の構成単位から成る，すなわち単一の，｛容器およびそれに取付けられた放出ノズルからなる｝手持ち装置であって液体または他の流動性材料の流れが操作する者｛の筋肉エネルギー｝によって使用時に｛または装置から独立している同等のマピュレータによって｝作られるもの｛（液体または流動性材料を放出するための外部供給源または持続的な圧力の蓄積の可能性を有する装置Ｂ０５Ｂ７／００，Ｂ０５Ｂ９／００）｝
B05B11/0002	｛加熱または冷却，例．噴霧される材料に対して，のための手段が組み込まれたもの｝
B05B11/0005	｛構成要素または細部（流出がポンプによって生じる１個の構成単位のものＢ０５Ｂ１１／３０４２）｝
B05B11/0008	｛噴霧器と容器との間のシールまたは取付け装置（ポンプと容器との間のものＢ０５Ｂ１１／３０４３）｝
B05B11/001	｛スナップ取付け−ねじり外し型の接続器｝
B05B11/0013	｛容器の内表面と協働する手段からなる装着装置｝
B05B11/0027	｛噴霧器の作動を中立化させる手段（ポンプをロックする手段Ｂ０５Ｂ１１／３０５９）；噴霧器作動手段へのアクセス防止手段｝
B05B11/0029	｛圧力により作動しない弁（噴霧ポンプの作動中に自動的に開くものＢ０５Ｂ１１／３０５３；Ｂ０５Ｂ１１／００３２，Ｂ０５Ｂ１１／００９４が優先）｝
B05B11/0032	｛放出ノズルの下流にそれを閉鎖または被覆するために位置する手動作動手段，例．シャッター（噴霧ポンプの作動中に自動的に除去されるものＢ０５Ｂ１１／３０５３）｝
B05B11/0035	｛ペン状の噴霧器｝
B05B11/0037	｛｛容器（数種の構成要素用Ｂ０５Ｂ１１／００７８）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００３７はグループＢ０５Ｂ１１／００３８への再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１１／００３７およびＢ０５Ｂ１１／００３８はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/0038	｛｛内側容器が外殻または外側ケーシングに配置されたもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００３８はグループＢ０５Ｂ１１／００３７からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１１／００３７およびグループＢ０５Ｂ１１／００３８はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/0039	｛｛周囲の圧力と容器の内部圧力よとの間の圧力差を補償するための手段，例．圧力逃がし手段，と関連づけられたもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００３９はグループＢ０５Ｂ１１／００４４２への再分類の影響を受ける。<br>グループＢ０５Ｂ１１／００３９およびＢ０５Ｂ１１／００４４２はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/0041	｛｛容器内に残存する流体と周囲の空気との接触なしでの圧力下での補償｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００４１はグループＢ０５Ｂ１１／００４１１への再分類の影響を受ける。<br>グループＢ０５Ｂ１１／００４１およびＢ０５Ｂ１１／００４１１はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/00411	｛｛手段が不活性ガスであるもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００４１１はグループＢ０５Ｂ１１／００４１からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１１／００４１およびＢ０５Ｂ１１／００４１１はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/0044	｛容器への周囲の空気の侵入による圧力下での補償，すなわち通気手段を有するもの（変形可能な容器のための通気手段Ｂ０５Ｂ１１／０４７）｝
B05B11/00442	｛｛手段が周囲の圧力と容器内の圧力との差により作動されるもの｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００４４２はグループＢ０５Ｂ１１／００３９からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１１／００３９およびＢ０５Ｂ１１／００４４２はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/00444	｛容器に吸い込まれる空気をろ過または清掃するための備えを有するもの｝
B05B11/00446	｛手段が容器のまたは容器を取り囲む囲いの底部に位置するもの｝
B05B11/0054	｛カートリッジ，すなわち，噴霧器の残部に容易に取り付けられるかまたは容易に取り外すことができるよう特別に設計された容器（ポンプと容器との間の取付け装置Ｂ０５Ｂ１１／３０４３）｝
B05B11/0056	｛充填または再充填のための追加的な開口を有するもの｝
B05B11/0059	｛あらゆる方向における操作を許容するもの，例．逆の位置に排出するためのもの｝
B05B11/0062	｛噴霧される流体の圧力により作動される出口弁（流体で作動するポンプ出口弁装置Ｂ０５Ｂ１１／３０１６，Ｂ０５Ｂ１１／３０２２，Ｂ０５Ｂ１１／３０９７，Ｂ０５Ｂ１１／３０３３，Ｂ０５Ｂ１１／３０３６，Ｂ０５Ｂ１１／３０４，Ｂ０５Ｂ１１／３０６４）｝
B05B11/0064	｛持上げ弁（Ｂ０５Ｂ１１／００７が優先）｝
B05B11/0067	｛｛弁要素の下流に位置する弁座をもつもの（Ｂ０５Ｂ１１／３０１６，Ｂ０５Ｂ１１／３０３６が優先）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００６７はグループＢ０５Ｂ１１／３０１６およびＢ０５Ｂ１１／３０３６への再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/007	｛弾性変形可能な材料で作られた密封要素，例．フラップ，スカート，ダッグビル弁，の変形により開口するもの｝
B05B11/0072	｛弁部材が出口開口の一部を形作るもの｝
B05B11/0075	｛２つの出口弁が分配導管に位置し，一方が他方の下流にあるもの｝
B05B11/0078	｛数種の構成要素を個別に収納するための装置（数種の液体またはその他の流動性材料を数個の容器からポンプ輸送するための装置Ｂ０５Ｂ１１／３０８１）｝
B05B11/0081	｛後から放出する前に用いるために準備する混合物として共通の容器内で構成要素を混合するためのもの｝
B05B11/0083	｛構成要素の一つが粉状であるもの｝
B05B11/0086	｛噴霧および注入を可能にするための装置｝
B05B11/0089	｛分配管｝
B05B11/0091	｛可動，例．噴霧器上で関節連結されているもの｝
B05B11/0094	｛｛弁を制御する分配管の移動｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１１／００９４はＢ０５Ｂ１／３０からの文献の再分類が未完成であり保留されている。<br>グループＢ０５Ｂ１／３０およびＢ０５Ｂ１１／００９４はコンプリートサーチの完遂のために考慮されるべきである。｝
B05B11/0097	｛噴霧器を充填または再充填するための手段（容器の追加的な開口を通してのものＢ０５Ｂ１１／００５６）｝
B05B11/01	
B05B11/02	流れが液体または他の流動性材料の容器の従動部，例．隔膜，浮動ピストン，によって生ずるもの
B05B11/025	｛フォロワの段階的な前進を有するもの，例．所定量の液体または他の流動性材料の噴霧のためのもの｝
B05B11/026	
B05B11/027	
B05B11/028	
B05B11/029	
B05B11/04	流れが液体または他の流動性材料の容器の変形によって生ずるもの
B05B11/041	｛粒子状材料を噴霧するように設計されたもの（Ｂ０５Ｂ１１／０４５が優先）｝
B05B11/042	｛噴霧がノズル，スプレーヘッド，排出口または浸漬管内の気体または蒸気流により生じるもの｝
B05B11/043	｛液体を噴霧するように設計されたもの（Ｂ０５Ｂ１１／０４６が優先）｝
B05B11/045	｛粒子状材料を噴霧するように設計されたもの（Ｂ０５Ｂ１１／０４６が優先）｝
B05B11/046	｛気体または蒸気流が，それらが噴霧される液体またはその他の流動性材料と接触していない供給源，例．圧縮球，空気ポンプまたは容器を囲む囲い，から入って来るもの｝
B05B11/047	｛排出口または通気手段に特徴のあるもの（Ｂ０５Ｂ１１／０４１およびＢ０５Ｂ１１／０４２が優先）｝
B05B11/048	｛容器に特徴のあるもの，例．この後部が囲いに取り囲まれたもの，またはそれを変形させるための手段（Ｂ０５Ｂ１１／０４１，Ｂ０５Ｂ１１／０４６が優先）｝
B05B11/06	噴霧が，｛気体または蒸気が噴霧される液体またはその他の流動性材料と接触していない供給源からの｝気体または蒸気の流出によって生ずるもの，例．圧縮できる球によるもの，｛空気ポンプまたは囲いが容器を囲むもの（Ｂ０５Ｂ１１／０４６およびＢ０５Ｂ１１／３０８７が優先）｝
B05B11/061	｛気圧または蒸気圧を発生する手段に特徴のあるもの｝
