B05B1/00	弁，加熱手段等の補助装置を有するまたはこれらを有しないノズル，スプレーヘッドまたは他の排出口（Ｂ０５Ｂ３／００，Ｂ０５Ｂ５／００，Ｂ０５Ｂ７／００が優先；｛水または気体の噴流を有する浴槽のためのノズルＡ６１Ｈ３３／００，例．Ａ６１Ｈ３３／６０６３，Ａ６１Ｈ３３／６０２１，Ａ６１Ｈ３３／０２６またはＡ６１Ｈ３３／０２７；消火に特に適合したノズルＡ６２Ｃ３１／０２；高速研削性流体噴射を発生させるためのノズルＢ２４Ｃ５／０４｝；インクジェットプリンティング機構のためのノズルＢ４１Ｊ２／１３５；｛容器を充填するためのノズルＢ６５Ｂ３９／００｝；液体分配ノズル，例．車両サービスステーションにおけるもの，Ｂ６７Ｄ７／４２）<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／００はグループＢ０５Ｂ１／００２への再分類の影響を受ける。<br>グループＢ０５Ｂ１／００およびＢ０５Ｂ１／００２はコンプリートサーチの完遂のために考慮されるべきである。
B05B1/30	流量を制御するように設計されたもの，例．調節できる流路を有するもの｛（Ｂ０５Ｂ１１／００９４が優先）｝<br><br><u>警告</u><br><br>グループＢ０５Ｂ１／３０はグループＢ０５Ｂ１１／００９４への再分類の影響を受ける。<br>グループＢ０５Ｂ１／３０およびＢ０５Ｂ１１／００９４はコンプリートサーチの完遂のために考慮されるべきである。
B05B1/3006	｛噴霧される流体の圧力により作動する制御要素（Ｂ０５Ｂ１１／００６２が優先）｝
B05B1/3013	｛制御要素がリフト弁であるもの（Ｂ０５Ｂ１／３００６，Ｂ０５Ｂ１／３０３３が優先；リフト弁一般Ｆ１６Ｋ１／００）｝
B05B1/302	｛球状弁部材を有するもの（ボール弁一般Ｆ１６Ｋ１／１４）｝
B05B1/3026	｛制御要素がゲート弁，スライド弁またはコックであるもの（Ｂ０５Ｂ１／３００６，Ｂ０５Ｂ１／３２６が優先；ゲート弁またはスライド弁一般Ｆ１６Ｋ３／００；コック一般Ｆ１６Ｋ５／００）｝
B05B1/3033	｛制御要素およびスプレーヘッドの相対的共軸の長手方向運動によって制御が行われるもの（Ｂ０５Ｂ１／３０２６が優先）｝
B05B1/304	｛制御要素がリフト弁であるもの｝
B05B1/3046	｛弁体，例．弁体の下流に位置する弁座と連動するニードルであり，通常排出口オリフィスの近傍のその作動手段（Ｂ０５Ｂ１／３０８が優先）｝
B05B1/3053	｛作動手段がソレノイドであるもの｝
B05B1/306	｛作動手段が流体であるもの｝
B05B1/3066	｛弁体が少なくとも部分的に中空であり弁が開いているときに液体がそれを通過するもの｝
