F16L3/223	各支持体が管支持用の一個の横断基礎を有するもの（Ｆ１６Ｌ３／２３，Ｆ１６Ｌ３／２３７が優先）
F16L3/2235	｛各管が基礎に固定した共通の部材で支持されるもの｝
F16L3/227	各管が基礎に固定した別個の部材で支持されるもの
F16L3/23	管の束，あるいは互に接触して並べてある複数の管用（Ｆ１６Ｌ３／２３７が優先）
F16L3/233	柔軟なバンドからなる手段によるもの
F16L3/2332	｛単一のプラスチック製のロックするとげをもつもの｝
F16L3/2334	｛とげが複数の鋸刃をもつもの｝
F16L3/2336	｛２以上のロックするとげをもつもの（Ｆ１６Ｌ３／２３３８が優先）｝
F16L3/2338	｛少なくとも１つの金属製のロックとげをもつもの｝
F16L3/237	二本の管用
F16L3/24	特定の形状のけたに取り付けるための特殊な部材をもつもの<br><br><u>警告</u><br><br>グループＦ１６Ｌ３／２４はグループＦ１６Ｌ３／２４３，Ｆ１６Ｌ３／２４３１，Ｆ１６Ｌ３／２４５への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F16L3/243	｛特殊な部材が特定の形状のけたに挿入されているもの｝<br><br><u>警告</u><br><br>グループＦ１６Ｌ３／２４３およびＦ１６Ｌ３／２４３１はグループＦ１６Ｌ３／２４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F16L3/2431	｛特殊な部材が挿入されかつ続いて限定された範囲で回転されるもの｝
F16L3/245	｛特殊な部材が特定の形状のけた全体を取り囲むもの｝<br><br><u>警告</u><br><br>グループＦ１６Ｌ３／２４５はグループＦ１６Ｌ３／２４からの文献の再分類が未完成であり保留されている。<br>グループＦ１６Ｌ３／２４５およびＦ１６Ｌ３／２４はコンプリートサーチの完遂のために考慮されるべきである。
F16L3/26	管をその全長に沿って支持するのに特に適合したもの，例．導管またはダクト｛（線材で形成された電気ケーブル用の導路Ｈ０２Ｇ３／０４４３）｝
F16L5/00	管，ケーブルまたは保護管類が壁または仕切りを突き抜ける所に用いる装置（｛壁を突き抜けて絶縁管を通すものＦ１６Ｌ５９／１２１｝；壁，床，または天井を通しての電気ケーブルの取付けＨ０２Ｇ３／２２）  
F16L5/02	密封装置<br><br><u>注</u><br><br>グループＦ１６Ｌ５／１４がグループＦ１６Ｌ５／０２２，Ｆ１６Ｌ５／０２５，Ｆ１６Ｌ５／０２７およびＦ１６Ｌ５／０４〜Ｆ１６Ｌ５／１２よりより優先する
F16L5/022	｛溶接によるもの｝
F16L5/025	｛管が可動であるもの（Ｆ１６Ｌ５／１０が優先）｝
F16L5/027	｛迅速作動形の継手を使ったもの｝
F16L5/04	防火帯装置を作るためのもの
F16L5/06	環またはスリーブを圧縮する旋回ナットを使ったもの
F16L5/08	環またはスリーブを圧縮する軸ねじを使ったもの
F16L5/10	密封環またはスリーブのみを使ったもの
F16L5/12	管が２つの部分に切断されているもの
F16L5/14	二重壁管または多水路管用
F16L7/00	他の管またはスリーブの内側に管またはケーブルを支持するもの，例．交通の妨害にならないで道路または鉄道下へ管またはケーブルを挿入したり，または引き出したりすることができるもの（比較的可動な地点の間で，管，ケーブルまたは保護管類を支持するためのスリーブＦ１６Ｌ３／０１，｛ダクト内の光ケーブルの固定装置Ｇ０２Ｂ６／５０８，電気ケーブルの取付けＨ０２Ｇ１／０８｝）
