B41P2227/50	印刷版の収納装置
B41P2227/60	印刷版の移送装置
B41P2227/61	シート給送システムを使用するもの
B41P2227/62	印刷版の導入装置
B41P2227/63	印刷版の除去装置
B41P2227/70	版胴に直接印刷面を形成するもの
B41P2231/00	インキ塗布具；印刷用インクの回収
B41P2231/10	軸方向に区分されたダクターローラ
B41P2231/12	軸方向に区分されたインクブレード
B41P2231/20	印刷インクの回収
B41P2231/21	インクと水または撥水剤の混合物の使用によるもの
B41P2233/00	印刷機の操作装置
B41P2233/10	機械の始動
B41P2233/11	事前着肉
B41P2233/12	事前湿潤
B41P2233/13	事前見当合せ
B41P2233/20	損害を防止する安全装置
B41P2233/21	巻取紙が破れた場合の巻取紙の切断によるもの
B41P2233/22	巻取紙が破れた場合の巻取紙の逸脱によるもの
B41P2233/23	巻取紙のシリンダーへの巻上げ防止によるもの
B41P2233/30	インク消費量の測定または制御
B41P2233/50	印刷された材料のマーク
B41P2233/51	カラー品質制御用
B41P2233/52	見当合せ用
B41P2235/00	洗浄
B41P2235/10	方法または装置により特徴づけられるもの
B41P2235/12	レーザー・エネルギーを用いるもの
B41P2235/14	超音波エネルギーを用いるもの
B41P2235/20	拭き取り装置
B41P2235/21	スクレーパー，例．吸収パッド
B41P2235/22	ローラー
B41P2235/23	ハケ
B41P2235/24	清掃用布のロールを用いるもの
B41P2235/242	清掃布を巻戻すもの
B41P2235/244	清掃布を巻き戻すもの
B41P2235/246	シリンダーに清掃布を押し付けるもの
B41P2235/26	スプレー装置
B41P2235/27	吸引装置
B41P2235/30	使用済み溶剤または残留物の回収
B41P2235/31	ろ過によるもの
B41P2235/32	蒸留によるもの
B41P2235/33	燃焼によるもの
B41P2235/40	シリンダーの制限された区域の洗浄
B41P2235/50	洗浄のための材料または製品の選択
B41P2251/00	他に分類されない印刷機の細部または付属装置
B41P2251/10	ポンプ
B41P2251/11	メンブレンポンプ
B41P2251/112	蠕動ポンプ
B41P2700/00	事務用の複写，印刷または転写
B41P2700/10	ヘクトグラフライン転写機
B41P2700/12	単一の原版を有するもの
