B21C33/008	
B21C33/02	液体状の金属
B21C35/00	押出しプレスからの加工品または押かすの除去；押出し加工品を引放すこと（わん曲管または棒の押出しと関連Ｂ２１Ｃ２３／１２）；ダイス，ダクト，コンテナまたはマンドレルの清浄
B21C35/02	加工品の除去または引離し
B21C35/023	
B21C35/026	
B21C35/03	加工品の矯正（金属の矯正一般Ｂ２１Ｄ）
B21C35/04	押かすの切離しまたは除去
B21C35/06	ダイス，ダクト，コンテナまたはマンドレルの清浄
B21C37/00	他に分類されない金属板，棒，線，管または類似の半製品の製造（圧延によるものＢ２１Ｂ，半仕上げ金属板，プロフィル，管または線の加工または処理Ｂ２１ＤまたはＢ２１Ｆ；鋳造によるものＢ２２；材料を除去する機械工具によるものＢ２３；溶接によるもの，例．クラッドまたは被せ金Ｂ２３Ｋ；研削または研磨によるものＢ２４；電鋳によるものＣ２５Ｄ１／００；引抜または押出しによるものは関連するグループを参照）；特殊形状管の製造
B21C37/02	板の製造
B21C37/04	棒または線の製造
B21C37/042	｛被覆線または被覆棒の製造｝
B21C37/045	｛特殊な断面または特殊な性質をもつ線または棒の製造｝
B21C37/047	｛細線のもの｝
B21C37/06	管または金属ホースの製造；管製造のために組合わせた処置，例．多壁管の製造（管製造のための板曲げ加工Ｂ２１Ｄ５／００；折り曲げによる継合せＢ２１Ｄ３９／０２）
B21C37/065	
B21C37/08	溶接またははんだ付作業による管の製造（溶接またははんだ付の作用のみはＢ２３Ｋ）　｛らせん状に配置された継ぎ目をもつものＢ２１Ｃ３７／１２２｝
B21C37/0803	｛特殊な形をもつ管，例．多角形管｝
B21C37/0807	｛切り離しと結合し，または管製造機と組み合わせた使用，例．引き離し装置に特に適した，管の処理又は取扱い｝
B21C37/0811	｛溶接ビードの除去または処理｝
B21C37/0815	｛曲げ加工作業中に板材が縦方向へ連続移動しないもの（板材曲げ加工一般Ｂ２１Ｄ）｝
B21C37/0818	｛帯状材料のダイスを通す引抜きによる管の製造｝
B21C37/0822	｛曲げ加工した板材端部のガイドまたは整列｝
B21C37/0826	
B21C37/083	ストリップ材料の供給，または供給と組合わせた作業
B21C37/087	はんだ材料の棒またはストリップを用いるもの
B21C37/09	被覆した帯状材料のもの；　｛多壁管の製造｝
B21C37/10	リベット継合による管の製造　｛または非溶接および非はんだ付け継合による｝
B21C37/101	｛継合の作製｝
B21C37/102	｛被覆帯状材料（多壁管の製造）｝
B21C37/104	｛特殊な形をもつ管，例．多角形管｝
B21C37/105	｛帯状材料の供給，または供給と結合した作業｝
B21C37/107	｛切り離しと結合し，または管製造機と組み合わせた使用，例．引き離し装置に特に適した，管の処理又は取扱い｝
B21C37/108	｛曲げ加工作業中に板材が縦方向へ連続移動しないもの（板材曲げ加工一般Ｂ２１Ｄ）｝
B21C37/12	ら旋継目管または金属ホースの製造
B21C37/121	｛非溶接および非はんだ付け継合をもつもの｝
B21C37/122	｛溶接またははんだ付け継ぎ目をもつもの（溶接およびはんだ付けのらせん状に配置された継ぎ目，それ自体Ｂ２３Ｋ）｝
B21C37/123	｛被覆帯状材料のもの；多壁管の製造｝
B21C37/124	｛特殊な形をもつ管，例．波形壁をもつもの，可撓管｝
B21C37/125	
B21C37/126	｛帯状材料の供給，または供給と結合した作業｝
B21C37/127	｛切り離しと結合し，または管製造機と組み合わせた使用，例．引き離し装置に特に適した，管の処理又は取扱い｝
B21C37/128	｛制御または調整装置｝
B21C37/14	複合平板からの管の製造
B21C37/15	特殊形状管の製造；管の取付物の製造　｛Ｂ２１Ｃ３７／０８０３，Ｂ２１Ｃ３７／１０４，Ｂ２１Ｃ３７／１２４が優先｝
B21C37/151	｛多くの通路をもつ管の製造｝
B21C37/152	｛ライフルおよび銃身の製造｝
B21C37/153	｛内部または／および外部のガイドをもつ管の製造｝
B21C37/154	｛多壁管の製造｝
B21C37/155	｛非円形断面をもつ管（Ｂ２１Ｃ３７／１５１，Ｂ２１Ｃ３７／１５４が優先）｝
B21C37/156	
B21C37/157	
B21C37/158	
B21C37/16	長手方向に直径の変化する管の製造
B21C37/18	円錐管
B21C37/185	｛板材から出発するもの｝
B21C37/20	材料の除去なしに管の内または外のら旋または類似のガイドの製造，例．マンドレルでの引抜によるもの，ダイスへの押し通しによるもの；　｛傾斜した壁をもつ管，リブ付き管および装飾壁をもつ管の製造｝
B21C37/202	｛管軸に平行なガイドをもつもの｝
B21C37/205	｛環状ガイドをもつもの｝
B21C37/207	｛らせん状ガイドをもつもの｝
B21C37/22	管に帯または類似の材料を固定することによるフィン付またはリブ付管の製造（熱交換器の製造Ｂ２１Ｄ５３／０２）
B21C37/225	｛縦方向リブ付き管｝
B21C37/24	環状のリブ付管
B21C37/26	ら旋のリブ付管
B21C37/28	パイプ接合用管の取付物製造，例．Ｕピース
B21C37/283	｛Ｕピースの製造（Ｂ２１Ｃ３７／２８６が優先）｝
B21C37/286	｛板状材料から出発するもの｝
B21C37/29	枝付部品の製造，例．Ｔピース
B21C37/292	｛管壁の開口を通す剛性成形工具の引抜きまたは押し通しによるカラーの製造｝
B21C37/294	｛流体または可撓性もしくは弾性塊体を管内に圧縮することによるカラーの製造｝
B21C37/296	｛帯状材料から出発する枝付きピースの製造；第一の管の非変形壁の開口に第二の管を固定することによる枝付き管の製造｝
B21C37/298	｛フロードリルによるカラーの製造｝
B21C37/30	管の仕上げ，例．サイジング，磨き
B21C43/00	このサブクラスに分類され機械または装置と組合せまたは関連して用いるのに特に適した金属製品を清浄するための装置
B21C43/02	引抜または巻取り機械または装置と組合わせまたは関連して用いるのに特に適したもの
B21C43/04	線または類似の可撓性加工品の脱スケールのための装置
B21C45/00	工作物からのマンドレルの分離またはその逆
B21C47/00	金属の処理法のみに関連した点を特徴とする金属線，金属帯または他の可撓性金属材料の巻取り，コイリングまたは巻戻し（特殊形への線材のコイリングＢ２１Ｆ３／００；熱処理装置と関連する熱間巻取機Ｃ２１Ｄ９／６８）
B21C47/003	｛張力または速度の調整；ブレーキング｝
B21C47/006	｛数個の平行な金属帯の巻取りまたは巻戻し｝
B21C47/02	巻取りまたはコイリング
B21C47/04	移動ガイドを用いることなしにリールまたはドラム上へまたは内への巻取り（リールまたはドラムＢ２１Ｃ４７／２８）
B21C47/045	｛回転ドラム内へのもの｝
B21C47/06	リールまたはドラム上に材料を保持する荷重ローラー，ボルト，または同等の手段をもつもの
B21C47/063	｛加圧ロールのみによるもの｝
B21C47/066	｛ベルトラッパーのみによるもの｝
B21C47/08	リールまたはドラムを用いずに，最初の一巻きは固定ガイドにより形成するもの
B21C47/10	移動ガイドによるもの
B21C47/12	コイルの軸に平行に移動するガイド（Ｂ２１Ｃ４７／１４が優先）
B21C47/14	回転ガイドによるもの，例．固定リールまたはドラムの回りに材料を巻くもの
B21C47/143	｛管であるガイド｝
B21C47/146	｛コイルの巻取り形態を制御しまたはそれに影響を与えるもの｝
B21C47/16	巻戻しまたはアンコイリング
B21C47/18	リールまたはドラムからのもの
B21C47/20	巻戻された材料がドラムの接線を横切る方向，例．軸方向，半径方向に移動するもの
B21C47/22	リールまたはドラムなしのコイルの巻戻し
B21C47/24	巻取り装置へまたは装置から，または巻取り装置内の作業位置へまた作業位置からのコイルの移動；移動中の巻戻りの防止
B21C47/242	
B21C47/245	｛時間を大きく損失することなく，満杯のリールを空のリールにまたはその逆に置き換える装置｝
