C10M113/02	炭素；黒鉛
C10M113/04	いおう
C10M113/06	金属；合金
C10M113/08	金属化合物
C10M113/10	粘土；雲母
C10M113/12	シリカ
C10M113/14	ガラス
C10M113/16	有機化合物で処理した，例．被覆した，無機材料
C10M115/00	カルボン酸またはその塩以外の非高分子有機化合物である増稠剤によって特徴づけられる潤滑組成物
C10M115/02	炭化水素（石油留分Ｃ１０Ｍ１２１／０２）
C10M115/04	酸素を含有するもの
C10M115/06	ハロゲンを含有するもの
C10M115/08	窒素を含有するもの
C10M115/10	いおうを含有するもの
C10M115/12	りんを含有するもの
C10M117/00	非高分子カルボン酸またはその塩である増稠剤によって特徴づけられる潤滑組成物
C10M117/02	非環式炭素原子または環式脂肪族炭素原子または水素に結合したカルボキシル基を１個のみ有するもの
C10M117/04	ヒドロキシル基を含有するもの
C10M117/06	非環式炭素原子または環式脂肪族炭素原子に結合した２個以上のカルボキシル基を有するもの
C10M117/08	６員芳香環の炭素原子に結合したカルボキシル基を１個のみ有するもの
C10M117/10	６員芳香環の炭素原子に結合したカルボキシル基を２個以上有するもの
C10M119/00	高分子化合物である増稠剤によって特徴づけられる潤滑組成物
C10M119/02	炭化水素重合体；酸化により変性された炭化水素重合体
C10M119/04	酸素を含有するもの（酸化により変性された炭化水素重合体Ｃ１０Ｍ１１９／０２）
C10M119/06	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M119/08	アルコール，アルデヒド，ケトン，エーテル，ケタールまたはアセタール基に結合した不飽和基を有する単量体を含有するもの
C10M119/10	飽和カルボン酸または炭酸のアシルオキシル基に結合した不飽和基を有する単量体を含有するもの
C10M119/12	カルボキシル基に結合した不飽和基を有する単量体，例．アクリレート，を含有するもの
C10M119/14	炭素―炭素不飽和結合のみが関与する反応以外の反応により得られる高分子化合物
C10M119/16	アルデヒドまたはケトンの重縮合体；ポリエステル；ポリエーテル
C10M119/18	ポリオキシアルキレン
C10M119/20	多糖類，例．セルロース
C10M119/22	ハロゲンを含有するもの
C10M119/24	窒素を含有するもの
C10M119/26	いおうを含有するもの
C10M119/28	りんを含有するもの
C10M119/30	グループＣ１０Ｍ１１９／０２〜Ｃ１０Ｍ１１９／２８に分類されない元素の原子を含有するもの
C10M121/00	構造が不明または不明確な化合物である増稠剤によって特徴づけられる潤滑組成物
C10M121/02	石油留分，例．タール
C10M121/04	反応生成物
C10M123/00	メイングループＣ１０Ｍ１１３／００〜Ｃ１０Ｍ１２１／００の２以上のメイングループによって包含される２以上の化合物の混合物であり，かつそれらの化合物がいずれも本質的成分である増稠剤によって特徴づけられる潤滑組成物（有機化合物で被覆した無機材料Ｃ１０Ｍ１１３／１６）
C10M123/02	少なくとも１個の化合物が非高分子化合物であるもの
C10M123/04	少なくとも１個の化合物が高分子化合物であるもの
C10M123/06	少なくとも１個の化合物がグループＣ１０Ｍ１２１／００に包含されるタイプの化合物であるもの
C10M125/00	無機材料である添加剤によって特徴づけられる潤滑組成物
C10M125/02	炭素；黒鉛
C10M125/04	金属；合金
C10M125/06	いおう
C10M125/08	金属炭化物または水素化物
C10M125/10	金属酸化物，水酸化物，炭酸塩または重炭酸塩
C10M125/12	金属カルボニル
C10M125/14	水（水を１０％よりも多く含有する水性潤滑組成物Ｃ１０Ｍ１７３／００）
C10M125/16	過酸化水素；酸素飽和水
C10M125/18	ハロゲン含有化合物
C10M125/20	窒素含有化合物
C10M125/22	いおう，セレンまたはテルル含有化合物
C10M125/24	りん，ひ素またはアンチモン含有化合物
C10M125/26	けい素またはほう素含有化合物，例．シリカ，砂
C10M125/28	ガラス
C10M125/30	粘土
C10M127/00	非高分子炭化水素である添加剤によって特徴づけられる潤滑組成物（石油留分Ｃ１０Ｍ１５９／０４）
C10M127/02	構造が明確な脂肪族のもの
C10M127/04	構造が明確な芳香族のもの
C10M127/06	アルキル化芳香族炭化水素
C10M129/00	酸素を含有する非高分子有機化合物である添加剤によって特徴づけられる潤滑組成物
C10M129/02	３０個より少ない原子数の炭素鎖を有するもの
C10M129/04	ヒドロキシ化合物
C10M129/06	非環式または環式脂肪族炭素原子に結合したヒドロキシル基を有するもの
C10M129/08	少なくとも２個のヒドロキシル基を含有するもの
C10M129/10	６員芳香環の炭素原子に結合したヒドロキシル基を有するもの
C10M129/12	縮合環を有するもの
C10M129/14	少なくとも２個のヒドロキシル基を含有するもの
C10M129/16	エーテル
C10M129/18	エポキシド
C10M129/20	４個以上の環原子を有する環状エーテル，例．フラン，ジオキソラン
C10M129/22	過酸化物；オゾン化物
C10M129/24	アルデヒド；ケトン
C10M129/26	カルボン酸；その塩
C10M129/28	非環式または環式脂肪族炭素原子に結合したカルボキシル基を有するもの
C10M129/30	７個以下の炭素原子を有するもの
C10M129/32	モノカルボン酸
C10M129/34	ポリカルボン酸
C10M129/36	ヒドロキシル基を含有するもの
C10M129/38	８個以上の炭素原子を有するもの
C10M129/40	モノカルボン酸
C10M129/42	ポリカルボン酸
C10M129/44	ヒドロキシル基を含有するもの
C10M129/46	環式脂肪族の
C10M129/48	６員芳香環の炭素原子に結合したカルボキシル基を有するもの
C10M129/50	モノカルボン酸
C10M129/52	ポリカルボン酸
C10M129/54	ヒドロキシル基を含有するもの
C10M129/56	構造が不明または不明確な酸
C10M129/58	ナフテン酸
C10M129/60	トール油酸
C10M129/62	ロジン酸
C10M129/64	重合不飽和酸から得られる酸
C10M129/66	エポキシ化された酸またはエステル
C10M129/68	エステル（エポキシ化されたものＣ１０Ｍ１２９／６６）
C10M129/70	モノカルボン酸の
C10M129/72	ポリカルボン酸の
C10M129/74	ポリヒドロキシ化合物の
C10M129/76	遊離のヒドロキシル基またはカルボキシル基を含有するもの
C10M129/78	複合エステル，すなわちエステル化されたカルボキシル基を少なくとも３個含有し，かつ次の５種の化合物のうち相違する少なくとも３種からの組合せにより誘導した化合物:モノヒドロキシ化合物，ポリヒドロキシ化合物，モノカルボン酸，ポリカルボン酸，ヒドロキシカルボン酸
C10M129/80	モノカルボン酸，ジカルボン酸およびジヒドロキシ化合物の組合せのみから誘導され，かつ遊離のヒドロキシル基またはカルボキシル基を有しないもの
C10M129/82	モノヒドロキシ化合物，ジヒドロキシ化合物およびジカルボン酸の組合せのみから誘導され，かつ遊離のヒドロキシル基またはカルボキシル基を有しないもの
C10M129/84	炭酸の
C10M129/86	３０個以上の原子数の炭素鎖を有するもの
C10M129/88	ヒドロキシ化合物
C10M129/90	非環式または環式脂肪族炭素原子に結合したヒドロキシル基を有するもの
C10M129/91	６員芳香環の炭素原子に結合したヒドロキシル基を有するもの
C10M129/92	カルボン酸
C10M129/93	非環式または環式脂肪族炭素原子に結合したカルボキシル基を有するもの
C10M129/94	６員芳香環の炭素原子に結合したカルボキシル基を有するもの
C10M129/95	エステル
C10M131/00	ハロゲンを含有する非高分子有機化合物である添加剤によって特徴づけられる潤滑組成物
C10M131/02	炭素，水素およびハロゲンのみを含有するもの
C10M131/04	脂肪族の
C10M131/06	芳香族の
C10M131/08	炭素，水素，ハロゲンおよび酸素を含有するもの
C10M131/10	アルコール；エーテル；アルデヒド；ケトン
C10M131/12	酸；その塩またはエステル
C10M131/14	ハロゲン化ワックス
C10M133/00	窒素を含有する非高分子有機化合物である添加剤によって特徴づけられる潤滑組成物
C10M133/02	３０個より少ない原子数の炭素鎖を有するもの
C10M133/04	アミン，例．ポリアルキレンポリアミン；第４級アミン（単量体単位を１１個以上有するポリアルキレンポリアミンＣ１０Ｍ１４９／２２）
C10M133/06	非環式または環式脂肪族炭素原子に結合したアミノ基を有するもの
C10M133/08	ヒドロキシル基を含有するもの
C10M133/10	環式脂肪族
C10M133/12	６員芳香環の炭素原子に結合したアミノ基を有するもの
C10M133/14	ヒドロキシル基を含有するもの
C10M133/16	アミド；イミド
C10M133/18	炭酸またはハロぎ酸の
C10M133/20	尿素；セミカルバジド；アロファネート
C10M133/22	炭素―窒素二重結合を含有するもの，例．グアニジン，ヒドラゾン，セミカルバゾン
C10M133/24	ニトリル
C10M133/26	窒素―窒素二重結合を含有するもの
C10M133/28	アゾ化合物
C10M133/30	窒素−酸素結合を舎有するもの
C10M133/32	ニトロ基を含有するもの
C10M133/34	ニトロソ基を含有するもの
C10M133/36	ヒドロキシルアミン
C10M133/38	複素環式窒素化合物
C10M133/40	窒素および炭素のみを含有する６員環
C10M133/42	トリアジン
C10M133/44	窒素および炭素のみを含有する５員環
C10M133/46	イミダゾール
C10M133/48	窒素および酸素の双方を含有する環
C10M133/50	モルホリン
C10M133/52	３０個以上の原子数の炭素鎖を有するもの
C10M133/54	アミン
C10M133/56	アミド；イミド
C10M133/58	複素環式化合物
C10M135/00	いおう，セレンまたはテルルを含有する非高分子有機化合物である添加剤によって特徴づけられる潤滑組成物
C10M135/02	硫化化合物
C10M135/04	炭化水素
C10M135/06	エステル，例．脂肪
C10M135/08	いおう―酸素結合を含有するもの
C10M135/10	スルホン酸またはその誘導体
C10M135/12	チオ酸；チオシアネート；その誘導体
C10M135/14	炭素―いおう二重結合を有するもの
C10M135/16	チオ尿素型，すなわち[ｆｏｒｍｕｌａ:ｆｉｇ１０４．ｇｉｆ｝基を含有するもの
C10M135/18	チオカルバミン酸型，例．[ｆｏｒｍｕｌａ:ｆｉｇ１０５．ｇｉｆ｝基を含有するもの
C10M135/20	チオール；スルフィド；ポリスルフィド
C10M135/22	非環式または環式脂肪族炭素原子に結合した硫黄原子を含有するもの
C10M135/24	ヒドロキシル基を含有するもの；その誘導体
C10M135/26	カルボキシル基を含有するもの；その誘導体
C10M135/28	６員芳香環の炭素原子に結合したいおう原子を含有するもの
C10M135/30	ヒドロキシル基を含有するもの；その誘導体
C10M135/32	複素環式いおう，セレンまたはテルル化合物
C10M135/34	環がいおうおよび炭素のみを含有するもの
C10M135/36	環がいおうおよび炭素，さらに窒素または酸素を含有するもの
C10M137/00	りんを含有する非高分子有機化合物である添加剤によって特徴づけられる潤滑組成物
C10M137/02	りん―炭素結合を有しないもの
C10M137/04	りん酸エステル
C10M137/06	金属塩
C10M137/08	アンモニウムまたはアミン塩
C10M137/10	チオ誘導体
C10M137/105	｛金属を含有しないもの｝　
C10M137/12	りん―炭素結合を有するもの
C10M137/14	いおうを含有するもの
C10M137/16	りんー窒素結合を有するもの
C10M139/00	グループＣ１０Ｍ１２７／００〜Ｃ１０Ｍ１３７／００に分類されない元素の原子を含有する非高分子有機化合物である添加剤によって特微づけられる潤滑組成物
C10M139/02	けい素の酸のエステル
C10M139/04	けい素―炭素結合を有するもの，例．シラン類
C10M139/06	金属―炭素結合を有するもの（構造不明の金属錯体Ｃ１０Ｍ１５９／１８）
C10M141/00	メイングループＣ１０Ｍ１２５／００〜Ｃ１０Ｍ１３９／００の２以上のメイングループによって包含される２以上の化合物の混合物であり，かつそれらの化合物がいずれも本質的成分である添加剤によって特徴づけられる潤滑組成物
C10M141/02	少なくとも１個の化合物が酸素含有有機化合物であるもの
C10M141/04	少なくとも１個の化合物がハロゲン含有有機化合物であるもの
C10M141/06	少なくとも１個の化合物が窒素含有有機化合物であるもの
C10M141/08	少なくとも１個の化合物が，いおう，セレンまたはテルル含有有機化合物であるもの
C10M141/10	少なくとも１個の化合物がりん含有有機化合物であるもの
C10M141/12	少なくとも１個の化合物が，グループＣ１０Ｍ１４１／０２〜Ｃ１０Ｍ１４１／１０に分類されない元素の原子を含有する有機化合物であるもの
C10M143/00	高分子炭化水素または酸化により変性された高分子炭化水素である添加剤によって特徴づけられる潤滑組成物
C10M143/02	ポリエテン
C10M143/04	プロペンを含有するもの
C10M143/06	ブテンを含有するもの
C10M143/08	５個以上の炭素原子を有する脂肪族単量体を含有するもの
C10M143/10	芳香族単量体を含有するもの，例．スチレン
C10M143/12	共役ジエンを含有するもの
C10M143/14	非共役ジエンを含有するもの
C10M143/16	環式脂肪族単量体を含有するもの
C10M143/18	酸化された炭化水素，すなわち．高分子化合物の形成後に酸化されたもの
C10M145/00	酸素を含有する高分子化合物である添加剤によって特徴づけられる潤滑組成物（酸化された炭化水素Ｃ１０Ｍ１４３／１８）
C10M145/02	炭素―炭素不飽和結合のみが関与する反応により得られる高分子化合物
C10M145/04	アルコール，アルデヒド，ケトン，エーテル，ケタールまたはアセタール基に結合した不飽和基を有する単量体を含有するもの
C10M145/06	飽和カルボン酸または炭酸のアシルオキシ基に結合した不飽和基を有する単量体を含有するもの
C10M145/08	飽和カルボン酸または炭酸のビニルエステル
