G01N1/2813	｛基体上に試料の薄層を生成するもの，例．塗布するもの，上面で回転させるもの（Ｇ０１Ｎ１／３０が優先）｝
G01N2001/282	マッピングを有するもの；領域の識別；空間的な相関パターン
G01N2001/2826	吸着または吸収による収集
G01N2001/2833	粘着性，接着性を有する表面に試料を採取するもの
G01N2001/284	接着剤の局所活性を用いるもの，すなわちレーザ捕獲顕微切断
G01N2001/2846	細胞遠心機
G01N1/2853	｛試料を影付けするもの｝
G01N1/286	｛機械的作業を含むもの，例．切断，細断，締め固め，均質化（ミクロトームＧ０１Ｎ１／０６；粉砕一般Ｂ０２Ｃ；混合一般Ｂ０１Ｆ）｝
G01N2001/2866	研磨または均質化するもの
G01N2001/2873	切断または割断するもの
G01N2001/288	フィルターせん孔機
G01N2001/2886	
G01N2001/2893	較正基準を調製するもの
G01N1/30	色付け；含浸　｛固着；脱水；分析用の組織，細胞または核酸物質等の試料調製のための多段階工程｝
G01N2001/302	ステイン組成物
G01N2001/305	固定液組成物
G01N2001/307	非毒性，無水銀，無ホルムアルデヒド
G01N1/31	そのための装置
G01N1/312	｛平坦基体上に搭載した試料のためのもの｝
G01N2001/315	組織のためのバスケット型運搬体
G01N2001/317	表面に液体を噴霧するもの
G01N1/32	ポリッシング；エッチング
G01N1/34	精製；清浄，　｛すなわち特徴成分の選択的移送，例．浸透，透析，吸着（Ｇ０１Ｎ１／２８Ａ(ＥＣＬＡ)が優先）｝
G01N1/36	試料の埋め込みまたは類似の取付け
G01N2001/362	試料搭載用に連続的プラスチックフィルムを用いるもの
G01N2001/364	レジン，エポキシ類を用いるもの
G01N2001/366	成形品；離型
G01N2001/368	
G01N1/38	試料の希釈，撹拌または混合
G01N2001/381	膜拡散によるもの；透過チューブ
G01N2001/382	別区画のピストンを用いるもの
G01N2001/383	液体流の中で収集および希釈するもの
G01N2001/385	試料の一部を吸着して希釈するもの
G01N2001/386	他の希釈または混合プロセス
G01N2001/387	気体の吹込みによる混合，発泡
G01N2001/388	試料と追跡子を混合するもの
G01N1/40	試料の濃縮，　｛すなわち主要成分を除去するもの，例．蒸発（Ｇ０１Ｎ１／２８Ａ(ＥＣＬＡ)が優先）｝
G01N1/4005	透析；溶剤抽出；選択性膜
G01N2001/4011	抽出カートリッジおよびカラム；吸着性充填カラム；収着剤充填カラム
G01N2001/4016	
G01N1/4022	蒸発によるもの
G01N2001/4027	
G01N2001/4033	
G01N2001/4038	エレクトロマイグレーション；電気泳動
G01N1/4044	消化；化学分解
G01N1/405	
G01N1/4055	
G01N2001/4061	
G01N2001/4066	
G01N2001/4072	
G01N1/4077	
G01N2001/4083	
G01N2001/4088	
G01N2001/4094	
G01N1/42	低温試料処理，例．低温固定
G01N1/44	放射を伴う試料処理，例．熱
G01N3/00	機械的応力の負荷による固体材料の強さを調査するもの（ひずみ計Ｇ０１Ｂ；応力の測定一般Ｇ０１Ｌ）<br><br><u>注</u><br><br>このグループは，材料の応力の負荷が弾性限界以下の場合のみならず，弾性限界を越える場合，例．破壊するまで，をも包含する。
G01N3/02	細部
G01N3/04	チヤック
G01N3/06	指示または記録手段の特殊な適用（測定一般のための指示または記録手段Ｇ０１Ｄ）
G01N3/062	｛機械的指示または記録手段を有するもの｝
G01N3/064	｛流体的指示または記録手段を有するもの｝
G01N3/066	｛電気的指示または記録手段を有するもの｝
G01N3/068	｛光学的指示または記録手段を有するもの｝
G01N3/08	定張力または定圧縮力によるもの（Ｇ０１Ｎ３／２８が優先）
G01N3/10	気圧または水圧によるもの（Ｇ０１Ｎ３／１８が優先）
G01N3/12	圧力試験（流体密試験Ｇ０１Ｍ３／００）
G01N3/14	静重量により生じるもの，例．振子；バネの伸長力によるもの（Ｇ０１Ｎ３／１８が優先）
G01N3/16	伝動装置を通して適用するもの（Ｇ０１Ｎ３／１８が優先）
G01N3/165	｛回転により生じるもの，すなわち遠心力（試験構造物または装置のためのものＧ０１Ｍ１９／００Ｃ(ＥＣＬＡ)）｝
G01N3/18	高温または低温で試験するもの
G01N3/20	定曲げ力の適用によるもの（Ｇ０１Ｎ３／２６，Ｇ０１Ｎ３／２８が優先
G01N3/22	定ねじり力の適用によるもの（Ｇ０１Ｎ３／２６，Ｇ０１Ｎ３／２８が優先）
G01N3/24	定せん断力の適用によるもの（Ｇ０１Ｎ３／２６，Ｇ０１Ｎ３／２８が優先）
G01N3/26	ねじりまたは渦巻き特性の試験
G01N3/28	延性の調査，例．金属薄板の深絞りまたはスピニングに対する適応性の調査
G01N3/30	単衝撃力の適用によるもの，例．加重の落下によるもの
G01N3/303	荷重の自由落下によってのみ発生するもの
G01N3/307	圧縮した，または張力をかけたスプリングによるもの；気圧または水圧手段によるもの
G01N3/31	フライホイルの回転によるもの
G01N3/313	爆発物によって発生するもの
G01N3/317	電磁的手段によるもの
G01N3/32	繰返し力または脈動力の適用によるもの（その種の力の発生一般は関連するクラスまたはサブクラス，例．Ｂ０６，Ｇ１０，参照）
G01N3/34	機械的手段によるもの，例．ハンマーによる打撃
G01N3/36	気圧または水圧手段によるもの
G01N3/38	電磁的手段によるもの
G01N3/40	硬度または反発硬度の調査
G01N3/405	｛標本と接触する検出素子の振動周波数を測定するもの｝
G01N3/42	定荷重のもとで圧子，例．球，角すい，が形成する圧痕によるもの（Ｇ０１Ｎ３／５４が優先）
G01N3/44	小荷重とそれに続く大荷重のもとにおかれる圧子，例．ロックウェル系
G01N3/46	引きかき作動をする圧子
G01N3/48	衝撃荷重のもとで圧子，例．落下球，が形成する圧痕によるもの（Ｇ０１Ｎ３／５４が優先）
G01N3/50	ころがり摩擦の測定によるもの，例．揺れ振り子によるもの（Ｇ０１Ｎ３／５４が優先）
G01N3/52	衝撃体のはね返り量の測定によるもの（Ｇ０１Ｎ３／５４が優先）
G01N3/54	高温または低温での試験
G01N3/56	耐摩滅性または耐摩耗性の調査
G01N3/562	｛放射性トレーサを用いるもの｝
G01N3/565	｛粒状または粒子材料に関するもの｝
G01N3/567	｛流体または流動化物質の動きの中に標本を供出するもの，例．キャビテーション，ジェットアブレーション（Ｇ０１Ｎ３／５６５が優先）｝
G01N3/58	刃物による被削性の調査；工具の切削性の調査
G01N3/60	材料，例．耐火材，の急激な熱変化に対する抵抗調査　｛（構造物または装置の熱的試験Ｇ０１Ｍ１９／００Ｂ(ＥＣＬＡ)）｝
G01N3/62	上記サブグループに分類される調査に用いられた装置の作製，較正，または修理
G01N5/00	重量測定による材料分析，例．ガスまたは液体から分離した小粒子の重量測定によるもの（Ｇ０１Ｎ９／００が優先）　｛重量測定それ自体Ｇ０１Ｇ｝
G01N5/02	材料の成分を吸収または吸着させ，吸着剤の重量変化を測定するもの，例．含水率の測定　｛吸収球体Ｂ０１Ｄ５３／００｝
G01N5/025	｛含水率を測定するためのもの｝
G01N5/04	成分を除去し，例．蒸発，残部の重量を測定するもの
G01N5/045	｛含水率を測定するためのもの｝
G01N7/00	気体または蒸気の体積または圧力の測定による材料分析
G01N7/02	成分を吸収，吸着または燃焼させ，その残部の圧力または体積の変化を測定するもの　｛吸収球体Ｂ０１Ｄ５３／００｝
G01N7/04	吸収または吸着のみによるもの
G01N7/06	燃焼のみによるもの
G01N7/08	燃焼後，燃焼生成物を吸収または吸着させるもの
G01N7/10	多孔壁により成分を拡散させ，圧力または体積の差異を測定することによるもの
G01N7/12	拡散の後，燃焼または接触酸化するもの
G01N7/14	材料から気体または蒸気，例．水蒸気，を放出させ，圧力または体積の差異を測定することによるもの　｛尿素を測定するものＧ０１Ｎ３３／４８７４２｝
G01N7/16	材料の加熱によるもの
G01N7/18	材料を反応させることによるもの
G01N7/20	反応が発酵である場合
G01N7/22	生地に関するもの
G01N9/00	材料の比重または密度の調査；比重または密度の測定による材料分析（重量測定装置それ自体Ｇ０１Ｇ）
G01N9/002	｛被分析材料に接触した振動素子の共振周波数の変化を用いるもの（Ｇ０１Ｎ９／３４が優先）｝
G01N2009/004	２素子の周波数を比較するもの
G01N2009/006	振動管，音叉
G01N2009/008	シュラッター振動ベーン型
G01N9/02	一定体積の計量によるもの
G01N2009/022	固体の
G01N2009/024	直接測定される容積，例．容器のサイズにより
G01N2009/026	置換された流体物質の量で測定される容積
G01N2009/028	置換流体物質として使用される気体
G01N9/04	液体に関するもの
