A47L7/0095	8	{Suction cleaners or attachments adapted to collect dust or waste from power tools}	A47L7/00	A47L7/00		410
A47L7/02	8	with driven tools for special purposes (with floor-polishing tools A47L11/20)	A47L7/02	A47L7/02		477
A47L7/04	8	for using the exhaust air for other purposes, e.g. for distribution of chemicals in a room, for sterilisation of the air (spraying or atomising in general B05)	A47L7/04	A47L7/04		805
A47L7/06	9	for supporting the suction cleaner on the exhaust air	A47L7/06	A47L7/06		56
A47L7/08	9	with combustion of dust in exhaust air	A47L7/08	A47L7/08		3
A47L9/00	7	Details or accessories of suction cleaners, e.g. mechanical means for controlling the suction or for effecting pulsating action; Storing devices specially adapted to suction cleaners or parts thereof; Carrying-vehicles specially adapted for suction cleaners	A47L9/00	A47L9/00		4638
A47L9/0009	8	{Storing devices (winding devices for electric cables A47L9/26); Supports, stands or holders}	A47L9/00	A47L9/00		485
A47L9/0018	9	{integrated in or removably mounted upon the suction cleaner for storing parts of said suction cleaner}	A47L9/00	A47L9/00		256
A47L9/0027	10	{specially adapted for holding the suction cleaning tools}	A47L9/00	A47L9/00		513
A47L9/0036	10	{specially adapted for holding the suction hose}	A47L9/00	A47L9/00		357
A47L9/0045	10	{specially adapted for holding the suction tube}	A47L9/00	A47L9/00		234
A47L9/0054	9	{Stands or the like for temporary interruption of work}	A47L9/00	A47L9/00		105
A47L9/0063	9	{External storing devices; Stands, casings or the like for the storage of suction cleaners}	A47L9/00	A47L9/00		696
A47L9/0072	8	{Mechanical means for controlling the suction or for effecting pulsating action}	A47L9/00	A47L9/00		676
A47L9/0081	8	{Means for exhaust-air diffusion; Means for sound or vibration damping}	A47L9/00	A47L9/00		1690
A47L9/009	8	{Carrying-vehicles; Arrangements of trollies or wheels; Means for avoiding mechanical obstacles}	A47L9/00	A47L9/00		2480
A47L9/02	8	Nozzles (suction nozzles for fluid transport B65G51/00)	A47L9/02	A47L9/02		4073
A47L9/04	9	with driven brushes or agitators	A47L9/04	A47L9/04		1685
A47L9/0405	10	{Driving means for the brushes or agitators}	A47L9/04	A47L9/04		153
A47L9/0411	11	{driven by electric motor}	A47L9/04	A47L9/04		1578
A47L9/0416	11	{driven by fluid pressure, e.g. by means of an air turbine}	A47L9/04	A47L9/04		430
A47L9/0422	11	{driven by the rotation of the supporting wheels on which the nozzle travels over the floor}	A47L9/04	A47L9/04		139
A47L9/0427	10	{Gearing or transmission means therefor}	A47L9/04	A47L9/04		167
A47L9/0433	11	{Toothed gearings}	A47L9/04	A47L9/04		278
A47L9/0438	12	{with gears having orbital motion, e.g. planetary gearing}	A47L9/04	A47L9/04		53
A47L9/0444	11	{for conveying motion by endless flexible members, e.g. belts}	A47L9/04	A47L9/04		479
A47L9/045	11	{Friction gearings}	A47L9/04	A47L9/04		48
A47L9/0455	10	{Bearing means therefor}	A47L9/04	A47L9/04		346
A47L9/0461	10	{Dust-loosening tools, e.g. agitators, brushes}	A47L9/04	A47L9/04		116
A47L9/0466	11	{Rotating tools}	A47L9/04	A47L9/04		274
A47L9/0472	12	{Discs}	A47L9/04	A47L9/04		266
A47L9/0477	12	{Rolls}	A47L9/04	A47L9/04		2070
A47L9/0483	11	{Reciprocating or oscillating tools, e.g. vibrators, agitators, beaters}	A47L9/04	A47L9/04		296
A47L9/0488	11	{Combinations or arrangements of several tools, e.g. edge cleaning tools}	A47L9/04	A47L9/04		502
A47L9/0494	10	{Height adjustment of dust-loosening tools}	A47L9/04	A47L9/04		273
A47L9/06	9	with fixed, e.g. adjustably fixed brushes or the like	A47L9/06	A47L9/06		1658
A47L9/0606	10	{rigidly anchored brushes, combs, lips or pads}	A47L9/06	A47L9/06		285
A47L9/0613	11	{with means specially adapted for picking up threads, hair or the like, e.g. brushes, combs, lint pickers or bristles pads}	A47L9/06	A47L9/06		633
A47L9/062	11	{Rigidly anchored edge brushes}	A47L9/06	A47L9/06		62
A47L9/0626	11	{Rigidly anchored lips, e.g. nozzles adapted for picking up liquids}	A47L9/06	A47L9/06		115
