E02F3/3408	12	{of the parallelogram-type}	E02F3/34	E02F3/34		220
E02F3/3411	12	{of the Z-type}	E02F3/34	E02F3/34		302
E02F3/3414	11	{the arms being pivoted at the rear of the vehicle chassis, e.g. skid steer loader}	E02F3/34	E02F3/34		548
E02F3/3417	11	{Buckets emptying by tilting (E02F3/342, E02F3/345 take precedence)}	E02F3/34	E02F3/34		301
E02F3/342	11	Buckets emptying overhead (E02F3/348&#160;-&#160;E02F3/358 take precedence)	E02F3/342	E02F3/342		429
E02F3/345	11	Buckets emptying side-ways (E02F3/348&#160;-&#160;E02F3/358 take precedence)	E02F3/345	E02F3/345		158
E02F3/348	11	Buckets emptying into a collecting or conveying device	E02F3/348	E02F3/348		35
E02F3/3483	12	{Buckets discharging on a conveyor or elevator mounted on the machine}	E02F3/348	E02F3/348		265
E02F3/3486	12	{Buckets discharging overhead into a container mounted on the machine}	E02F3/348	E02F3/348		337
E02F3/352	11	Buckets movable along a fixed guide	E02F3/352	E02F3/352		234
E02F3/355	11	Buckets connected to the rear end of a tractor {not used}	E02F3/355	E02F3/355		
E02F3/358	11	Bucket-arms pivoted on a turntable being part of a tractor frame {or buckets arranged on a turntable supported by the arms}	E02F3/358	E02F3/358		80
E02F3/36	10	Component parts	E02F3/36	E02F3/36		1355
E02F3/3604	11	{Devices to connect tools to arms, booms or the like}	E02F3/36	E02F3/36		704
E02F3/3609	12	{of the quick acting type, e.g. controlled from the operator seat (quick-acting couplers to connect booms or arms to tractors E02F3/627; quick-acting couplers for machines mounted on tractor A01B59/06; couplings of the quick-acting type per seF16L37/00)}	E02F3/36	E02F3/36		383
E02F3/3613	13	{with means for absorbing any play therebetween (E02F3/364 takes precedence)}	E02F3/36	E02F3/36		134
E02F3/3618	13	{with two separating hooks}	E02F3/36	E02F3/36		556
E02F3/3622	13	{with a hook and a locking element acting on a pin}	E02F3/36	E02F3/36		644
E02F3/3627	13	{with a hook and a longitudinal locking element}	E02F3/36	E02F3/36		478
E02F3/3631	13	{with a hook and a transversal locking element}	E02F3/36	E02F3/36		321
E02F3/3636	13	{using two or four movable transversal pins}	E02F3/36	E02F3/36		270
E02F3/364	13	{using wedges}	E02F3/36	E02F3/36		303
E02F3/3645	13	{with auto-engagement means for automatic snap-on of the tool coupler part}	E02F3/36	E02F3/36		165
E02F3/365	13	{with redundant latching means, e.g. for safety purposes}	E02F3/36	E02F3/36		327
E02F3/3654	13	{with energy coupler, e.g. coupler for hydraulic or electric lines, to provide energy to drive(s) mounted on the tool}	E02F3/36	E02F3/36		363
E02F3/3659	13	{electrically-operated}	E02F3/36	E02F3/36		79
E02F3/3663	13	{hydraulically-operated}	E02F3/36	E02F3/36		1077
E02F3/3668	13	{where engagement is effected by a mechanical lever or handle}	E02F3/36	E02F3/36		235
E02F3/3672	13	{where disengagement is effected by a mechanical lever or handle}	E02F3/36	E02F3/36		293
E02F3/3677	12	{allowing movement, e.g. rotation or translation, of the tool around or along another axis as the movement implied by the boom or arms, e.g. for tilting buckets}	E02F3/36	E02F3/36		494
E02F3/3681	13	{Rotators}	E02F3/36	E02F3/36		484
E02F3/3686	12	{using adapters, i.e. additional element to mount between the coupler and the tool}	E02F3/36	E02F3/36		196
E02F3/369	11	{Devices to connect parts of a boom or an arm (devices to connect booms or arms to tractors E02F3/627)}	E02F3/36	E02F3/36		185
E02F3/3695	11	{Arrangements for connecting dipper-arms to loaders or graders}	E02F3/36	E02F3/36		96
E02F3/38	11	Cantilever beams {, i.e. booms;, e.g. manufacturing processes, forms, geometry or materials used for booms (for booms with cable suspension arrangements E02F9/14 takes precedence)}; Dipper-arms {, e.g. manufacturing processes, forms, geometry or materials used for dipper-arms}; Bucket-arms {(E02F3/34 takes precedence)}	E02F3/38	E02F3/38		1068
E02F3/382	12	{Connections to the frame; Supports for booms or arms (devices to connect booms or arms to tractors or similar machines E02F3/627; pivot joint assemblies in particular E02F9/006)}	E02F3/38	E02F3/38		339
E02F3/384	13	{the boom being pivotable relative to the frame about a vertical axis}	E02F3/38	E02F3/38		582
E02F3/386	13	{the boom being laterally shiftable relative to the frame}	E02F3/38	E02F3/38		148
E02F3/388	12	{Mechanical locking means for booms or arms against rotation, e.g. during transport of the machine (transporting-cranes B66C23/344)}	E02F3/38	E02F3/38		114
E02F3/40	11	Dippers; Buckets {; Grab devices, e.g. manufacturing processes for buckets, form, geometry or material of buckets (devices to connect tools to arms or booms E02F3/3604; teeth therefor E02F9/28)}	E02F3/40	E02F3/40		1749
E02F3/401	12	{Buckets or forks comprising, for example, shock absorbers, supports or load striking scrapers to prevent overload}	E02F3/40	E02F3/40		723
