B41M5/0076	9	{on wooden surfaces, leather, linoleum, skin, or flowers}	B41M5/00	B41M5/00		259
B41M5/0082	8	{Digital printing on bodies of particular shapes (sublimation or volatilisation of pre-printed design B41M5/035)}	B41M5/00	B41M5/00		148
B41M5/0088	9	{by ink-jet printing}	B41M5/00	B41M5/00		528
B41M5/0094	9	{by thermal printing}	B41M5/00	B41M5/00		31
B41M5/025	8	by transferring ink from the master sheet	B41M5/025	B41M5/025		942
B41M5/0253	9	{using a chemical colour-forming ink, e.g. chemical hectography (B41M5/035 takes precedence)}	B41M5/025	B41M5/025		161
B41M5/0256	9	{the transferable ink pattern being obtained by means of a computer driven printer, e.g. an ink jet or laser printer, or by electrographic means}	B41M5/025	B41M5/025		921
B41M5/03	9	by pressure	B41M5/03	B41M5/03		555
B41M5/035	9	by sublimation or volatilisation of {pre-printed} design {, e.g. sublistatic (B41M5/0256 takes precedence; printing on textiles D06P5/00)}	B41M5/035	B41M5/035		868
B41M5/0351	10	{on anodized aluminium}	B41M5/035	B41M5/035		59
B41M5/0353	10	{using heat shrinkable film material; Thermotransfer combined with the shaping of the workpiece; Recto-verso printing; Image correction}	B41M5/035	B41M5/035		116
B41M5/0355	10	{characterised by the macromolecular coating or impregnation used to obtain dye receptive properties}	B41M5/035	B41M5/035		226
B41M5/0356	10	{characterised by the inks used for printing the pattern on the temporary support or additives therefor, e.g. dyes, transferable compounds, binders or transfer promoting additives}	B41M5/035	B41M5/035		193
B41M5/0358	10	{characterised by the mechanisms or artifacts to obtain the transfer, e.g. the heating means, the pressure means or the transport means}	B41M5/035	B41M5/035		426
B41M5/04	9	using solvent-soluble dyestuffs on the master sheets, e.g. alcohol-soluble	B41M5/04	B41M5/04		348
B41M5/06	9	using master sheets coated with jelly-like materials, e.g. gelatin	B41M5/06	B41M5/06		82
B41M5/08	10	Sheet materials therefor	B41M5/08	B41M5/08		71
B41M5/10	8	by using carbon paper or the like	B41M5/10	B41M5/10		1148
B41M5/124	8	using pressure to make a masked colour visible, e.g. to make a coloured support visible, to create an opaque or transparent pattern, or to form colour by uniting colour-forming components	B41M5/124	B41M5/124		470
B41M5/1243	9	{Inert particulate additives, e.g. protective stilt materials}	B41M5/124	B41M5/124		73
B41M5/1246	9	{Application of the layer, e.g. by printing}	B41M5/124	B41M5/124		120
B41M5/128	9	Desensitisers; Compositions for fault correction, detection or identification of the layers	B41M5/128	B41M5/128		131
B41M5/132	9	Chemical colour-forming components; Additives or binders therefor	B41M5/132	B41M5/132		319
B41M5/136	10	Organic colour formers, e.g. leuco dyes	B41M5/136	B41M5/136		333
B41M5/1363	11	{Leuco dyes forming a complex with a metal cation}	B41M5/136	B41M5/136		18
B41M5/1366	11	{characterised solely by tri (aryl or hetaryl)methane derivatives (B41M5/1363 takes precedence)}	B41M5/136	B41M5/136		99
B41M5/145	11	with a lactone or lactam ring	B41M5/145	B41M5/145		315
B41M5/1455	12	{characterised by fluoran compounds}	B41M5/145	B41M5/145		330
B41M5/15	11	Spiro-pyrans	B41M5/15	B41M5/15		32
B41M5/155	10	Colour-developing components, e.g. acidic compounds; Additives or binders therefor; Layers containing such colour-developing components, additives or binders	B41M5/155	B41M5/155		610
B41M5/1555	11	{Inorganic mineral developers, e.g. clays}	B41M5/155	B41M5/155		171
B41M5/165	9	characterised by the use of microcapsules; Special solvents for incorporating the ingredients	B41M5/165	B41M5/165		580
B41M5/1655	10	{Solvents}	B41M5/165	B41M5/165		159
B41M5/20	8	using electric current (B41M5/24 takes precedence {; processes in which the current is transformed into a heat pattern for obtaining transfer to a receptor sheet B41M5/382; electro-coagulable or electro-adhesive printing or recording B41C1/105})	B41M5/20	B41M5/20		440
B41M5/205	9	{and an eroding electrode}	B41M5/20	B41M5/20		63
B41M5/24	8	Ablative recording, e.g. by burning marks; Spark recording {(marking by high energetic means, e.g. by laser otherwise than burning or ablative removal B41M5/26; materials or methods for recording or reproduction by optical means G11B7/00)}	B41M5/24	B41M5/24		1362
B41M5/245	9	{Electroerosion or spark recording}	B41M5/24	B41M5/24		245
B41M5/26	8	Thermography (B41M5/20, B41M5/24 take precedence); {Marking by high energetic means, e.g. laser otherwise than by burning, and characterised by the material used (B23K takes precedence; thermographic or photothermographic systems using noble metal compounds G03C1/494)}	B41M5/26	B41M5/26		1897
B41M5/262	9	{recording or marking of inorganic surfaces or materials, e.g. glass, metal, or ceramics (marking of plastic artifacts with inorganic additives B41M5/267)}	B41M5/26	B41M5/26		461
B41M5/265	9	{for the production of optical filters or electrical components}	B41M5/26	B41M5/26		108
B41M5/267	9	{Marking of plastic artifacts, e.g. with laser}	B41M5/26	B41M5/26		896
B41M5/28	9	using thermochromic compounds or layers containing liquid crystals, microcapsules, bleachable dyes or heat- decomposable compounds, e.g. gas- liberating {(B41M5/38271 takes precedence)}	B41M5/28	B41M5/28		274
B41M5/281	10	{using liquid crystals only}	B41M5/28	B41M5/28		100
B41M5/282	10	{using thermochromic compounds}	B41M5/28	B41M5/28		83
B41M5/283	11	{Inorganic thermochromic compounds}	B41M5/28	B41M5/28		46
B41M5/284	11	{Organic thermochromic compounds}	B41M5/28	B41M5/28		114
B41M5/285	12	{Polyacetylenes}	B41M5/28	B41M5/28		39
B41M5/286	10	{using compounds undergoing unimolecular fragmentation to obtain colour shift, e.g. bleachable dyes}	B41M5/28	B41M5/28		67
B41M5/287	10	{using microcapsules or microspheres only}	B41M5/28	B41M5/28		185
B41M5/288	10	{using gas liberating compounds, e.g. to obtain vesicular or blow-up images (B41M3/16, B41M9/04 take precedence; thermogravure printing B41M7/02)}	B41M5/28	B41M5/28		14
B41M5/30	9	using chemical colour formers (B41M5/34 takes precedence)	B41M5/30	B41M5/30		942
B41M5/305	10	{with reversible electron-donor electron-acceptor compositions}	B41M5/30	B41M5/30		451
B41M5/32	10	one component being a heavy metal compound, {e.g. lead or iron}	B41M5/32	B41M5/32		300
B41M5/323	10	Organic colour formers, e.g. leuco dyes	B41M5/323	B41M5/323		659
B41M5/327	11	with a lactone or lactam ring	B41M5/327	B41M5/327		403
B41M5/3275	12	{Fluoran compounds}	B41M5/327	B41M5/327		673
B41M5/333	10	Colour developing components therefor, e.g. acidic compounds	B41M5/333	B41M5/333		174
B41M5/3331	11	{Macromolecular compounds}	B41M5/333	B41M5/333		84
B41M5/3333	11	{Non-macromolecular compounds}	B41M5/333	B41M5/333		406
B41M5/3335	12	{Compounds containing phenolic or carboxylic acid groups or metal salts thereof}	B41M5/333	B41M5/333		892
B41M5/3336	13	{Sulfur compounds, e.g. sulfones, sulfides, sulfonamides}	B41M5/333	B41M5/333		564
B41M5/3338	11	{Inorganic compounds}	B41M5/333	B41M5/333		54
