E04G5/001	8	{Safety or protective measures against falling down relating to scaffoldings (E04G5/14 takes precedence)}	E04G5/00	E04G5/00		2263
E04G5/002	9	{Protections or covers for scaffolding connections}	E04G5/00	E04G5/00		117
E04G5/003	8	{Devices for storing material on the scaffold}	E04G5/00	E04G5/00		502
E04G5/004	8	{Storage and transport racks for scaffolding components}	E04G5/00	E04G5/00		218
E04G5/005	8	{Devices for cleaning or repairing scaffold tubes}	E04G5/00	E04G5/00		66
E04G5/006	8	{Scaffold with cantilevered sections, e.g. to accommodate overhangs or recesses in the facade}	E04G5/00	E04G5/00		279
E04G5/007	8	{Devices and methods for erecting scaffolds, e.g. automatic scaffold erectors}	E04G5/00	E04G5/00		1069
E04G2005/008	8	{Hoisting devices specially adapted as part of a scaffold system}	E04G5/00	E04G5/00		954
E04G5/02	8	Scaffold feet, e.g. with arrangements for adjustment	E04G5/02	E04G5/02		1566
E04G5/025	9	{Foot load distribution plates}	E04G5/02	E04G5/02		179
E04G5/04	8	Means for fastening, supporting, or bracing scaffolds on or against building constructions (fastenings in general F16B)	E04G5/04	E04G5/04		2251
E04G5/041	9	{for fastening scaffolds on roof frameworks or on roofs}	E04G5/04	E04G5/04		641
E04G5/043	10	{for fastening scaffolds on gutters}	E04G5/04	E04G5/04		90
E04G5/045	9	{for fastening scaffoldings on profiles, e.g. I or H profiles}	E04G5/04	E04G5/04		579
E04G5/046	9	{for fastening scaffoldings on walls}	E04G5/04	E04G5/04		2029
E04G5/048	10	{with hooks to be attached on the wall&apos;s crown}	E04G5/04	E04G5/04		80
E04G5/06	8	Consoles; Brackets {(E04G3/00 takes precedence)}	E04G5/06	E04G5/06		1141
E04G5/061	9	{specially adapted for attachment to scaffolds}	E04G5/06	E04G5/06		610
E04G5/062	9	{specially adapted for attachment to building walls}	E04G5/06	E04G5/06		597
E04G5/064	9	{specially adapted for attachment to building floors}	E04G5/06	E04G5/06		54
E04G5/065	9	{specially adapted for attachment to ladders (platforms on, or for use on, ladders E06C7/16)}	E04G5/06	E04G5/06		35
E04G5/067	9	{specially adapted for attachment to posts (E04G5/061 takes precedence)}	E04G5/06	E04G5/06		85
E04G2005/068	9	{Connections of consoles at an angle}	E04G5/06	E04G5/06		53
E04G5/08	8	Scaffold boards or planks {(clips or connections for securing boards E04G7/28; scaffolds comprising special means for supporting or forming platforms, platforms E04G1/15)}	E04G5/08	E04G5/08		1999
E04G5/10	8	Steps or ladders specially adapted for scaffolds {(E04G27/00 takes precedence)}	E04G5/10	E04G5/10		1107
E04G5/12	8	Canopies {(safety or protective measures preventing damage to building parts or finishing work during construction E04G21/24)}	E04G5/12	E04G5/12		533
E04G2005/125	9	{Roof for scaffolds, e.g. extending to the adjacent building}	E04G5/12	E04G5/12		161
E04G5/14	8	Railings	E04G5/14	E04G5/14		2592
E04G5/141	9	{with an access door or the like therefor}	E04G5/14	E04G5/14		355
E04G5/142	9	{extensible or telescopic}	E04G5/14	E04G5/14		414
E04G5/144	9	{specific for the lateral, i.e. short side of a scaffold}	E04G5/14	E04G5/14		223
E04G5/145	9	{Toe boards therefor}	E04G5/14	E04G5/14		214
E04G5/147	9	{specially adapted for mounting prior to the mounting of the platform}	E04G5/14	E04G5/14		346
E04G2005/148	9	{latticed or netted}	E04G5/14	E04G5/14		537
E04G5/16	8	Struts or stiffening rods, e.g. diagonal rods	E04G5/16	E04G5/16		1205
E04G5/165	9	{Lintel for scaffoldings}	E04G5/16	E04G5/16		79
E04G7/00	7	Connections between parts of the scaffold (for building structures in general E04B1/38; connections in general F16B{; connection for tubes or rods in general F16B7/00})	E04G7/00	E04G7/00		148
E04G2007/005	8	{Adaptors to adapt the connection means of one manufacturer&apos;s scaffold system to the one of another manufacturer}	E04G7/00	E04G7/00		27
E04G7/02	8	with separate coupling elements	E04G7/02	E04G7/02		668
E04G7/04	9	Flexible elements, with or without brackets, e.g. ropes, cables, chains (in general F16G{, means for fastening cables or ropes to one another or to other objects F16G11/00})	E04G7/04	E04G7/04		221
E04G7/06	9	Stiff scaffolding clamps for connecting scaffold members of common shape	E04G7/06	E04G7/06		385
E04G7/08	10	Clamps for parallelly-arranged members	E04G7/08	E04G7/08		169
E04G7/10	11	Self-tightening clamps, e.g. stirrups	E04G7/10	E04G7/10		31
E04G7/12	10	Clamps or clips for crossing members (E04G7/22 takes precedence)	E04G7/12	E04G7/12		310
E04G7/14	11	for clamping the members independently	E04G7/14	E04G7/14		734
E04G7/16	12	of which the clamping parts for the different members are rotatable with respect to one another	E04G7/16	E04G7/16		327
E04G7/18	11	for clamping the members against one another or against a separate cushioning piece between them	E04G7/18	E04G7/18		457
E04G7/20	10	for ends of members only, e.g. for connecting members in end-to-end relation	E04G7/20	E04G7/20		575
E04G7/22	10	for scaffold members in end-to-side relation	E04G7/22	E04G7/22		631
E04G7/24	10	Couplings involving arrangements covered by more than one of the subgroups E04G7/08, E04G7/12, E04G7/20, E04G7/22	E04G7/24	E04G7/24		375
E04G7/26	9	for use with specially-shaped scaffold members	E04G7/26	E04G7/26		301
