A46B9/04	9	{Arranged like in or} for toothbrushes	A46B9/04	A46B9/04		3942
A46B9/045	10	{specially adapted for cleaning a plurality of tooth surfaces simultaneously}	A46B9/04	A46B9/04		1165
A46B9/06	8	Arrangement of mixed bristles or tufts of bristles, e.g. wire, fibre, rubber	A46B9/06	A46B9/06		1145
A46B9/065	9	{the bristles or the tufts being embedded in a different brushing material}	A46B9/06	A46B9/06		62
A46B9/08	8	Supports or guides for bristles	A46B9/08	A46B9/08		469
A46B9/10	9	Adjustable supports	A46B9/10	A46B9/10		389
A46B9/12	9	Non-adjustable supports	A46B9/12	A46B9/12		224
A46B11/00	7	Brushes with reservoir or other means for applying substances, e.g. paints, pastes, water (driven brush bodies A46B13/00; {massage apparatus with liquid delivery A61H7/002, A61H2201/105}; applying liquids or other fluent materials to surfaces by liquid carrying members in general, e.g. by pads B05C1/00, B05D1/28)	A46B11/00	A46B11/00		679
A46B11/0003	8	{containing only one dose of substance, e.g. single-use toothbrushes}	A46B11/00	A46B11/00		581
A46B11/0006	8	{specially adapted to feed the bristle upper surface}	A46B11/00	A46B11/00		572
A46B11/001	8	{with integral reservoirs (A46B11/0003, A46B11/0006 take precedence)}	A46B11/00	A46B11/00		982
A46B11/0013	9	{dispensing by gravity or by shaking}	A46B11/00	A46B11/00		1305
A46B11/0017	9	{with pre-pressurised reservoirs, e.g. aerosols}	A46B11/00	A46B11/00		345
A46B11/002	9	{pressurised at moment of use manually or by powered means}	A46B11/00	A46B11/00		1002
A46B11/0024	10	{with a permanently displaceable pressurising member that remain in position unless actuated, e.g. lead-screw or ratchet mechanisms, toothpaste tube twisting or rolling devices}	A46B11/00	A46B11/00		468
A46B11/0027	11	{Lead-screw mechanisms}	A46B11/00	A46B11/00		730
A46B11/0031	12	{Means for influencing rotation of the knob, e.g. ratchet, click mechanisms, one way clutches}	A46B11/00	A46B11/00		76
A46B11/0034	11	{Means comprising a rachet mechanism or equivalent for advancing the piston stepwise}	A46B11/00	A46B11/00		102
A46B11/0037	11	{A piston or plunger advanced by direct pushing along the side of brush handle}	A46B11/00	A46B11/00		181
A46B11/0041	10	{Flexible or deformable reservoirs, e.g. resilient bulbs, compressible tubes}	A46B11/00	A46B11/00		1440
A46B11/0044	11	{where a tube is rolled up transverse to long axis}	A46B11/00	A46B11/00		18
A46B11/0048	11	{where a tube is twisted along length}	A46B11/00	A46B11/00		14
A46B11/0051	11	{Peristaltic pump}	A46B11/00	A46B11/00		29
A46B11/0055	10	{with a reciprocating piston or plunger acting as the pressurising means}	A46B11/00	A46B11/00		544
A46B11/0058	10	{with a metered dosage}	A46B11/00	A46B11/00		243
A46B11/0062	9	{Brushes where the reservoir is specifically intended for being refilled when empty}	A46B11/00	A46B11/00		769
A46B11/0065	9	{Brushes where the reservoir is specifically intended for being replaced when empty}	A46B11/00	A46B11/00		438
A46B11/0068	9	{Brushes where the reservoir is specifically intended for solid substance that dissolves gradually}	A46B11/00	A46B11/00		101
A46B11/0072	8	{Details}	A46B11/00	A46B11/00		475
A46B11/0075	9	{Means integral with the brush for opening, puncturing or piercing sealed reservoirs, e.g. on insertion}	A46B11/00	A46B11/00		64
A46B11/0079	9	{Arrangements for preventing undesired leakage or dispensing}	A46B11/00	A46B11/00		388
A46B11/0082	10	{Means for closing, sealing or controlling the flow using capillary action}	A46B11/00	A46B11/00		91
A46B11/0086	10	{Means for closing or sealing, e.g. toothpaste outlet when brush not in use thereby preventing leakage or drying out}	A46B11/00	A46B11/00		336
A46B11/0089	10	{Caps or covers for bristles}	A46B11/00	A46B11/00		181
A46B11/0093	9	{Arrangements for catching drips or overflow}	A46B11/00	A46B11/00		177
A46B11/0096	9	{Indication of the level of the remaining fluid, e.g. through transparent walls}	A46B11/00	A46B11/00		104
A46B11/06	8	connected to supply pipe {or to other external supply means (A46B11/0003 and A46B11/0006 take precedence)}	A46B11/06	A46B11/06		515
A46B11/063	9	{by means of a supply pipe}	A46B11/06	A46B11/06		1336
A46B11/066	10	{with means for introducing an additive, e.g. soap}	A46B11/06	A46B11/06		260
A46B11/08	8	with heating means	A46B11/08	A46B11/08		155
A46B13/00	7	Brushes with driven brush bodies {or carriers}(power-driven toothbrushes A61C17/16)	A46B13/00	A46B13/00		258
A46B13/001	8	{Cylindrical or annular brush bodies}	A46B13/00	A46B13/00		1735
A46B13/003	9	{made up of a series of annular brush rings; Annular brush rings therefor}	A46B13/00	A46B13/00		486
A46B13/005	9	{made up of a series of longitudinal strips or segments}	A46B13/00	A46B13/00		390
A46B13/006	9	{formed by winding a strip tuft in a helix about the body}	A46B13/00	A46B13/00		264
A46B13/008	8	{Disc-shaped brush bodies}	A46B13/00	A46B13/00		985
A46B13/02	8	power-driven {carriers}	A46B13/02	A46B13/02		3193
A46B13/023	9	{with means for inducing vibration to the bristles}	A46B13/02	A46B13/02		667
A46B13/026	9	{Brushes which automatically reverse direction of rotation, e.g. using gravity switches}	A46B13/02	A46B13/02		111
A46B13/04	9	with reservoir or other means for supplying substances	A46B13/04	A46B13/04		815
A46B13/06	10	with brush driven by the supplied medium	A46B13/06	A46B13/06		543
