B23F17/008	9	{Features relating to transfer of work gears between different work stations}	B23F17/00	B23F17/00		30
B23F19/00	7	Finishing gear teeth by other tools than those used for manufacturing gear teeth	B23F19/00	B23F19/00		551
B23F19/002	8	{Modifying the theoretical tooth flank form, e.g. crowning (B23F19/10 takes precedence)}	B23F19/00	B23F19/00		275
B23F19/005	9	{using a face-mill-type tool, e.g. a milling or a grinding tool}	B23F19/00	B23F19/00		52
B23F19/007	9	{using a gear-shaped tool}	B23F19/00	B23F19/00		169
B23F19/02	8	Lapping gear teeth	B23F19/02	B23F19/02		298
B23F19/025	9	{Lapping bevel gears by making use of a correspondingly shaped counterpart}	B23F19/02	B23F19/02		129
B23F19/04	9	Lapping spur gears by making use of a correspondingly shaped counterpart	B23F19/04	B23F19/04		219
B23F19/045	10	{the counterpart having internal toothing}	B23F19/04	B23F19/04		25
B23F19/05	8	Honing gear teeth	B23F19/05	B23F19/05		199
B23F19/052	9	{by making use of a tool in the shape of a worm}	B23F19/05	B23F19/05		39
B23F19/055	9	{by making use of a tool in the shape of a bevel gear or a crown gear}	B23F19/05	B23F19/05		37
B23F19/057	9	{by making use of a tool in the shape of an internal gear}	B23F19/05	B23F19/05		94
B23F19/06	8	Shaving the faces of gear teeth	B23F19/06	B23F19/06		445
B23F19/063	9	{by making use of a tool in the shape of an internal gear}	B23F19/06	B23F19/06		7
B23F19/066	9	{with plural tools}	B23F19/06	B23F19/06		28
B23F19/10	8	Chamfering the end edges of gear teeth	B23F19/10	B23F19/10		372
B23F19/101	9	{by planing}	B23F19/10	B23F19/10		53
B23F19/102	9	{by milling}	B23F19/10	B23F19/10		108
B23F19/104	10	{the tool being a hob}	B23F19/10	B23F19/10		47
B23F19/105	10	{the tool being an end mill}	B23F19/10	B23F19/10		114
B23F19/107	10	{the tool being a fly cutter}	B23F19/10	B23F19/10		45
B23F19/108	9	{by brushing}	B23F19/10	B23F19/10		42
B23F19/12	9	by grinding	B23F19/12	B23F19/12		164
B23F19/125	10	{the tool being a grinding worm}	B23F19/12	B23F19/12		27
B23F21/00	7	Tools specially adapted for use in machines for manufacturing gear teeth	B23F21/00	B23F21/00		245
B23F21/005	8	{with plural tools on a common axis}	B23F21/00	B23F21/00		123
B23F21/02	8	Grinding discs; Grinding worms (truing grinding tools B24B; grinding tools in general B24D)	B23F21/02	B23F21/02		104
B23F21/023	9	{Face-mill-type, i.e. cup-shaped, grinding wheels}	B23F21/02	B23F21/02		33
B23F21/026	9	{Grinding worms}	B23F21/02	B23F21/02		127
B23F21/03	8	Honing tools	B23F21/03	B23F21/03		169
B23F21/035	9	{Honing worms}	B23F21/03	B23F21/03		18
B23F21/04	8	Planing or slotting tools	B23F21/04	B23F21/04		81
B23F21/043	9	{with inserted cutting elements}	B23F21/04	B23F21/04		10
B23F21/046	10	{in exchangeable arrangement}	B23F21/04	B23F21/04		16
B23F21/06	9	having a profile which matches a gear tooth profile	B23F21/06	B23F21/06		23
B23F21/063	10	{with inserted cutting elements}	B23F21/06	B23F21/06		3
B23F21/066	11	{in exchangeable arrangement}	B23F21/06	B23F21/06		8
