F16F1/366	9	made of fibre-reinforced plastics, {i.e. characterised by their special construction from such materials}<br><br><u>NOTE</u><br><br> Attention is drawn to notes following the subclass title regarding interpretation of the term "plastics" in groups F16F, in particular as regards the subject matter of groups F16F1/366&#160;-&#160;F16F1/3686. 	F16F1/366	F16F1/366		354
F16F1/3665	10	{Wound springs}	F16F1/366	F16F1/366		112
F16F1/368	10	Leaf springs	F16F1/368	F16F1/368		407
F16F1/3683	11	{Attachments or mountings therefor}	F16F1/368	F16F1/368		127
F16F1/3686	12	{End mountings}	F16F1/368	F16F1/368		155
F16F1/37	9	of foam-like material {, i.e. microcellular material}, e.g. sponge rubber {(padded linings for vehicle interiors B60R21/04)}	F16F1/37	F16F1/37		371
F16F1/371	9	characterised by inserts or auxiliary extension {or exterior} elements, e.g. for rigidification (F16F1/387 takes precedence; {non-embedded reinforcing elements for flexibly-walled air springs F16F9/0436})	F16F1/371	F16F1/371		709
F16F1/3713	10	{with external elements passively influencing spring stiffness, e.g. rings or hoops}	F16F1/371	F16F1/371		197
F16F1/3716	11	{External elements such as covers or envelopes, that are flexible}	F16F1/371	F16F1/371		4
F16F1/373	9	characterised by having a particular shape {(F16F9/58 takes precedence)}	F16F1/373	F16F1/373		803
F16F1/3732	10	{having an annular or the like shape, e.g. grommet-type resilient mountings}	F16F1/373	F16F1/373		1259
F16F1/3735	11	{Multi-part grommet-type resilient mountings}	F16F1/373	F16F1/373		135
F16F1/3737	10	{Planar, e.g. in sheet form (vibration dampers comprising one or more constrained viscoelastic layers F16F9/306)}	F16F1/373	F16F1/373		196
F16F1/374	10	having a spherical or the like shape	F16F1/374	F16F1/374		92
F16F1/376	10	having projections, studs, serrations or the like on at least one surface ({F16F1/3835} , F16F1/387 take precedence)	F16F1/376	F16F1/376		540
F16F1/377	10	having holes or openings ({F16F1/37} , F16F1/387 take precedence)	F16F1/377	F16F1/377		502
F16F1/379	9	characterised by arrangements for controlling the spring temperature, e.g. by cooling	F16F1/379	F16F1/379		36
F16F1/38	9	with a sleeve of elastic material between a rigid outer sleeve and a rigid inner sleeve or pin {, i.e. bushing-type (hydraulically-damped bushes F16F13/14; suppression of vibrations in rotating systems by making use of elastomeric spring members between rotating elements, driveline torque being transmitted therebetween F16F15/126, by making use of a dynamic damping mass attached to a rotating element by means of elastomeric springs F16F15/14; pivots per seF16C11/00; elastic or yielding bearings or bearing supports F16C27/00; parts of sliding-contact bearings, e.g. bushes F16C33/04)}	F16F1/38	F16F1/38		1443
F16F1/3807	10	{characterised by adaptations for particular modes of stressing}	F16F1/38	F16F1/38		75
F16F1/3814	11	{characterised by adaptations to counter axial forces (F16F1/393 takes precedence)}	F16F1/38	F16F1/38		250
F16F1/3821	11	{characterised by adaptations to counter torsional forces}	F16F1/38	F16F1/38		87
F16F1/3828	10	{End stop features or buffering (F16F1/3807 takes precedence)}	F16F1/38	F16F1/38		219
F16F1/3835	10	{characterised by the sleeve of elastic material, e.g. having indentations or made of materials of different hardness (F16F1/3807, F16F1/387 take precedence)}	F16F1/38	F16F1/38		479
F16F1/3842	10	{Method of assembly, production or treatment; Mounting thereof (supports for pipes, cables or protective tubing F16L3/00)}	F16F1/38	F16F1/38		782
F16F1/3849	11	{Mounting brackets therefor, e.g. stamped steel brackets; Restraining links}	F16F1/38	F16F1/38		420
F16F1/3856	11	{Vulcanisation or gluing of interface between rigid and elastic sleeves}	F16F1/38	F16F1/38		114
F16F1/3863	10	{characterised by the rigid sleeves or pin, e.g. of non-circular cross-section (F16F1/3807, F16F1/387 take precedence)}	F16F1/38	F16F1/38		565
F16F1/387	10	comprising means for modifying the rigidity in particular directions {(spherical or conical sleeves F16F1/393)}	F16F1/387	F16F1/387		714
F16F1/3873	11	{having holes or openings}	F16F1/387	F16F1/387		163
F16F1/3876	11	{by means of inserts of more rigid material}	F16F1/387	F16F1/387		94
F16F1/393	10	with spherical or conical sleeves	F16F1/393	F16F1/393		311
F16F1/3935	11	{Conical sleeves}	F16F1/393	F16F1/393		219
F16F1/40	9	consisting of a stack of similar elements separated by non-elastic intermediate layers {(F16F9/306 takes precedence; laminated constructions to protect buildings against abnormal external influences, e.g. earthquakes, E04H9/022)}	F16F1/40	F16F1/40		643
F16F1/403	10	{characterised by the shape of the non-elastic interengaging parts between the elements}	F16F1/40	F16F1/40		137
F16F1/406	10	{characterised by the shape of the elastic elements}	F16F1/40	F16F1/40		113
F16F1/41	10	the spring consisting of generally conically arranged elements {(if sleeve-like, i.e. a surface of revolution F16F1/3935)}	F16F1/41	F16F1/41		92
F16F1/42	9	characterised by the mode of stressing<br><br><u>NOTE</u><br><br> Classification of documents in groups F16F1/42&#160;-&#160;F16F1/54, concerning the mode of stressing of elastomeric springs, is to be considered only when classification in other subgroups of F16F1/36 would be unsuitable. Attention is drawn to the parallel scheme of indexing codes under F16F2236/00. 	F16F1/42	F16F1/42		33
F16F1/422	10	{the stressing resulting in flexion of the spring}	F16F1/42	F16F1/42		296
F16F1/424	11	{of membrane-type springs}	F16F1/42	F16F1/42		71
F16F1/426	11	{Radial flexion of ring-type springs}	F16F1/42	F16F1/42		87
F16F1/428	11	{of strip- or leg-type springs}	F16F1/42	F16F1/42		85
F16F1/44	10	loaded mainly in compression	F16F1/44	F16F1/44		513
F16F1/445	11	{the spring material being contained in a generally closed space (F16F1/393 takes precedence)}	F16F1/44	F16F1/44		305
F16F1/46	10	loaded mainly in tension	F16F1/46	F16F1/46		242
F16F1/48	10	loaded mainly in torsion	F16F1/48	F16F1/48		85
F16F1/50	10	loaded mainly in shear	F16F1/50	F16F1/50		172
F16F1/505	11	{Rotational shear}	F16F1/50	F16F1/50		22
F16F1/52	10	loaded in combined stresses	F16F1/52	F16F1/52		100
F16F1/54	11	loaded in compression and shear	F16F1/54	F16F1/54		440
F16F1/545	12	{Neidhart-type rubber springs (vehicle suspensions having Neidhart-type rubber springs B60G11/225)}	F16F1/54	F16F1/54		139
F16F3/00	7	Spring units consisting of several springs, e.g. for obtaining a desired spring characteristic ({F16F1/32, F16F1/34, F16F7/14 take precedence } ; if including fluid springs F16F5/00, F16F13/00)<br><br><u>NOTE</u><br><br>In this group, vehicle leaf spring units, i.e. "packets" of individual leaves, are considered as a single spring	F16F3/00	F16F3/00		255
F16F3/02	8	with springs made of steel or of other material having low internal friction	F16F3/02	F16F3/02		698
F16F3/023	9	{composed only of leaf springs}	F16F3/02	F16F3/02		391
F16F3/026	9	{to give a zero-spring rate characteristic}	F16F3/02	F16F3/02		48
F16F3/04	9	composed only of wound springs	F16F3/04	F16F3/04		1304
F16F3/06	10	of which some are placed around others in such a way that they damp each other by mutual friction	F16F3/06	F16F3/06		235
F16F3/08	8	with springs made of a material having high internal friction, e.g. rubber {(multi-part grommet-type resilient mountings F16F1/3735)}	F16F3/08	F16F3/08		168
F16F3/087	9	Units comprising several springs made of plastics or the like material (F16F1/40, {F16F1/545} take precedence)	F16F3/087	F16F3/087		187
F16F3/0873	10	{of the same material or the material not being specified}	F16F3/087	F16F3/087		431
F16F3/0876	11	{and of the same shape}	F16F3/087	F16F3/087		411
F16F3/093	10	the springs being of different materials, e.g. having different types of rubber {(F16F1/3835 takes precedence)}	F16F3/093	F16F3/093		443
F16F3/0935	11	{and being of the same shape}	F16F3/093	F16F3/093		46
F16F3/10	9	combined with springs made of steel or other material having low internal friction	F16F3/10	F16F3/10		731
F16F3/12	10	the steel spring being in contact with the rubber spring {(F16F1/12 takes precedence)}	F16F3/12	F16F3/12		640
F16F5/00	7	Liquid springs in which the liquid works as a spring by compression, e.g. combined with throttling action; Combinations of devices including liquid springs {(dampers with solid or semi-solid material F16F9/30)}	F16F5/00	F16F5/00		588
F16F6/00	7	Magnetic springs {(magnetic spring arrangements for the suppression of vibration in systems F16F15/03)}; Fluid magnetic springs {, i.e. magnetic spring combined with a fluid}	F16F6/00	F16F6/00		928
F16F6/005	8	{using permanent magnets only}	F16F6/00	F16F6/00		394
F16F7/00	7	Vibration-dampers; Shock-absorbers (using fluid F16F5/00, F16F9/00; specific for rotary systems F16F15/10{; belt tensioners F16H7/12})	F16F7/00	F16F7/00		2428
F16F7/003	8	{One-shot shock absorbers (using plastic deformation of members, e.g. using sacrificial, fibre-reinforced composite members F16F7/12)}	F16F7/00	F16F7/00		177
F16F7/006	9	{using textile means (safety belts or body harnesses incorporating energy absorbing means A62B35/04)}	F16F7/00	F16F7/00		59
F16F7/01	8	using friction between loose particles, e.g. sand	F16F7/01	F16F7/01		411
F16F7/015	9	{the particles being spherical, cylindrical or the like}	F16F7/01	F16F7/01		251
F16F7/02	8	with relatively-rotatable friction surfaces that are pressed together (F16F7/01 takes precedence; one of the members being a spring F16F13/02{; friction devices between relatively-movable parts of a hinge E05D11/08; braking devices for wings E05F5/00})	F16F7/02	F16F7/02		308
F16F7/023	9	{and characterised by damping force adjustment means}	F16F7/02	F16F7/02		87
F16F7/026	10	{resulting in the damping effects being different according to direction of rotation}	F16F7/02	F16F7/02		42
F16F7/04	9	in the direction of the axis of rotation {(F16F7/023 takes precedence)}	F16F7/04	F16F7/04		624
F16F7/06	9	in a direction perpendicular or inclined to the axis of rotation {(F16F7/023 takes precedence)}	F16F7/06	F16F7/06		689
F16F7/065	10	{where elements interengaging frictionally are in the shape of spiral bands}	F16F7/06	F16F7/06		8
