A47F5/0006	8	{Hangers for hanging articles on bars, tringles, bracket arms or the like (dress holders, e.g. for clothing, shoes, A47G25/00; packages for hanging B65D; lockable clothing holders E05B69/00)}	A47F5/00	A47F5/00		986
A47F2005/0012	9	{merchandising strips}	A47F5/00	A47F5/00		105
A47F5/0018	8	{Display racks with shelves or receptables (racks  per seA47B; storage devices for warehouses B65G1/02)}	A47F5/00	A47F5/00		1016
A47F5/0025	9	{having separate display containers or trays on shelves or on racks}	A47F5/00	A47F5/00		694
A47F5/0031	10	{made of tubes or wire}	A47F5/00	A47F5/00		118
A47F5/0037	10	{being rotatable or tiltable}	A47F5/00	A47F5/00		364
A47F5/0043	8	{Show shelves (shelves in general A47B96/02; brackets or similar shelf-supporting means A47B96/06; advertising or price indication G09F)}	A47F5/00	A47F5/00		1059
A47F5/005	9	{Partitions therefore (horizontally adjustable A47B57/58; constructional details of drawers A47B88/90)}	A47F5/00	A47F5/00		1362
A47F5/0056	10	{made of tubes or wire}	A47F5/00	A47F5/00		109
A47F5/0062	10	{Terraced platforms on shelves or trays}	A47F5/00	A47F5/00		134
A47F5/0068	9	{Shelf extensions, e.g. fixed on price rail}	A47F5/00	A47F5/00		454
A47F2005/0075	8	{Headers for show stands, shelves, racks or cases}	A47F5/00	A47F5/00		151
A47F5/0081	8	{Show stands or display racks with movable parts (A47F5/0037, A47F5/02, A47F5/05, A47F5/12 take precedence; show cabinets with movable parts A47F3/06)}	A47F5/00	A47F5/00		663
A47F5/0087	9	{movable around an axis}	A47F5/00	A47F5/00		418
A47F5/0093	9	{movable in a substantially horizontal direction}	A47F5/00	A47F5/00		571
A47F5/01	8	made of tubes or wire ({A47F5/0807 takes precedence} foldable or adjustable A47F5/13)	A47F5/01	A47F5/01		1072
A47F5/02	8	Rotary display stands {(rotary show-cases A47F3/10)}	A47F5/02	A47F5/02		1801
A47F5/025	9	having mechanical drive, e.g. turntables (A47F5/03 takes precedence)	A47F5/025	A47F5/025		2370
A47F5/03	9	with horizontal rotation axis {(rotation of merchandise around a horizontal axis in show cabinets A47F3/085; rotary show cabinets A47F3/10)}	A47F5/03	A47F5/03		309
A47F5/04	8	Stands with a central pillar, e.g. tree type {(A47F5/02 takes precedence)}	A47F5/04	A47F5/04		1249
A47F5/05	9	with separate containers rotatable around the pillar	A47F5/05	A47F5/05		316
A47F5/06	9	adjustable	A47F5/06	A47F5/06		552
A47F5/08	8	secured to the wall, ceiling, or the like; Wall-bracket display devices	A47F5/08	A47F5/08		1062
A47F5/0807	9	{Display panels, grids or rods used for suspending merchandise or cards supporting articles; Movable brackets therefor (with fixed brackets A47F5/0876; packages comprising articles attached to cards B65D73/00; labels G09F)}	A47F5/08	A47F5/08		622
A47F5/0815	10	{Panel constructions with apertures for article supports, e.g. hooks}	A47F5/08	A47F5/08		450
A47F5/0823	11	{Article supports for peg-boards}	A47F5/08	A47F5/08		940
A47F5/083	10	{Grids; Article supports therefor}	A47F5/08	A47F5/08		214
A47F5/0838	10	{Rails or bars; Article supports therefor, e.g. brackets being slidably attached on the outside thereof}	A47F5/08	A47F5/08		431
A47F5/0846	10	{Display panels or rails with elongated channels; Sliders, brackets, shelves, or the like, slidably attached therein}	A47F5/08	A47F5/08		732
A47F5/0853	11	{Rail constructions; Brackets}	A47F5/08	A47F5/08		224
A47F5/0861	10	{Anti-theft means therefor}	A47F5/08	A47F5/08		225
A47F5/0869	10	{Accessories for article-supporting brackets, e.g. price- indicating means, not covered by a single one of groups A47F5/08(pushing means therefor A47F1/128)}	A47F5/08	A47F5/08		391
A47F5/0876	9	{Display stands with fixed brackets or hooks for suspending articles (A47F5/0807, A47F5/0884 take precedence)}	A47F5/08	A47F5/08		299
A47F5/0884	9	{Show stands with clips or slits to attach articles (for pictures A47F7/143)}	A47F5/08	A47F5/08		177
A47F5/0892	9	{Suspended show stands, e.g. secured to the ceiling by means of cords or chains (suspended shelves A47B43/003; uprights A47B96/14, e.g. secured to both ceiling and floor A47B96/1425)}	A47F5/08	A47F5/08		364
A47F5/10	8	Adjustable or foldable {or dismountable} display stands {(foldable racks in general A47B43/00; dismountable racks in general A47B47/00; assemblies of elements of the same kind, e.g. stackable A47B87/00; publicity panels G09F15/0068)}	A47F5/10	A47F5/10		4421
A47F5/101	9	{Display racks with slotted uprights}	A47F5/10	A47F5/10		375
A47F5/103	10	{Display shelving racks with the uprights aligned in only one plane}	A47F5/10	A47F5/10		618
A47F5/105	9	{Adjustable partition panels for displaying articles (for furniture A47B96/1416; partition walls in buildings E04B2/78)}	A47F5/10	A47F5/10		430
A47F5/106	9	{with independent pillars (with a central pillar A47F5/04)}	A47F5/10	A47F5/10		220
A47F5/108	9	{adapted for regular, e.g. daily, transport, filled with articles to a display area}	A47F5/10	A47F5/10		499
A47F5/11	9	made of cardboard, paper or the like {(racks or cabinets made of cardboard, paper or the like A47B43/02, A47B47/06; stands for packaging and displaying B65D5/52)}	A47F5/11	A47F5/11		422
A47F5/112	10	{hand-folded from sheet material}	A47F5/11	A47F5/11		1295
A47F5/114	11	{in the form of trays with a base}	A47F5/11	A47F5/11		326
A47F5/116	11	{Shelving racks}	A47F5/11	A47F5/11		590
A47F5/118	10	{Combinations of cardboard and other materials, e.g. wood}	A47F5/11	A47F5/11		118
A47F5/12	9	Tiltable stands	A47F5/12	A47F5/12		689
A47F5/13	9	made of tubes or wire {(assemblies of elements of the same kind, e.g. stackable, A47B87/00)}	A47F5/13	A47F5/13		1048
A47F5/132	10	{Adjustable partition panels for displaying articles}	A47F5/13	A47F5/13		39
A47F5/135	10	{adapted for regular transport to a display area (A47F7/24 takes precedence)}	A47F5/13	A47F5/13		108
A47F5/137	11	{having wheels}	A47F5/13	A47F5/13		284
A47F5/14	8	Tubular connecting elements for wire stands {(connections for rods or tubes in general F16B7/00)}	A47F5/14	A47F5/14		223
A47F5/16	8	Platform-type show stands with flat, inclined, or curved upper surface	A47F5/16	A47F5/16		1015
A47F2005/165	9	{with inclined display surface}	A47F5/16	A47F5/16		238
A47F7/00	7	Show stands, hangers, or shelves, adapted for particular articles or materials {(A47F5/0006 takes precedence)}	A47F7/00	A47F7/00		3391
A47F7/0007	8	{for stacked articles; Stabilising means therefor (for cans or bottles A47F7/281)}	A47F7/00	A47F7/00		126
A47F7/0014	9	{for a horizontal stack of flat articles in an almost vertical position; Stabilising means therefor}	A47F7/00	A47F7/00		72
A47F7/0021	8	{for long or non-stable articles, e.g. fishing rods, pencils, lipsticks or the like; Compartments or recesses as stabilising means (A47F7/14, A47F7/28, A47B81/005 take precedence)}	A47F7/00	A47F7/00		320
A47F7/0028	9	{with one compartment or recess for each article (A47F7/0035 takes precedence)}	A47F7/00	A47F7/00		694
