G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F3/02883	10	{Folded}<br><br><u>WARNING</u><br>Group G09F3/02883 is incomplete pending reclassification of documents from group G09F3/0288. <br>Groups G09F3/0288 and G09F3/02883 should be considered in order to perform a complete search.	G09F3/02	G09F3/02		24
G09F3/02886	10	{Reinforced}<br><br><u>WARNING</u><br>Group G09F3/02886 is incomplete pending reclassification of documents from group G09F3/0288. <br>Groups G09F3/0288 and G09F3/02886 should be considered in order to perform a complete search.	G09F3/02	G09F3/02		4
G09F3/0289	10	{Pull- or fold-out labels}	G09F3/00	G09F3/02		632
G09F3/0291	9	{Labels or tickets undergoing a change under particular conditions, e.g. heat, radiation, passage of time}	G09F3/00	G09F3/02		825
G09F3/0292	10	{tamper indicating labels}	G09F3/00	G09F3/02		1252
G09F3/0294	10	{where the change is not permanent, e.g. labels only readable under a special light, temperature indicating labels and the like}	G09F3/00	G09F3/02		851
G09F3/0295	9	{Labels or tickets for tubes, pipes and the like}	G09F3/00	G09F3/02		748
G09F3/0297	9	{including a machine-readable marking, e.g. a bar code (digitally marked record carriers in general G06K19/00)}	G09F3/00	G09F3/02		1544
G09F3/0298	10	{Bar code orientation; Labels in which the bar code orientation is different}	G09F3/00	G09F3/02		29
G09F3/03	9	of security seals {(means for indicating unauthorised opening of container closures B65D, e.g. B65D27/30, B65D55/02; theft deterrent tags E05B73/0017)}	G09F3/03	G09F3/03		373
G09F3/0305	10	{characterised by the type of seal used}	G09F3/03	G09F3/03		452
G09F3/0311	11	{having arrow-like sealing means}	G09F3/03	G09F3/03		158
G09F3/0317	11	{having bolt like sealing means (means for preventing relative axial movement of a pin, spigot, shaft or the like and a member surrounding it F16B21/00)}	G09F3/03	G09F3/03		344
G09F3/0323	11	{having clamp-like sealing means}	G09F3/03	G09F3/03		434
G09F3/0329	11	{having electronic sealing means}	G09F3/03	G09F3/03		202
G09F3/0335	12	{using RFID tags}	G09F3/03	G09F3/03		320
G09F3/0341	11	{having label sealing means}	G09F3/03	G09F3/03		468
G09F3/0347	11	{having padlock-type sealing means (padlocks in general E05B67/00)}	G09F3/03	G09F3/03		48
G09F3/0352	12	{using cable lock}	G09F3/03	G09F3/03		1123
G09F3/0358	12	{using a rigid hasp lock}	G09F3/03	G09F3/03		305
G09F3/0364	11	{having rotary sealing means}	G09F3/03	G09F3/03		70
G09F3/037	11	{having tie-wrap sealing means}	G09F3/03	G09F3/03		825
G09F3/0376	10	{using a special technique to detect tampering, e.g. by ultrasonic or optical means}	G09F3/03	G09F3/03		201
G09F3/0382	10	{Seals with transparent casing}	G09F3/03	G09F3/03		38
G09F3/0388	11	{With semi-transparent casing}	G09F3/03	G09F3/03		5
G09F3/0394	10	{with violation indication by generating a random number (random number generators G06F7/58, G07C15/00)}	G09F3/03	G09F3/03		51
G09F3/04	8	to be fastened or secured by the material of the label itself, e.g. by thermo-adhesion (by a separate adhesive layer G09F3/10)	G09F3/04	G09F3/04		1981
G09F3/06	9	by clamping action (by separate clamps G09F3/16)	G09F3/06	G09F3/06		388
G09F3/08	8	Fastening or securing by means not forming part of the material of the label itself	G09F3/08	G09F3/08		465
G09F3/10	9	by an adhesive layer	G09F3/10	G09F3/10		5803
G09F3/12	9	by pins, staples, or the like	G09F3/12	G09F3/12		1082
G09F3/14	9	by strings, straps, chains, or wires	G09F3/14	G09F3/14		2013
G09F3/16	9	by clamps	G09F3/16	G09F3/16		818
G09F3/18	9	Casings, frames or enclosures for labels	G09F3/18	G09F3/18		1068
G09F3/185	10	{Enclosures enveloping completely the labels (G09F3/201 takes precedence)}	G09F3/18	G09F3/18		107
G09F3/20	10	for adjustable, removable, or interchangeable labels	G09F3/20	G09F3/20		1900
G09F3/201	11	{Enclosures enveloping completely the labels (G09F3/203&#160;-&#160;G09F3/207 take precedence)}	G09F3/20	G09F3/20		382
G09F3/202	11	{for labels being formed by a combination of interchangeable elements, e.g. price labels (G09F3/203&#160;-&#160;G09F3/207 take precedence)}	G09F3/20	G09F3/20		691
G09F3/203	11	{specially adapted to be attached to a transparent surface, e.g. the window of a car}	G09F3/20	G09F3/20		454
G09F3/204	11	{specially adapted to be attached to a shelf or the like}	G09F3/20	G09F3/20		1405
G09F3/205	11	{specially adapted for electric cables, pipes or the like}	G09F3/20	G09F3/20		583
G09F3/206	11	{specially adapted for marking or identifying plants}	G09F3/20	G09F3/20		297
G09F3/207	11	{in the form of a badge to be worn by a person}	G09F3/20	G09F3/20		506
G09F3/208	11	{Electronic labels, Labels integrating electronic displays}	G09F3/20	G09F3/20		875
G09F5/00	7	Means for displaying samples (packaging per seB65)	G09F5/00	G09F5/00		754
G09F5/02	8	Portable sample cases	G09F5/02	G09F5/02		363
G09F5/04	8	Cards of samples; Books of samples (packages comprising articles attached to cards, sheets, or webs for removal therefrom B65D73/00)	G09F5/04	G09F5/04		1091
G09F2005/041	9	{Back covers for books of samples}	G09F5/04	G09F5/04		36
G09F5/042	9	{in paper, paperboard, or the like}	G09F5/04	G09F5/04		487
G09F2005/043	9	{for wood}	G09F5/04	G09F5/04		18
G09F2005/045	9	{for carpets}	G09F5/04	G09F5/04		69
G09F2005/046	9	{for perfumes}	G09F5/04	G09F5/04		28
G09F2005/047	9	{for furniture}	G09F5/04	G09F5/04		15
G09F2005/048	9	{for fabrics}	G09F5/04	G09F5/04		32
