G09F1/00	7	Cardboard or like show-cards of foldable or flexible material	G09F1/00	G09F1/00		442
G09F2013/1836	10	{using a frame-like light source}	G09F13/18	G09F13/18		75
G09F2013/184	9	{Information to display}	G09F13/18	G09F13/18		61
G09F2013/1845	10	{Interchangeable poster}	G09F13/18	G09F13/18		86
G09F2013/185	10	{Embossed marks}	G09F13/18	G09F13/18		92
G09F2013/1854	10	{Light diffusing layer}	G09F13/18	G09F13/18		154
G09F2013/1859	10	{Frosted surface}	G09F13/18	G09F13/18		26
G09F2013/1863	10	{Layer with different refractive index}	G09F13/18	G09F13/18		39
G09F2013/1868	10	{Fluorescent pencil}	G09F13/18	G09F13/18		23
G09F2013/1872	9	{Casing}	G09F13/18	G09F13/18		142
G09F2013/1877	10	{Stand-like}	G09F13/18	G09F13/18		144
G09F2013/1881	10	{Frame-like}	G09F13/18	G09F13/18		212
G09F2013/1886	9	{Special effects}	G09F13/18	G09F13/18		74
G09F2013/189	10	{Three dimensional effects}	G09F13/18	G09F13/18		157
G09F2013/1895	11	{Imitating a neon tube}	G09F13/18	G09F13/18		42
G09F13/20	8	with luminescent surfaces or parts (luminescent compositions C09K11/00; light sources using luminescence F21K2/00)	G09F13/20	G09F13/20		2211
G09F13/22	9	electroluminescent (electroluminescent light sources per seH05B33/00)	G09F13/22	G09F13/22		7373
G09F2013/222	10	{with LEDs}	G09F13/22	G09F13/22		4873
G09F2013/225	10	{with electroluminescent lamps}	G09F13/22	G09F13/22		296
G09F2013/227	10	{Electroluminescent displays for vehicles}	G09F13/22	G09F13/22		336
G09F13/24	8	using tubes or the like filled with liquid, e.g. bubbling liquid	G09F13/24	G09F13/24		616
G09F13/26	8	Signs formed by electric discharge tubes (by selective lighting G09F9/00)	G09F13/26	G09F13/26		1105
G09F13/28	8	Signs formed by filament-type lamp (by selective lighting G09F9/00)	G09F13/28	G09F13/28		492
G09F13/30	8	with moving light sources, e.g. rotating luminous tubes	G09F13/30	G09F13/30		220
G09F13/32	8	with moving optical part of parts, e.g. mirrors	G09F13/32	G09F13/32		148
G09F13/34	8	with light sources co-operating with movable members, e.g. with shutters to cover or uncover the light source (apparatus wherein advertising or display material is moved in a continuous or intermittent succession G09F11/00; construction or details of lighting devices F21V11/00)	G09F13/34	G09F13/34		358
G09F13/36	9	co-operating with rotating screening means	G09F13/36	G09F13/36		83
G09F13/42	8	with light sources activated by non-visible radiation (cathode ray image or pattern display tubes H01J31/10; lamps with luminescent screens excited by cathode rays H01J63/06)	G09F13/42	G09F13/42		138
G09F13/44	8	with gas as lighting source	G09F13/44	G09F13/44		67
G09F13/46	8	Advertising by fireworks	G09F13/46	G09F13/46		24
G09F15/00	7	Boards, hoardings, pillars, or like structures for notices, placards, posters, or the like	G09F15/00	G09F15/00		2118
G09F15/0006	8	{planar structures comprising one or more panels}	G09F15/00	G09F15/00		1753
G09F15/0012	9	{frames therefor}	G09F15/00	G09F15/00		3730
G09F15/0018	9	{panel clamping or fastening means}	G09F15/00	G09F15/00		2851
G09F15/0025	9	{display surface tensioning means}	G09F15/00	G09F15/00		2044
G09F15/0031	10	{Tensioned curved signs; Signs with curved tensioning structures}	G09F15/00	G09F15/00		81
G09F15/0037	9	{supported by a post}	G09F15/00	G09F15/00		1461
G09F15/0043	9	{connected to a receptacle of public utility, e.g. a waste receptacle}	G09F15/00	G09F15/00		259
G09F15/005	9	{for orientation or public information}	G09F15/00	G09F15/00		523
G09F15/0056	9	{portable display standards}	G09F15/00	G09F15/00		901
G09F15/0062	10	{collapsible}	G09F15/00	G09F15/00		1075
G09F15/0068	8	{Modular articulated structures, e.g. stands, and articulation means therefor}	G09F15/00	G09F15/00		2464
G09F15/0075	8	{Pillars}	G09F15/00	G09F15/00		812
G09F15/0081	9	{Rotating pillars}	G09F15/00	G09F15/00		396
G09F15/0087	8	{including movable parts, e.g. movable by the wind}	G09F15/00	G09F15/00		2019
G09F2015/0093	8	{Tensioned structures}	G09F15/00	G09F15/00		490
G09F15/02	8	Bills, posters, or the like therefor	G09F15/02	G09F15/02		1824
G09F15/025	9	{Poster carriers, i.e. devices for holding temporarily posters in order to transfer and apply them onto flat vertical surfaces}	G09F15/02	G09F15/02		299
G09F17/00	7	Flags; Banners; Mountings therefor	G09F17/00	G09F17/00		3607
G09F2017/0008	8	{Devices for avoiding twisting of the flag}	G09F17/00	G09F17/00		228
G09F2017/0016	9	{using ventilators}	G09F17/00	G09F17/00		84
G09F2017/0025	8	{Raising or lowering devices}	G09F17/00	G09F17/00		552
G09F2017/0033	8	{Flag materials}	G09F17/00	G09F17/00		109
G09F2017/0041	8	{Suspended banners}	G09F17/00	G09F17/00		453
G09F2017/005	8	{Means for mounting flags to masts}	G09F17/00	G09F17/00		572
G09F2017/0058	9	{holding rings}	G09F17/00	G09F17/00		132
G09F2017/0066	8	{Stands for flags}	G09F17/00	G09F17/00		810
G09F2017/0075	8	{Flags on vehicles}	G09F17/00	G09F17/00		332
G09F2017/0083	8	{Safety flags}	G09F17/00	G09F17/00		96
G09F17/0091	8	{Anti-foiling flagpoles; Sliding means to avoid foiling of flags on the poles}	G09F17/00	G09F17/00		134
G09F19/00	7	Advertising or display means not otherwise provided for<br><br><u>WARNING</u><br>Group G09F19/00 is impacted by reclassification into groups G09F19/002, G09F19/005 and G09F19/008. <br>All groups listed in this Warning should be considered in order to perform a complete search.	G09F19/00	G09F19/00		2267
G09F19/002	8	{Advertising means including image processing to create a special effect when viewed from a camera}<br><br><u>WARNING</u><br>Group G09F19/002 is incomplete pending reclassification of documents from group G09F19/00. <br>Groups G09F19/00 and G09F19/002 should be considered in order to perform a complete search.	G09F19/00	G09F19/00		12
G09F19/005	8	{Scented advertising means}<br><br><u>WARNING</u><br>Group G09F19/005 is incomplete pending reclassification of documents from group G09F19/00. <br>Groups G09F19/00 and G09F19/005 should be considered in order to perform a complete search.	G09F19/00	G09F19/00		45
G09F19/008	8	{Inflatable advertising means}<br><br><u>WARNING</u><br>Group G09F19/008 is incomplete pending reclassification of documents from group G09F19/00. <br>Groups G09F19/00 and G09F19/008 should be considered in order to perform a complete search.	G09F19/00	G09F19/00		83
G09F19/02	8	incorporating moving display members	G09F19/02	G09F19/02		1649
G09F19/04	9	operated by the opening or closing of doors, e.g. shop door	G09F19/04	G09F19/04		151
G09F19/06	9	Writing devices	G09F19/06	G09F19/06		50
G09F19/08	9	Dolls, faces, or other representations of living forms with moving parts (in the nature of toys A63H)	G09F19/08	G09F19/08		901
G09F2019/081	10	{Fish}	G09F19/08	G09F19/08		30
G09F2019/083	10	{Plants}	G09F19/08	G09F19/08		20
G09F2019/085	10	{Birds}	G09F19/08	G09F19/08		19
G09F2019/086	10	{Dolls}	G09F19/08	G09F19/08		262
G09F2019/088	10	{Faces}	G09F19/08	G09F19/08		64
G09F19/10	9	Devices demonstrating the action of an article to be advertised	G09F19/10	G09F19/10		579
G09F19/12	8	using special optical effects<br><br><u>WARNING</u><br>Group G09F19/12 is impacted by reclassification into group G09F19/125. <br>Groups G09F19/12 and G09F19/125 should be considered in order to perform a complete search.	G09F19/12	G09F19/12		2202
G09F19/125	9	{Stereoscopic displays; 3D displays}<br><br><u>WARNING</u><br>Group G09F19/125 is incomplete pending reclassification of documents from group G09F19/12. <br>Groups G09F19/12 and G09F19/125 should be considered in order to perform a complete search.	G09F19/12	G09F19/12		237
G09F19/14	9	displaying different signs depending upon the view-point of the observer	G09F19/14	G09F19/14		769
G09F19/16	9	involving the use of mirrors	G09F19/16	G09F19/16		437
G09F19/18	9	involving the use of optical projection means, e.g. projection of images on clouds (projection apparatus per seG03B)	G09F19/18	G09F19/18		3538
G09F19/20	9	with colour-mixing effects	G09F19/20	G09F19/20		147
G09F19/205	10	{Special effects using different wavelengths}	G09F19/20	G09F19/20		36
G09F19/22	8	Advertising or display means on roads, walls or similar surfaces, e.g. illuminated<br><br><u>WARNING</u><br>Group G09F19/22 is impacted by reclassification into group G09F19/227. <br>Groups G09F19/22 and G09F19/227 should be considered in order to perform a complete search.	G09F19/22	G09F19/22		4250
G09F2019/221	9	{on tunnel walls for underground trains}	G09F19/22	G09F19/22		254
G09F2019/223	9	{in pavement panels}	G09F19/22	G09F19/22		255
G09F2019/225	9	{Fire evacuation route indicating means}	G09F19/22	G09F19/22		394
G09F19/226	9	{External wall display means; Facade advertising means}<br><br><u>WARNING</u><br>Group G09F19/226 is impacted by reclassification into group G09F19/227. <br>Groups G09F19/226 and G09F19/227 should be considered in order to perform a complete search.	G09F19/22	G09F19/22		563
G09F19/227	9	{on windows}<br><br><u>WARNING</u><br>Group G09F19/227 is incomplete pending reclassification of documents from groups G09F19/22 and G09F19/226. <br>Groups G09F19/22, G09F19/226 and G09F19/227 should be considered in order to perform a complete search.	G09F19/22	G09F19/22		152
G09F19/228	9	{Ground signs, i.e. display signs fixed on the ground}	G09F19/22	G09F19/22		869
G09F21/00	7	Mobile visual advertising (combined visual and audible advertising G09F27/00)	G09F21/00	G09F21/00		211
G09F21/02	8	by a carrier person or animal	G09F21/02	G09F21/02		1724
G09F21/023	9	{fixed on clothing}	G09F21/02	G09F21/02		399
G09F21/026	9	{Advertising carried by a person, e.g. carried on the shoulders}	G09F21/02	G09F21/02		272
G09F21/04	8	by land vehicles	G09F21/04	G09F21/04		4442
G09F21/041	9	{magnetically fixed on the vehicles}	G09F21/04	G09F21/04		119
G09F21/042	9	{the advertising matter being fixed on the roof of the vehicles}	G09F21/04	G09F21/04		643
G09F21/043	9	{supported by tyres}	G09F21/04	G09F21/04		226
G09F21/045	9	{supported by the wheels}	G09F21/04	G09F21/04		432
G09F21/046	9	{using the shaking brought about by the locomotion of the vehicle}	G09F21/04	G09F21/04		205
G09F21/048	9	{Advertisement panels on sides, front or back of vehicles}<br><br><u>WARNING</u><br>Group G09F21/048 is impacted by reclassification into group G09F21/0485. <br>Groups G09F21/048 and G09F21/0485 should be considered in order to perform a complete search.	G09F21/04	G09F21/04		1853
G09F21/0485	10	{Advertising means on windshields}<br><br><u>WARNING</u><br>Group G09F21/0485 is incomplete pending reclassification of documents from group G09F21/048. <br>Groups G09F21/048 and G09F21/0485 should be considered in order to perform a complete search.	G09F21/04	G09F21/04		109
G09F21/049	9	{giving information to passengers inside the vehicles}	G09F21/04	G09F21/04		745
G09F21/06	8	by aeroplanes, airships, balloons, or kites	G09F21/06	G09F21/06		544
G09F21/08	9	the advertising matter being arranged on the aircraft	G09F21/08	G09F21/08		134
G09F21/10	10	illuminated	G09F21/10	G09F21/10		301
G09F21/12	9	the advertising matter being towed by the aircraft	G09F21/12	G09F21/12		160
G09F21/14	10	illuminated	G09F21/14	G09F21/14		58
G09F21/16	9	Sky-writing	G09F21/16	G09F21/16		101
G09F21/18	8	by ships or other floating means	G09F21/18	G09F21/18		123
G09F21/20	9	illuminated	G09F21/20	G09F21/20		27
G09F21/22	8	Dispensing devices for pamphlets or similar advertising matter from vehicles (from aircraft B64D1/00)	G09F21/22	G09F21/22		74
G09F23/00	7	Advertising on or in specific articles, e.g. ashtrays, letter-boxes (on or in vehicles G09F21/00)<br><br><u>WARNING</u><br>Group G09F23/00 is impacted by reclassification into groups G09F23/007, G09F23/0081, G09F23/0093, G09F23/0095, G09F23/0097 and G09F23/0098. <br>All groups listed in this Warning should be considered in order to perform a complete search.	G09F23/00	G09F23/00		6193
G09F2023/0008	8	{on parking meters}	G09F23/00	G09F23/00		31
G09F2023/0016	8	{on pens}	G09F23/00	G09F23/00		258
G09F2023/0025	8	{on containers}	G09F23/00	G09F23/00		641
G09F2023/0033	9	{on refrigerated containers}	G09F23/00	G09F23/00		73
G09F2023/0041	8	{on cigarette lighters}	G09F23/00	G09F23/00		124
G09F2023/005	8	{on seats}	G09F23/00	G09F23/00		284
G09F23/0058	8	{on electrical household appliances, e.g. on a dishwasher, a washing machine or a refrigerator}	G09F23/00	G09F23/00		380
G09F23/0066	8	{on sports articles, e.g. golf clubs}	G09F23/00	G09F23/00		441
G09F23/007	8	{on buttons}<br><br><u>WARNING</u><br>Group G09F23/007 is incomplete pending reclassification of documents from group G09F23/00. <br>Groups G09F23/00 and G09F23/007 should be considered in order to perform a complete search.	G09F23/00	G09F23/00		9
G09F23/0081	8	{on sanitary articles, e.g. on cakes of soap}<br><br><u>WARNING</u><br>Group G09F23/0081 is incomplete pending reclassification of documents from group G09F23/00. <br>Groups G09F23/00 and G09F23/0081 should be considered in order to perform a complete search.	G09F23/00	G09F23/00		32
G09F23/0082	9	{on tooth brushes}	G09F23/00	G09F23/00		39
G09F23/0083	8	{on petrol dispensers}	G09F23/00	G09F23/00		73
G09F23/0091	8	{on soda or beer cans}	G09F23/00	G09F23/00		69
G09F23/0093	8	{on phone-carried indicia}<br><br><u>WARNING</u><br>Groups G09F23/0093, G09F23/0095, G09F23/0097 and G09F23/0098  are incomplete pending reclassification of documents from group G09F23/00. <br>All groups listed in this Warning should be considered in order to perform a complete search.	G09F23/00	G09F23/00		15
G09F23/0095	9	{dial-associated}	G09F23/00	G09F23/00		
G09F23/0097	9	{mouthpiece-associated}	G09F23/00	G09F23/00		
G09F23/0098	9	{upright phone standard-associated}	G09F23/00	G09F23/00		
G09F23/02	8	the advertising matter being displayed by the operation of the article	G09F23/02	G09F23/02		405
G09F23/04	9	illuminated	G09F23/04	G09F23/04		292
G09F23/06	8	the advertising matter being combined with articles for restaurants, shops or offices (on paper articles G09F23/10)	G09F23/06	G09F23/06		1719
G09F23/065	9	{Advertising in food vending machines}	G09F23/06	G09F23/06		65
G09F23/08	9	with tableware	G09F23/08	G09F23/08		526
G09F23/10	8	on paper articles, e.g. booklets, newspapers	G09F23/10	G09F23/10		1561
G09F23/105	9	{on paper for wrapping flowers}	G09F23/10	G09F23/10		77
G09F23/12	9	on toilet paper	G09F23/12	G09F23/12		165
G09F23/14	8	on toys, games, puzzles, or similar devices	G09F23/14	G09F23/14		282
G09F23/16	8	on clocks, e.g. controlled by the clock mechanism	G09F23/16	G09F23/16		335
G09F25/00	7	Audible advertising (sound recording or reproducing per seG11B; public address systems H04R27/00)	G09F25/00	G09F25/00		1040
G09F2025/005	8	{Message recorded in a memory device}	G09F25/00	G09F25/00		299
G09F27/00	7	Combined visual and audible advertising or displaying, e.g. for public address<br><br><u>WARNING</u><br>Group G09F27/00 is impacted by reclassification into group G09F27/009. <br>Groups G09F27/00 and G09F27/009 should be considered in order to perform a complete search.	G09F27/00	G09F27/00		4769
G09F2027/001	8	{Comprising a presence or proximity detector}	G09F27/00	G09F27/00		529
G09F2027/002	8	{Advertising message recorded in a memory device}	G09F27/00	G09F27/00		534
G09F27/004	8	{Displays including an emergency or alarm message}	G09F27/00	G09F27/00		267
G09F27/005	8	{Signs associated with a sensor}	G09F27/00	G09F27/00		875
G09F27/007	8	{Displays with power supply provided by solar cells or photocells}	G09F27/00	G09F27/00		851
G09F27/008	8	{Sun shades, shades, hoods or louvres on electronic displays to minimise the effect of direct sun light on the display}	G09F27/00	G09F27/00		319
G09F27/009	8	{Retrofitted static panels to make them dynamic}<br><br><u>WARNING</u><br>Group G09F27/009 is incomplete pending reclassification of documents from group G09F27/00. <br>Groups G09F27/00 and G09F27/009 should be considered in order to perform a complete search.	G09F27/00	G09F27/00		14
