A61J3/002	8	{Compounding apparatus specially for enteral or parenteral nutritive solutions (bottling liquids B67C)}	A61J3/00	A61J3/00		432
A61J3/005	8	{Coating of tablets or the like (coating of sweetmeats or confectionery A23G3/20; coating of granules in general B01J2/006)}	A61J3/00	A61J3/00		782
A61J3/007	8	{Marking tablets or the like (apparatus for printing on tablets or the like B41F17/36)}	A61J3/00	A61J3/00		334
A61J3/02	8	into the form of powders (pulverising in general B02C)	A61J3/02	A61J3/02		674
A61J3/04	8	into the form of ointments	A61J3/04	A61J3/04		332
A61J3/06	8	into the form of pills, lozenges or dragees	A61J3/06	A61J3/06		1221
A61J3/07	8	into the form of capsules or similar small containers for oral use	A61J3/07	A61J3/07		1392
A61J3/071	9	{into the form of telescopically engaged two-piece capsules}	A61J3/07	A61J3/07		294
A61J3/072	10	{Sealing capsules, e.g. rendering them tamper-proof}	A61J3/07	A61J3/07		255
A61J3/074	10	{Filling capsules; Related operations}	A61J3/07	A61J3/07		1016
A61J3/075	11	{Manually operated filling apparatus}	A61J3/07	A61J3/07		86
A61J3/077	10	{Manufacturing capsule shells}	A61J3/07	A61J3/07		308
A61J3/078	9	{into the form of wafers or cachets}	A61J3/07	A61J3/07		192
A61J3/08	8	into the form of suppositories or sticks	A61J3/08	A61J3/08		435
A61J3/10	8	into the form of compressed tablets (tablet presses B30B11/00)	A61J3/10	A61J3/10		1122
A61J7/00	7	Devices for administering medicines orally, e.g. spoons (calibrated capacity measures for fluids or fluent solid material G01F19/00; weighing spoons G01G19/56); Pill counting devices; Arrangements for time indication or reminder for taking medicine	A61J7/00	A61J7/00		313
A61J7/0007	8	{Pill breaking or crushing devices}	A61J7/00	A61J7/00		960
A61J7/0015	8	{Devices specially adapted for taking medicines}	A61J7/00	A61J7/00		376
A61J7/0023	9	{Spoons}	A61J7/00	A61J7/00		317
A61J7/003	9	{Sticks, e.g. lollipops with drug release}	A61J7/00	A61J7/00		52
A61J7/0038	9	{Straws}	A61J7/00	A61J7/00		228
A61J7/0046	9	{Cups, bottles or bags}	A61J7/00	A61J7/00		802
A61J7/0053	9	{Syringes, pipettes or oral dispensers}	A61J7/00	A61J7/00		1250
A61J7/0061	9	{Swallow helping devices, e.g. tongue shields}	A61J7/00	A61J7/00		98
A61J7/0069	8	{Trays for holding or distributing medicines (display trays A47F3/14; serving trays A47G23/06)}	A61J7/00	A61J7/00		483
A61J7/0076	8	{Medicament distribution means (with pill counting devices A61J7/02; with time indication A61J7/04; containers or packages with special means for dispensing contents B65D83/00)}	A61J7/00	A61J7/00		1376
A61J7/0084	9	{for multiple medicaments}	A61J7/00	A61J7/00		1389
A61J7/0092	8	{for holding medicines in, or fixing medicines on, a tooth, e.g. holder containing medicines fixed on a tooth (medicament applicators for teeth or gums A61C19/063)}	A61J7/00	A61J7/00		123
A61J7/02	8	Pill counting devices	A61J7/02	A61J7/02		662
A61J7/04	8	Arrangements for time indication or reminder for taking medicine, e.g. programmed dispensers	A61J7/04	A61J7/04		1897
A61J7/0409	9	{with timers}	A61J7/04	A61J7/04		690
A61J7/0418	10	{with electronic history memory}	A61J7/04	A61J7/04		1094
A61J7/0427	10	{with direct interaction with a dispensing or delivery system}	A61J7/04	A61J7/04		626
A61J7/0436	11	{resulting from removing a drug from, or opening, a container}	A61J7/04	A61J7/04		950
A61J7/0445	11	{for preventing drug dispensing during a predetermined time period}	A61J7/04	A61J7/04		402
A61J7/0454	10	{for dispensing of multiple drugs}	A61J7/04	A61J7/04		1026
A61J7/0463	10	{for multiple patients}	A61J7/04	A61J7/04		158
A61J7/0472	10	{of the count-down type, i.e. counting down a predetermined interval after each reset}	A61J7/04	A61J7/04		267
A61J7/0481	10	{working on a schedule basis}	A61J7/04	A61J7/04		1911
A61J7/049	11	{automatically changing in response to a schedule deviation by the patient}	A61J7/04	A61J7/04		138
A61J9/00	7	Feeding-bottles in general	A61J9/00	A61J9/00		2251
A61J9/001	8	{with inner liners}	A61J9/00	A61J9/00		374
A61J9/003	8	{Vacuum feeding-bottles (vacuum bottles in general A47J41/02)}	A61J9/00	A61J9/00		92
A61J9/005	8	{Non-rigid or collapsible feeding-bottles}	A61J9/00	A61J9/00		344
A61J9/006	8	{having elongated tubes, e.g. for drinking from bottle in upright position}	A61J9/00	A61J9/00		319
A61J9/008	8	{having storage compartments, e.g. for storing a teat}	A61J9/00	A61J9/00		326
A61J9/02	8	with thermometers	A61J9/02	A61J9/02		553
A61J9/04	8	with means for supplying air	A61J9/04	A61J9/04		761
A61J9/06	8	Holders for bottles	A61J9/06	A61J9/06		362
A61J9/0607	9	{having aesthetic features, e.g. toy-like or imitating a female breast}	A61J9/06	A61J9/06		158
A61J9/0615	9	{providing isolation}	A61J9/06	A61J9/06		79
A61J9/0623	9	{facilitating gripping}	A61J9/06	A61J9/06		187
A61J9/063	9	{having a particular supporting function}	A61J9/06	A61J9/06		58
A61J9/0638	10	{for supporting in a feeding position}	A61J9/06	A61J9/06		789
A61J9/0646	10	{for supporting only in a non-feeding position}	A61J9/06	A61J9/06		92
A61J9/0653	9	{characterised by the type of support}	A61J9/06	A61J9/06		34
A61J9/0661	10	{attachable to other devices or furniture, e.g. crib, commode or stroller}	A61J9/06	A61J9/06		450
A61J9/0669	10	{supported by the infant}	A61J9/06	A61J9/06		144
A61J9/0676	10	{supported by the caregiver}	A61J9/06	A61J9/06		123
A61J9/0684	10	{having a self-supporting base}	A61J9/06	A61J9/06		355
A61J9/0692	10	{comprising a flexible arm}	A61J9/06	A61J9/06		167
A61J9/08	8	Protective covers for bottles	A61J9/08	A61J9/08		347
A61J9/085	9	{Lids for closing the bottle}	A61J9/08	A61J9/08		222
A61J11/00	7	Teats	A61J11/00	A61J11/00		457
A61J11/0005	8	{having additional ports, e.g. for connecting syringes or straws (devices for administering medicines orally A61J7/00)}	A61J11/00	A61J11/00		222
A61J11/001	8	{having means for regulating the flow rate}	A61J11/00	A61J11/00		156
A61J11/0015	9	{by size or shape of the opening}	A61J11/00	A61J11/00		154
A61J11/002	9	{by using valves}	A61J11/00	A61J11/00		297
A61J11/0025	8	{having filters}	A61J11/00	A61J11/00		47
A61J11/003	8	{having means for incorporating a mother&apos;s scent}	A61J11/00	A61J11/00		11
A61J11/0035	8	{having particular shape or structure}	A61J11/00	A61J11/00		197
A61J11/004	9	{angled, e.g. in respect to the bottle}	A61J11/00	A61J11/00		77
A61J11/0045	9	{Aesthetic properties}	A61J11/00	A61J11/00		9
A61J11/005	10	{for imitating a nipple}	A61J11/00	A61J11/00		149
A61J11/0055	10	{for soothing, e.g. toy-like}	A61J11/00	A61J11/00		54
A61J11/006	9	{for improving flexibility}	A61J11/00	A61J11/00		79
A61J11/0065	9	{for improving rigidity, e.g. anti-bite-through or anti-collapsing}	A61J11/00	A61J11/00		114
A61J11/007	8	{having orthodontic properties, e.g. for promoting correct teeth development}	A61J11/00	A61J11/00		56
A61J11/0075	8	{Accessories therefor}	A61J11/00	A61J11/00		133
A61J11/008	9	{Protecting caps}	A61J11/00	A61J11/00		529
A61J11/0085	10	{with means for preventing leakage}	A61J11/00	A61J11/00		160
A61J11/009	9	{Puncturing tools, e.g. for creating an opening in the teat}	A61J11/00	A61J11/00		32
A61J11/0095	9	{Seal rupturing means (containers having several compartments for products to be mixed A61J1/2093)}	A61J11/00	A61J11/00		78
A61J11/02	8	with means for supplying air	A61J11/02	A61J11/02		574
A61J11/04	8	with means for fastening to bottles	A61J11/04	A61J11/04		723
A61J11/045	9	{with interlocking means, e.g. protrusions or indentations on the teat}	A61J11/04	A61J11/04		422
A61J13/00	7	Breast-nipple shields (breast-pumps A61M1/06)	A61J13/00	A61J13/00		247
A61J15/00	7	Feeding-tubes for therapeutic purposes	A61J15/00	A61J15/00		462
A61J15/0003	8	{Nasal or oral feeding-tubes, e.g. tube entering body through nose or mouth}	A61J15/00	A61J15/00		1180
A61J15/0007	9	{inserted by using a guide-wire (guide wires A61M25/09)}	A61J15/00	A61J15/00		203
A61J15/0011	8	{Feeding-tubes for delivery of nourishment to the mouth; Mouth pieces therefor (breast-nipple shields A61J13/00; mouth pieces for drinking straws A47G21/185; straws to take medicine A61J7/0038, mouthpieces for tracheal tubes A61M16/0488)}	A61J15/00	A61J15/00		412
A61J15/0015	8	{Gastrostomy feeding-tubes (insertion tools or methods A61B17/34)}	A61J15/00	A61J15/00		586
A61J15/0019	9	{inserted by using a pull-wire}	A61J15/00	A61J15/00		100
A61J15/0023	9	{inserted by using a sheath}	A61J15/00	A61J15/00		105
A61J15/0026	8	{Parts, details or accessories for feeding-tubes (external tubes from medical containers to a connector outside of the body A61M39/08)}	A61J15/00	A61J15/00		1138
A61J15/003	9	{Means for fixing the tube inside the body, e.g. balloons, retaining means (holding devices holding in the body A61M25/04)}	A61J15/00	A61J15/00		98
A61J15/0034	10	{Retainers adjacent to a body opening to prevent that the tube slips through, e.g. bolsters}	A61J15/00	A61J15/00		113
A61J15/0038	11	{expandable, e.g. umbrella type}	A61J15/00	A61J15/00		137
A61J15/0042	12	{inflatable}	A61J15/00	A61J15/00		205
A61J15/0046	10	{Expandable retainers inside body lumens of the enteral tract, e.g. fixing by radially contacting a lumen wall}	A61J15/00	A61J15/00		34
A61J15/0049	11	{Inflatable Balloons (balloon catheters A61M25/10)}	A61J15/00	A61J15/00		173
A61J15/0053	9	{Means for fixing the tube outside of the body, e.g. by a special shape, by fixing it to the skin (holding devices, e.g. on the body A61M25/02, mouthpieces for tracheal tubes A61M16/0488; transcutaneous access sites A61M39/0247)}	A61J15/00	A61J15/00		223
A61J15/0057	10	{fixing a tube end, i.e. tube not protruding the fixing means}	A61J15/00	A61J15/00		86
A61J15/0061	10	{fixing at an intermediate position on the tube, i.e. tube protruding the fixing means}	A61J15/00	A61J15/00		327
A61J15/0065	10	{Fixing means and tube being one part}	A61J15/00	A61J15/00		143
A61J15/0069	9	{Tubes feeding directly to the intestines, e.g. to the jejunum}	A61J15/00	A61J15/00		455
A61J15/0073	9	{Multi-lumen tubes}	A61J15/00	A61J15/00		322
A61J15/0076	9	{Feeding pumps (A61M1/00, A61M5/142, A61M25/1018 take precedence)}	A61J15/00	A61J15/00		418
A61J15/008	9	{Sensor means, e.g. for sensing reflux, acidity or pressure (sensors for diagnostic purposes A61B5/00; sensors for inflation control A61M25/1018)}	A61J15/00	A61J15/00		133
A61J15/0084	10	{for sensing parameters related to the patient}	A61J15/00	A61J15/00		190
A61J15/0088	10	{for sensing parameters related to the device}	A61J15/00	A61J15/00		330
A61J15/0092	9	{Valves on feeding tubes (tube valves A61M39/22)}	A61J15/00	A61J15/00		369
A61J15/0096	9	{Provisions for venting}	A61J15/00	A61J15/00		115
A61J17/00	7	Baby-comforters; Teething rings	A61J17/00	A61J17/00		213
A61J17/001	8	{Baby-comforters}	A61J17/00	A61J17/00		1460
A61J17/02	8	Teething rings	A61J17/02	A61J17/02		509
A61J17/10	8	{Details; Accessories therefor}	A61J17/00	A61J17/10		339
A61J17/101	9	{Emitting means, e.g. for emitting sound, light, scents or flavours}	A61J17/00	A61J17/101		83
