B07C5/28	9	using electrical control means	B07C5/28	B07C5/28		709
B07C5/30	9	with associated counting means	B07C5/30	B07C5/30		86
B07C5/32	9	with associated check-weighing means {(check-weighing per seG01G15/00)}	B07C5/32	B07C5/32		126
B07C5/34	8	Sorting according to other particular properties {(material testing per seG01N; quality control G07C3/14)}	B07C5/34	B07C5/34		10597
B07C5/3404	9	{according to properties of containers or receptacles, e.g. rigidity, leaks, fill-level (control devices for cigarette or cigar packaging B65B19/28; investigation of fluid-tightness of structures G01M3/00)}	B07C5/34	B07C5/34		822
B07C5/3408	10	{for bottles, jars or other glassware (according to size B07C5/122)}	B07C5/34	B07C5/34		549
B07C5/3412	9	{according to a code applied to the object which indicates a property of the object, e.g. quality class, contents or incorrect indication (sorting according to size measured by light-responsive means B07C5/10; sorting according to optical properties B07C5/342; for packages B65D79/02; for information carriers G06K7/00)}	B07C5/34	B07C5/34		1847
B07C5/3416	9	{according to radiation transmissivity, e.g. for light, x-rays, particle radiation (detecting hidden objects G01V)}	B07C5/34	B07C5/34		762
B07C5/342	9	according to optical properties, e.g. colour {(according to radiation transmittivity B07C5/3416)}	B07C5/342	B07C5/342		4106
B07C5/3422	10	{using video scanning devices, e.g. TV-cameras}	B07C5/342	B07C5/342		3491
B07C5/3425	10	{of granular material, e.g. ore particles, grain (investigation moving fluids or granular solids using optical means G01N21/85)}	B07C5/342	B07C5/342		1381
B07C5/3427	11	{by changing or intensifying the optical properties prior to scanning, e.g. by inducing fluorescence under UV or x-radiation, subjecting the material to a chemical reaction}	B07C5/342	B07C5/342		245
B07C5/344	9	according to electric or electromagnetic properties {(sorting according to size measured electrically or electronically B07C5/08; material testing by magnetic means G01N24/00, G01N27/00, by electrical means G01N27/00; electrical measuring devices in general G01R; coin testing G07D5/00)}	B07C5/344	B07C5/344		3747
B07C5/346	9	according to radioactive properties {(material testing G01N23/00; radiation measurement G01T)}	B07C5/346	B07C5/346		273
B07C5/36	8	Sorting apparatus characterised by the means used for distribution {(sorting according to destination B07C3/003, B07C3/02)}	B07C5/36	B07C5/36		4158
B07C5/361	9	{Processing or control devices therefor, e.g. escort memory}	B07C5/36	B07C5/36		4550
B07C5/362	10	{Separating or distributor mechanisms (switches for postal sorting B07C3/065; particular discharging devices for B65G47/74)}	B07C5/36	B07C5/36		13822
B07C5/363	9	{by means of air}	B07C5/36	B07C5/36		814
B07C5/365	10	{using a single separation means}	B07C5/36	B07C5/36		952
