E21D9/0873	11	{the shield being provided with devices for lining the tunnel, e.g. shuttering}	E21D9/087	E21D9/087		334
E21D9/0874	10	{with rotary drilling heads having variable diameter}	E21D9/08	E21D9/087		74
E21D9/0875	10	{with a movable support arm carrying cutting tools for attacking the front face, e.g. a bucket}	E21D9/08	E21D9/087		135
E21D9/0879	11	{the shield being provided with devices for lining the tunnel, e.g. shuttering}	E21D9/08	E21D9/087		502
E21D9/093	9	Control of the driving shield {, e.g. of the hydraulic advancing cylinders (arrangement of measuring or indicating devices for use during driving of tunnels E21D9/003)}	E21D9/093	E21D9/093		998
E21D9/10	8	Making by using boring or cutting machines (E21D9/08 takes precedence; mining picks E21C35/18)	E21D9/10	E21D9/10		1980
E21D9/1006	9	{with rotary cutting tools (for cutting simultaneously the whole cross-section E21D9/11; drill bits E21B10/00)}	E21D9/10	E21D9/10		1081
E21D9/1013	10	{on a tool-carrier supported by a movable boom}	E21D9/10	E21D9/10		175
E21D9/102	11	{by a longitudinally extending boom being pivotable about a vertical and a transverse axis}	E21D9/10	E21D9/10		151
E21D9/1026	12	{the tool-carrier being rotated about a transverse axis}	E21D9/10	E21D9/10		162
E21D9/1033	11	{by a transversely extending boom being pivotable about a longitudinal axis}	E21D9/10	E21D9/10		81
E21D9/104	10	{Cutting tool fixtures (devices with percussive tools E21D9/106)}	E21D9/10	E21D9/10		337
E21D9/1046	11	{Vibrating}	E21D9/10	E21D9/10		43
E21D9/1053	9	{for making a slit along the perimeter of the tunnel profile, the remaining core being removed subsequently, e.g. by blasting}	E21D9/10	E21D9/10		207
E21D9/106	9	{with percussive tools, e.g. pick-hammers}	E21D9/10	E21D9/10		348
E21D9/1066	9	{with fluid jets (projecting hot gases E21D9/1073; drilling by liquid or gas jets E21B7/18; slitting by liquid jets E21C25/60)}	E21D9/10	E21D9/10		375
E21D9/1073	9	{applying thermal energy, e.g. by projecting flames or hot gases, by laser beams (flame drilling E21B7/14)}	E21D9/10	E21D9/10		139
E21D9/108	9	{Remote control specially adapted for machines for driving tunnels or galleries (for machines for slitting or completely freeing the mineral E21C35/24)}	E21D9/10	E21D9/10		397
E21D9/1086	9	{Drives or transmissions specially adapted therefor}	E21D9/10	E21D9/10		733
