F16K1/48	9	Attaching valve members to screw-spindles	F16K1/48	F16K1/48		883
F16K1/482	10	{with a collar on the spindle or a groove in the spindle, by which a fixing element is supported, the spindle reaching into the valve member}	F16K1/48	F16K1/48		335
F16K1/485	11	{with a groove in the spindle}	F16K1/48	F16K1/48		135
F16K1/487	10	{by a fixing element extending in the axial direction of the spindle, e.g. a screw}	F16K1/48	F16K1/48		349
F16K1/50	9	Preventing rotation of valve members	F16K1/50	F16K1/50		480
F16K1/52	9	Means for additional adjustment of the rate of flow	F16K1/52	F16K1/52		1343
F16K1/523	10	{for limiting the maximum flow rate, using a stop}	F16K1/52	F16K1/52		376
F16K1/526	10	{for limiting the maximum flow rate, using a second valve}	F16K1/52	F16K1/52		374
F16K1/54	9	Arrangements for modifying the way in which the rate of flow varies during the actuation of the valve	F16K1/54	F16K1/54		853
F16K3/00	7	Gate valves or sliding valves, i.e. cut-off apparatus with closing members having a sliding movement along the seat for opening and closing (F16K5/00 takes precedence; in barrages or weirs E02B8/04)	F16K3/00	F16K3/00		390
F16K3/02	8	with flat sealing faces; Packings therefor	F16K3/02	F16K3/02		1583
F16K3/0209	9	{the valve having a particular passage, e.g. provided with a filter, throttle or safety device}	F16K3/02	F16K3/02		586
F16K3/0218	9	{with only one sealing face}	F16K3/02	F16K3/02		526
F16K3/0227	9	{Packings}	F16K3/02	F16K3/02		1396
F16K3/0236	10	{the packing being of a non-resilient material, e.g. ceramic, metal}	F16K3/02	F16K3/02		182
F16K3/0245	9	{Curtain gate valves}	F16K3/02	F16K3/02		64
F16K3/0254	9	{being operated by particular means}	F16K3/02	F16K3/02		1350
F16K3/0263	9	{using particular material or covering means}	F16K3/02	F16K3/02		337
F16K3/0272	9	{permitting easy assembly or disassembly}	F16K3/02	F16K3/02		207
F16K3/0281	9	{Guillotine or blade-type valves, e.g. no passage through the valve member}	F16K3/02	F16K3/02		1250
F16K3/029	9	{with two or more gates}	F16K3/02	F16K3/02		556
F16K3/03	9	with a closure member in the form of an iris-diaphragm	F16K3/03	F16K3/03		298
F16K3/04	9	with pivoted closure members	F16K3/04	F16K3/04		502
F16K3/06	10	in the form of closure plates arranged between supply and discharge passages (F16K3/10 takes precedence)	F16K3/06	F16K3/06		759
F16K3/08	11	with circular plates rotatable around their centres	F16K3/08	F16K3/08		1403
F16K3/085	12	{the axis of supply passage and the axis of discharge passage being coaxial and parallel to the axis of rotation of the plates}	F16K3/08	F16K3/08		705
F16K3/10	10	with special arrangements for separating the sealing faces or for pressing them together	F16K3/10	F16K3/10		472
F16K3/12	9	with wedge-shaped arrangements of sealing faces	F16K3/12	F16K3/12		779
F16K3/14	10	with special arrangements for separating the sealing faces or for pressing them together	F16K3/14	F16K3/14		270
F16K3/16	9	with special arrangements for separating the sealing faces or for pressing them together (F16K3/10, F16K3/14 take precedence)	F16K3/16	F16K3/16		309
F16K3/18	10	by movement of the closure members	F16K3/18	F16K3/18		724
F16K3/182	11	{by means of toggle links}	F16K3/18	F16K3/18		259
F16K3/184	11	{by means of cams}	F16K3/18	F16K3/18		586
F16K3/186	12	{by means of cams of wedge from}	F16K3/18	F16K3/18		635
F16K3/188	11	{by means of hydraulic forces}	F16K3/18	F16K3/18		399
F16K3/20	10	by movement of the seats	F16K3/20	F16K3/20		240
F16K3/202	11	{by movement of toggle links}	F16K3/20	F16K3/20		22
F16K3/205	11	{by means of cams}	F16K3/20	F16K3/20		56
F16K3/207	11	{by means of hydraulic forces}	F16K3/20	F16K3/20		211
F16K3/22	8	with sealing faces shaped as surfaces of solids of revolution (F16K13/02 takes precedence; with resilient valve members F16K3/28)	F16K3/22	F16K3/22		336
