G08B9/18	9	by varying displacement of the fluid	G08B9/18	G08B9/18		3
G08B9/20	9	by varying pressure of the fluid	G08B9/20	G08B9/20		11
G08B13/00	7	Burglar, theft or intruder alarms	G08B13/00	G08B13/00		2012
G08B13/02	8	Mechanical actuation	G08B13/02	G08B13/02		1372
G08B13/04	9	by breaking of glass	G08B13/04	G08B13/04		604
G08B13/06	9	by tampering with fastening	G08B13/06	G08B13/06		784
G08B13/08	9	by opening, e.g. of door, of window, of drawer, of shutter, of curtain, of blind	G08B13/08	G08B13/08		3854
G08B13/10	9	by pressure on floors, floor coverings, stair treads, counters, or tills	G08B13/10	G08B13/10		537
G08B13/12	9	by the breaking or disturbance of stretched cords or wires	G08B13/12	G08B13/12		559
G08B13/122	10	{for a perimeter fence (features peculiar to electrified fences A01K3/00)}	G08B13/12	G08B13/12		976
G08B13/124	11	{with the breaking or disturbance being optically detected, e.g. optical fibers in the perimeter fence}	G08B13/12	G08B13/12		475
G08B13/126	10	{for a housing, e.g. a box, a safe, or a room}	G08B13/12	G08B13/12		709
G08B13/128	11	{the housing being an electronic circuit unit, e.g. memory or CPU chip (protecting computer components in secure or tamper resistant housings G06F21/86; protecting computer input devices, e.g. keyboards G06F21/83)}	G08B13/12	G08B13/12		131
G08B13/14	9	by lifting or attempted removal of hand-portable articles	G08B13/14	G08B13/14		816
G08B13/1409	10	{for removal detection of electrical appliances by detecting their physical disconnection from an electrical system, e.g. using a switch incorporated in the plug connector}	G08B13/14	G08B13/14		633
G08B13/1418	11	{Removal detected by failure in electrical connection between the appliance and a control centre, home control panel or a power supply}	G08B13/14	G08B13/14		375
G08B13/1427	10	{with transmitter-receiver for distance detection}<br><br><u>NOTE</u><br><br>Details thereof are further classified in the subgroups of G08B21/0202.	G08B13/14	G08B13/14		1405
G08B13/1436	10	{with motion detection}	G08B13/14	G08B13/14		958
G08B13/1445	10	{with detection of interference with a cable tethering an article, e.g. alarm activated by detecting detachment of article, breaking or stretching of cable (furniture, e.g. shelves for displaying merchandise, incorporating tethers to prevent theft A47F7/024, A47F5/0861)}	G08B13/14	G08B13/14		459
G08B13/1454	11	{Circuit arrangements thereof}	G08B13/14	G08B13/14		162
G08B13/1463	11	{Physical arrangements, e.g. housings (devices to prevent theft or loss of purses, luggage or hand carried bags A45C13/18)}	G08B13/14	G08B13/14		321
G08B13/1472	10	{with force or weight detection}	G08B13/14	G08B13/14		465
G08B13/1481	10	{with optical detection}	G08B13/14	G08B13/14		221
G08B13/149	10	{with electric, magnetic, capacitive switch actuation}	G08B13/14	G08B13/14		829
G08B13/16	8	Actuation by interference with mechanical vibrations in air or other fluid	G08B13/16	G08B13/16		211
G08B13/1609	9	{using active vibration detection systems}	G08B13/16	G08B13/16		153
G08B13/1618	10	{using ultrasonic detection means}	G08B13/16	G08B13/16		274
G08B13/1627	11	{using Doppler shift detection circuits}	G08B13/16	G08B13/16		175
G08B13/1636	11	{using pulse-type detection circuits}	G08B13/16	G08B13/16		42
G08B13/1645	10	{using ultrasonic detection means and other detection means, e.g. microwave or infrared radiation}	G08B13/16	G08B13/16		195
G08B13/1654	9	{using passive vibration detection systems}	G08B13/16	G08B13/16		339
