B41J2/04516	14	{preventing formation of satellite drops}	B41J2/045	B41J2/045		173
B41J2/04518	14	{reducing costs}	B41J2/045	B41J2/045		54
B41J2/0452	14	{reducing demand in current or voltage}	B41J2/045	B41J2/045		202
B41J2/04521	14	{reducing number of signal lines needed}	B41J2/045	B41J2/045		91
B41J2/04523	14	{reducing size of the apparatus}	B41J2/045	B41J2/045		37
B41J2/04525	14	{reducing occurrence of cross talk}	B41J2/045	B41J2/045		176
B41J2/04526	14	{controlling trajectory}	B41J2/045	B41J2/045		131
B41J2/04528	14	{aiming at warming up the head}	B41J2/045	B41J2/045		459
B41J2/0453	14	{controlling a head having a dummy chamber}	B41J2/045	B41J2/045		19
B41J2/04531	14	{controlling a head having a heater in the manifold}	B41J2/045	B41J2/045		53
B41J2/04533	14	{controlling a head having several actuators per chamber}	B41J2/045	B41J2/045		127
B41J2/04535	14	{involving calculation of drop size, weight or volume}	B41J2/045	B41J2/045		155
B41J2/04536	14	{using history data}	B41J2/045	B41J2/045		257
B41J2/04538	14	{involving calculation of heater resistance}	B41J2/045	B41J2/045		20
B41J2/0454	14	{involving calculation of temperature}	B41J2/045	B41J2/045		173
B41J2/04541	14	{Specific driving circuit}	B41J2/045	B41J2/045		2692
B41J2/04543	14	{Block driving}	B41J2/045	B41J2/045		805
B41J2/04545	14	{Dynamic block driving}	B41J2/045	B41J2/045		58
B41J2/04546	14	{Multiplexing}	B41J2/045	B41J2/045		128
B41J2/04548	14	{Details of power line section of control circuit}	B41J2/045	B41J2/045		302
B41J2/0455	14	{Details of switching sections of circuit, e.g. transistors}	B41J2/045	B41J2/045		394
B41J2/04551	14	{using several operating modes}	B41J2/045	B41J2/045		470
B41J2/04553	14	{detecting ambient temperature}	B41J2/045	B41J2/045		364
B41J2/04555	14	{detecting current}	B41J2/045	B41J2/045		209
B41J2/04556	14	{detecting distance to paper}	B41J2/045	B41J2/045		137
B41J2/04558	14	{detecting presence or properties of a dot on paper}	B41J2/045	B41J2/045		231
B41J2/0456	14	{detecting drop size, volume or weight}	B41J2/045	B41J2/045		323
B41J2/04561	14	{detecting presence or properties of a drop in flight}	B41J2/045	B41J2/045		183
B41J2/04563	14	{detecting head temperature; Ink temperature}	B41J2/045	B41J2/045		1215
B41J2/04565	14	{detecting heater resistance}	B41J2/045	B41J2/045		119
B41J2/04566	14	{detecting humidity}	B41J2/045	B41J2/045		107
B41J2/04568	14	{Control according to number of actuators used simultaneously}	B41J2/045	B41J2/045		130
B41J2/0457	14	{Power supply level being detected or varied}	B41J2/045	B41J2/045		255
B41J2/04571	14	{detecting viscosity}	B41J2/045	B41J2/045		168
B41J2/04573	14	{Timing; Delays}	B41J2/045	B41J2/045		1059
B41J2/04575	14	{controlling heads of acoustic type}	B41J2/045	B41J2/045		47
B41J2/04576	14	{controlling heads of electrostatic type}	B41J2/045	B41J2/045		87
B41J2/04578	14	{controlling heads based on electrostatically-actuated membranes}	B41J2/045	B41J2/045		109
B41J2/0458	14	{controlling heads based on heating elements forming bubbles}	B41J2/045	B41J2/045		2320
B41J2/04581	14	{controlling heads based on piezoelectric elements}	B41J2/045	B41J2/045		3726
B41J2/04583	14	{controlling heads based on discharge by lowering the surface tension of meniscus}	B41J2/045	B41J2/045		25
B41J2/04585	14	{controlling heads based on thermal bent actuators}	B41J2/045	B41J2/045		112
B41J2/04586	14	{controlling heads of a type not covered by groups B41J2/04575 - B41J2/04585, or of an undefined type}	B41J2/045	B41J2/045		1404
B41J2/04588	14	{using a specific waveform}	B41J2/045	B41J2/045		2488
B41J2/0459	14	{Height of the driving signal being adjusted}	B41J2/045	B41J2/045		409
B41J2/04591	14	{Width of the driving signal being adjusted}	B41J2/045	B41J2/045		589
B41J2/04593	14	{Dot-size modulation by changing the size of the drop}	B41J2/045	B41J2/045		1001
B41J2/04595	14	{Dot-size modulation by changing the number of drops per dot}	B41J2/045	B41J2/045		326
B41J2/04596	14	{Non-ejecting pulses}	B41J2/045	B41J2/045		979
B41J2/04598	14	{Pre-pulse}	B41J2/045	B41J2/045		294
B41J2/05	13	produced by the application of heat	B41J2/05	B41J2/05		328
B41J2/055	13	Devices for absorbing or preventing back-pressure	B41J2/055	B41J2/055		595
B41J2/06	12	by electric or magnetic field	B41J2/06	B41J2/06		1028
B41J2002/061	13	{Ejection by electric field of ink or of toner particles contained in ink}	B41J2/06	B41J2/06		502
B41J2002/062	13	{by using a divided counter electrode opposite to ejection openings of an electrostatic printhead, e.g. for controlling the flying direction of ejected toner particles by providing the divided parts of the counter electrode with different potentials}	B41J2/06	B41J2/06		28
B41J2002/063	13	{Moving solid toner particles in carrier liquid by eletrostatic force acting on the toner particles, e.g. for accumulating the toner particles around an ejection electrode of an electrostatic printhead}	B41J2/06	B41J2/06		19
B41J2/065	13	involving the preliminary making of ink protuberances	B41J2/065	B41J2/065		167
B41J2/07	10	characterised by jet control (B41J2/205 takes precedence)	B41J2/07	B41J2/07		1052
B41J2/072	11	{by thermal compensation}	B41J2/07	B41J2/07		94
B41J2/075	11	for many-valued deflection	B41J2/075	B41J2/075		104
B41J2/08	12	charge-control type	B41J2/08	B41J2/08		178
B41J2/085	13	Charge means, e.g. electrodes	B41J2/085	B41J2/085		369
B41J2/09	13	Deflection means	B41J2/09	B41J2/09		421
B41J2/095	12	electric field-control type	B41J2/095	B41J2/095		166
B41J2/10	12	magnetic field-control type	B41J2/10	B41J2/10		34
B41J2/105	11	for binary-valued deflection	B41J2/105	B41J2/105		140
B41J2/11	11	for ink spray	B41J2/11	B41J2/11		303
B41J2/115	11	synchronising the droplet separation and charging time	B41J2/115	B41J2/115		224
B41J2/12	11	testing or correcting charge or deflection	B41J2/12	B41J2/12		379
B41J2/125	11	Sensors, e.g. deflection sensors {(nozzle clogging detection for cleaning reasons B41J2/16579; detection for compensation for failed nozzles B41J2/2139)}	B41J2/125	B41J2/125		769
B41J2/13	11	for inclination of printed pattern	B41J2/13	B41J2/13		144
B41J2/135	10	Nozzles	B41J2/135	B41J2/135		643
B41J2/14	11	Structure thereof {only for on-demand ink jet heads}	B41J2/14	B41J2/14		2294
B41J2/14008	12	{Structure of acoustic ink jet print heads}	B41J2/14	B41J2/14		266
B41J2/14016	12	{Structure of bubble jet print heads}	B41J2/14	B41J2/14		383
B41J2/14024	13	{Assembling head parts}	B41J2/14	B41J2/14		697
B41J2/14032	13	{Structure of the pressure chamber}	B41J2/14	B41J2/14		275
B41J2/1404	14	{Geometrical characteristics}	B41J2/14	B41J2/14		1359
B41J2/14048	14	{Movable member in the chamber}	B41J2/14	B41J2/14		310
B41J2/14056	14	{Plural heating elements per ink chamber}	B41J2/14	B41J2/14		283
B41J2/14064	14	{Heater chamber separated from ink chamber by a membrane}	B41J2/14	B41J2/14		107
B41J2/14072	13	{Electrical connections, e.g. details on electrodes, connecting the chip to the outside...}	B41J2/14	B41J2/14		1292
B41J2/1408	13	{Structure dealing with thermal variations, e.g. cooling device, thermal coefficients of materials}	B41J2/14	B41J2/14		282
B41J2/14088	13	{Structure of heating means}	B41J2/14	B41J2/14		175
B41J2/14096	14	{Current flowing through the ink}	B41J2/14	B41J2/14		38
B41J2/14104	14	{Laser or electron beam heating the ink}	B41J2/14	B41J2/14		101
B41J2/14112	14	{Resistive element}	B41J2/14	B41J2/14		116
B41J2/1412	15	{Shape}	B41J2/14	B41J2/14		262
B41J2/14129	15	{Layer structure}	B41J2/14	B41J2/14		1301
B41J2/14137	15	{Resistor surrounding the nozzle opening}	B41J2/14	B41J2/14		168
B41J2/14145	13	{Structure of the manifold}	B41J2/14	B41J2/14		757
B41J2/14153	13	{Structures including a sensor}	B41J2/14	B41J2/14		347
B41J2/14161	13	{Structure having belt or drum with holes filled with ink}	B41J2/14	B41J2/14		173
B41J2002/14169	13	{Bubble vented to the ambience}	B41J2/14	B41J2/14		177
B41J2002/14177	13	{Segmented heater}	B41J2/14	B41J2/14		45
B41J2002/14185	13	{characterised by the position of the heater and the nozzle}	B41J2/14	B41J2/14		72
B41J2002/14193	12	{movable member in the ink chamber}	B41J2/14	B41J2/14		37
B41J2/14201	12	{Structure of print heads with piezoelectric elements}	B41J2/14	B41J2/14		1948
B41J2/14209	13	{of finger type, chamber walls consisting integrally of piezoelectric material}	B41J2/14	B41J2/14		1150
B41J2002/14217	14	{Multi layer finger type piezoelectric element}	B41J2/14	B41J2/14		397
B41J2002/14225	14	{Finger type piezoelectric element on only one side of the chamber}	B41J2/14	B41J2/14		539
B41J2/14233	13	{of film type, deformed by bending and disposed on a diaphragm}	B41J2/14	B41J2/14		3829
B41J2002/14241	14	{having a cover around the piezoelectric thin film element}	B41J2/14	B41J2/14		1014
B41J2002/1425	14	{Embedded thin film piezoelectric element}	B41J2/14	B41J2/14		88
B41J2002/14258	14	{Multi layer thin film type piezoelectric element}	B41J2/14	B41J2/14		258
B41J2002/14266	14	{Sheet-like thin film type piezoelectric element}	B41J2/14	B41J2/14		201
B41J2/14274	13	{of stacked structure type, deformed by compression/extension and disposed on a diaphragm}	B41J2/14	B41J2/14		865
B41J2/14282	13	{of cantilever type}	B41J2/14	B41J2/14		138
B41J2/1429	13	{of tubular type}	B41J2/14	B41J2/14		173
B41J2/14298	13	{of disc type}	B41J2/14	B41J2/14		151
B41J2002/14306	13	{Flow passage between manifold and chamber}	B41J2/14	B41J2/14		697
B41J2/14314	12	{Structure of ink jet print heads with electrostatically actuated membrane}	B41J2/14	B41J2/14		528
B41J2002/14322	12	{Print head without nozzle}	B41J2/14	B41J2/14		94
