G07B17/00185	8	{Details internally of apparatus in a franking system, e.g. franking machine at customer or apparatus at post office (digital data processing G06F; coin-freed apparatus for franking per seG07F17/26)}	G07B17/00	G07B17/00		22
G07B17/00193	9	{Constructional details of apparatus in a franking system}	G07B17/00	G07B17/00		810
G07B2017/00201	10	{Open franking system, i.e. the printer is not dedicated to franking only, e.g. PC (Personal Computer)}	G07B17/00	G07B17/00		165
G07B2017/00209	10	{Mailbox, i.e. container for outgoing mail}	G07B17/00	G07B17/00		76
G07B2017/00217	10	{Portable franking apparatus, i.e. the whole franking apparatus, not parts alone}	G07B17/00	G07B17/00		53
G07B2017/00225	10	{Vending machine or POS (Point Of Sale) apparatus}	G07B17/00	G07B17/00		158
G07B2017/00233	10	{Housing, e.g. lock or hardened casing}	G07B17/00	G07B17/00		216
G07B2017/00241	10	{Modular design}	G07B17/00	G07B17/00		169
G07B2017/0025	10	{Storage of, e.g. ribbon}	G07B17/00	G07B17/00		82
G07B2017/00258	10	{Electronic hardware aspects, e.g. type of circuits used}	G07B17/00	G07B17/00		180
G07B2017/00266	10	{Man-machine interface on the apparatus}	G07B17/00	G07B17/00		25
G07B2017/00274	11	{Mechanical, e.g. keyboard}	G07B17/00	G07B17/00		106
G07B2017/00282	12	{Touch screen}	G07B17/00	G07B17/00		34
G07B2017/0029	12	{Soft buttons; buttons that can change function}	G07B17/00	G07B17/00		23
G07B2017/00298	11	{Visual, e.g. screens and their layouts}	G07B17/00	G07B17/00		96
G07B2017/00306	11	{Acoustic, e.g. voice control or speech prompting}	G07B17/00	G07B17/00		34
G07B17/00314	9	{Communication within apparatus, personal computer [PC] system, or server, e.g. between printhead and central unit in a franking machine}	G07B17/00	G07B17/00		317
G07B2017/00322	10	{Communication between components/modules/parts, e.g. printer, printhead, keyboard, conveyor or central unit}	G07B17/00	G07B17/00		283
G07B2017/0033	10	{Communication with software component, e.g. dll or object}	G07B17/00	G07B17/00		34
G07B2017/00338	10	{Error detection or handling}	G07B17/00	G07B17/00		132
G07B2017/00346	10	{Power handling, e.g. power-down routine}	G07B17/00	G07B17/00		105
G07B2017/00354	10	{Setting of date}	G07B17/00	G07B17/00		51
G07B17/00362	9	{Calculation or computing within apparatus, e.g. calculation of postage value}	G07B17/00	G07B17/00		513
G07B2017/0037	10	{Calculation of postage value}	G07B17/00	G07B17/00		267
